b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,239614,,9737458
"01","11",,4475,,204310
"01","113",,1801,,113569
"01","114",,1431,,45432
"01","1141",,1260,,42109
"01","11411",,1260,,42109
"01","1142",,171,,3323
"01","11421",,171,,3323
"01","115",,1243,,45309
"01","1151",,439,,14418
"01","11511",,439,,14418
"01","1152",,464,,13565
"01","11521",,464,,13565
"01","1153",,340,,17326
"01","11531",,340,,17326
"01","21",,425,,37993
"01","211",,312,,23181
"01","2111",,312,,23181
"01","21111",,312,,23181
"01","212",,68,,7034
"01","2121","D",0,"D",0
"01","21211","D",0,"D",0
"01","2122","D",0,"D",0
"01","2123",,44,,5372
"01","213",,45,,7778
"01","2131",,45,,7778
"01","21311",,45,,7778
"01","22",,176,,4890
"01","221",,176,,4890
"01","23",,38557,,1891375
"01","236",,8269,,685481
"01","2361",,6840,,607522
"01","2362",,1429,,77959
"01","237",,1573,,128966
"01","2371",,127,,6499
"01","2372",,698,,84482
"01","23721",,698,,84482
"01","2373",,128,,5663
"01","23731",,128,,5663
"01","2379",,620,,32322
"01","23799",,620,,32322
"01","238",,28715,,1076928
"01","2381",,5924,,247789
"01","2382",,4242,,153866
"01","23821",,1937,,55967
"01","23822",,2121,,93515
"01","23829",,184,,4384
"01","2383",,11355,,371200
"01","2389",,7194,,304073
"01","31-33",,3965,,179378
"01","311",,284,,9879
"01","3111",,16,,530
"01","31111",,16,,530
"01","3112",,4,,47
"01","3113",,6,,38
"01","3114",,16,,318
"01","3115",,10,,43
"01","3116",,57,,1297
"01","31161",,57,,1297
"01","3117",,44,,3603
"01","31171",,44,,3603
"01","3118",,69,,1661
"01","3119",,62,,2342
"01","312","D",0,"D",0
"01","313",,37,,1451
"01","314",,82,,2160
"01","315",,432,,8315
"01","316",,91,,4564
"01","3161",,14,,407
"01","31611",,14,,407
"01","3162",,10,,394
"01","31621",,10,,394
"01","3169",,67,,3763
"01","31699",,67,,3763
"01","321",,461,,19730
"01","322","D",0,"D",0
"01","323",,308,,16677
"01","3231",,308,,16677
"01","324",,14,,689
"01","3241",,14,,689
"01","325",,111,,6023
"01","3251",,10,,1576
"01","3252","D",0,"D",0
"01","3253",,17,,898
"01","3254","D",0,"D",0
"01","32541","D",0,"D",0
"01","3255",,25,,1418
"01","3256",,15,,392
"01","3259",,29,,596
"01","326",,68,,4595
"01","327",,145,,6220
"01","3271","D",0,"D",0
"01","3272",,31,,944
"01","32721",,31,,944
"01","3273",,56,,1758
"01","3274","D",0,"D",0
"01","3279",,20,,1925
"01","331",,49,,3251
"01","332",,543,,32748
"01","333",,188,,7842
"01","334",,61,,2840
"01","335",,84,,4264
"01","336",,90,,6931
"01","337",,267,,10583
"01","339",,625,,29451
"01","3391",,43,,2938
"01","33911",,43,,2938
"01","3399",,582,,26513
"01","42",,4675,,349668
"01","423",,2613,,217618
"01","4231",,317,,52642
"01","4232",,215,,11551
"01","4233",,147,,18772
"01","4234",,156,,13783
"01","4235",,70,,5196
"01","4236",,96,,7224
"01","4237",,70,,3470
"01","4238",,291,,32099
"01","4239",,1251,,72881
"01","42391",,146,,9062
"01","42392",,85,,4193
"01","42393",,128,,8510
"01","42394",,159,,7933
"01","42399",,733,,43183
"01","424",,1774,,116926
"01","4241",,80,,8092
"01","4242",,68,,5864
"01","42421",,68,,5864
"01","4243",,221,,8666
"01","4244",,394,,34555
"01","4245",,57,,4793
"01","4246",,48,,2895
"01","4247",,30,,4079
"01","4248",,15,,1364
"01","4249",,861,,46618
"01","42491",,33,,1561
"01","42492",,172,,3921
"01","42493",,192,,7812
