fips code,total emissions,YEAR
9001,3694264.37428919,2020
9003,3889143.831048799,2020
9005,614970.6716046835,2020
9007,841997.489261349,2020
9009,3539671.2012647153,2020
9011,1287116.2424435224,2020
9013,684486.751841989,2020
9015,561942.2202061297,2020
10001,781191.3117876187,2020
10003,2634498.9750856888,2020
10005,1149435.3416933664,2020
11001,1819928.710077709,2020
23001,460715.4452297177,2020
23003,370255.6201200878,2020
23005,1472611.838263676,2020
23007,177515.5323489157,2020
23009,342543.4805601159,2020
23011,741360.634148956,2020
23013,166512.6666702778,2020
23015,181750.3815906405,2020
23017,282510.1218419217,2020
23019,831659.7208966115,2020
23021,90343.76477905299,2020
23023,225258.1739616014,2020
23025,357934.4838945362,2020
23027,193403.1909835916,2020
23029,189223.2575600657,2020
23031,1080127.6615774028,2020
24001,378130.21709268814,2020
24003,2720333.067531758,2020
24005,3824924.59735878,2020
24009,327411.67973147496,2020
24011,189967.685673212,2020
24013,606130.8524458556,2020
24015,700884.4507489289,2020
24017,561763.261461782,2020
24019,161239.6987878908,2020
24021,1452969.8790213394,2020
24023,264351.9721584397,2020
24025,1175409.0724070983,2020
24027,1866461.301657729,2020
24029,104229.25047012724,2020
24031,3500547.530610254,2020
24033,4105329.630923858,2020
24035,510138.3956531228,2020
24037,424439.214154105,2020
24039,122487.0702548011,2020
24041,295626.663262379,2020
24043,1120410.181905492,2020
24045,440535.9662867688,2020
24047,406804.86126661027,2020
24510,1794602.177410417,2020
25001,1264242.5572301063,2020
25003,486716.2252566847,2020
25005,2101237.90186363,2020
25007,97193.20084738858,2020
25009,3361907.703551404,2020
25011,468558.6518857386,2020
25013,1887548.556972162,2020
25015,548811.5454535771,2020
25017,6425667.080004509,2020
25019,72477.43593177077,2020
25021,2979917.961250062,2020
25023,2005377.9716909316,2020
25025,1780281.6989546404,2020
25027,3649656.0105279447,2020
33001,346403.25686664553,2020
33003,270597.05179596646,2020
33005,311620.52058536035,2020
33007,168688.8406345938,2020
33009,507104.8117738323,2020
33011,1529320.2928823717,2020
33013,961362.3028575593,2020
33015,1635567.533889637,2020
33017,524727.1762687479,2020
33019,179860.6540216425,2020
34001,1116438.5380120783,2020
34003,3182429.4445623453,2020
34005,2026685.1919448231,2020
34007,1799107.2105222149,2020
