ST,PUMA,YEAR,Telework
39,1101,2005,0.04073266
39,4301,2005,0.021524733
39,3105,2005,0.039337162
39,602,2005,0.022218414
39,4403,2005,0.03724478
39,609,2005,0.015821803
39,800,2005,0.016825995
39,501,2005,0.014038498
40,1200,2005,0.027615666
41,1311,2005,0.042620712
41,1306,2005,0.033733841
29,300,2006,0.062779892
29,901,2006,0.047648045
29,1400,2006,0.032127921
29,1602,2006,0.029172209
24,1101,2008,0.035834839
24,802,2008,0.039560396
24,1006,2008,0.044000811
25,3304,2008,0.035275186
25,200,2008,0.050912156
25,500,2008,0.04705338
25,1300,2008,0.033048141
26,3100,2008,0.012165919
26,4104,2008,0.016415947
26,3708,2008,0.02089093
17,600,2012,0.038501956
17,3528,2012,0.043594422
17,2801,2012,0.029459959
17,3532,2012,0.040543162
17,3102,2012,0.027890825
17,3409,2012,0.032794431
48,6803,2012,0.029415855
48,4000,2012,0.022692461
48,6301,2012,0.030066348
48,4620,2012,0.021752006
48,2800,2012,0.044662465
48,4200,2012,0.013450292
48,3602,2012,0.022663835
48,2600,2012,0.025994752
48,6000,2012,0.039759507
48,5915,2012,0.091945804
48,5700,2012,0.042538176
48,1200,2012,0.043212259
48,6701,2012,0.010131532
48,4626,2012,0.014289045
51,1400,2010,0.038912796
13,2100,2010,0.031622493
13,3200,2010,0.01331571
13,4000,2010,0.021478576
13,700,2010,0.041627465
15,200,2010,0.102791163
15,304,2010,0.027045271
1,903,2011,0.036708619
1,700,2011,0.025426953
1,1500,2011,0.020491022
2,200,2011,0.050976782
4,102,2011,0.051218292
4,110,2011,0.046109403
53,10200,2012,0.059393079
53,10400,2012,0.070910061
53,10504,2012,0.07602653
12,3505,2010,0.055916608
26,3211,2016,0.057540451
48,5204,2017,0.093082649
48,2515,2017,0.046837714
24,503,2008,0.036802442
53,11606,2012,0.073430814
15,306,2010,0.01769061
21,1901,2005,0.03491008
21,2200,2005,0.016463881
22,1803,2005,0.041491548
24,300,2005,0.039335877
24,503,2005,0.044149508
51,501,2008,0.046555223
51,3400,2008,0.040722857
51,1000,2008,0.055876043
51,3500,2008,0.017341164
51,900,2008,0.028983831
53,602,2008,0.045671715
53,1202,2008,0.054143875
53,1802,2008,0.058584215
42,1000,2009,0.041288818
42,1300,2009,0.03117241
42,1900,2009,0.033528014
42,300,2009,0.033752457
42,3903,2009,0.041293093
42,4005,2009,0.035586044
,9000,2003,0.033550032
34,2202,2005,0.030286577
34,1202,2005,0.029483996
34,1902,2005,0.025692676
34,905,2005,0.020046742
34,304,2005,0.035336842
40,400,2007,0.05892137
41,1301,2007,0.089270306
41,200,2007,0.078901912
41,702,2007,0.05292709
19,400,2008,0.018910199
19,1300,2008,0.080445571
20,1300,2008,0.048972995
20,400,2008,0.031528283
12,4010,2011,0.036120481
12,200,2011,0.04383797
12,3607,2011,0.017634933
12,3509,2011,0.046865712
12,2604,2011,0.053307458
12,2206,2011,0.030716878
42,1702,2011,0.054027687
42,4302,2011,0.054387692
42,3201,2011,0.023155677
42,2802,2011,0.032442653
42,4004,2011,0.040493755
42,2900,2011,0.030932522
42,3203,2011,0.042632593
24,1005,2010,0.055095076
24,802,2010,0.052871389
24,1600,2010,0.030029116
25,3303,2010,0.032580018
25,2200,2010,0.038577129
25,3305,2010,0.030188127
25,4100,2010,0.034333183
26,2505,2010,0.076326827
26,1900,2010,0.042924644
26,2602,2010,0.034596792
26,4000,2010,0.013967441
26,4102,2010,0.020616011
26,3804,2010,0.011274088
13,1205,2011,0.011557199
13,1103,2011,0.064623233
13,2700,2011,0.020733571
13,500,2011,0.040013615
42,3800,2014,0.045498139
42,3502,2014,0.0586701
42,2200,2014,0.030767402
42,300,2014,0.024842011
42,1300,2014,0.038180585
42,2703,2014,0.043900598
42,3603,2014,0.026993544
42,2003,2014,0.031149529
29,901,2015,0.069236487
29,903,2015,0.030668011
29,2002,2015,0.031399954
30,200,2015,0.074510959
47,3206,2015,0.035113004
47,3205,2015,0.043088423
48,5700,2015,0.027429968
48,4624,2015,0.072220907
48,1502,2015,0.014875637
48,4635,2015,0.050372997
48,1300,2015,0.07232113
48,5913,2015,0.029910662
48,2315,2015,0.02713954
48,4607,2015,0.018505471
48,2504,2015,0.02466951
48,2308,2015,0.03961244
48,2005,2015,0.051741463
48,4630,2015,0.037977838
28,100,2015,0.023184564
1,2600,2014,0.035439015
1,1301,2014,0.010582436
29,903,2016,0.057443547
29,1804,2016,0.063338882
31,100,2016,0.055258981
22,2402,2016,0.076878732
23,1000,2016,0.059364013
23,800,2016,0.040215209
24,507,2016,0.041872984
24,802,2016,0.091361586
12,10501,2018,0.046911823
12,10102,2018,0.069524479
12,9908,2018,0.160252968
12,8612,2018,0.101054757
12,11502,2018,0.1125313
12,10103,2018,0.065850941
12,2103,2018,0.068734815
12,8606,2018,0.010252142
12,3104,2018,0.074665694
12,1102,2018,0.035746336
12,7101,2018,0.088701212
12,8618,2018,0.051596753
12,5301,2018,0.082419233
47,200,2017,0.040134182
47,2002,2017,0.050189649
18,2200,2017,0.05623658
18,1100,2017,0.046539002
19,800,2017,0.079523342
19,1400,2017,0.05893234
6,7606,2010,0.04364712
6,2306,2010,0.066982664
6,6105,2010,0.035010941
6,3501,2010,0.037650108
6,5420,2010,0.130834801
6,8105,2010,0.011968182
6,2303,2010,0.037202436
6,7603,2010,0.057027667
6,8200,2010,0.041194142
6,1601,2010,0.074649188
6,1201,2010,0.071522111
6,5800,2010,0.038734766
6,7601,2010,0.087851004
6,5404,2010,0.022303141
6,900,2010,0.041432268
6,8114,2010,0.027423968
6,2710,2010,0.04288532
6,2701,2010,0.077218241
34,200,2009,0.033617244
27,1203,2006,0.02884967
27,1502,2006,0.03262046
27,700,2006,0.078901072
27,1202,2006,0.05314616
27,2100,2006,0.06021386
27,1403,2006,0.041911994
13,1203,2007,0.054581626
13,1502,2007,0.068142649
13,1106,2007,0.017670175
13,1402,2007,0.006970219
15,307,2007,0.016055914
47,1400,2009,0.032990747
28,800,2009,0.006042785
28,200,2009,0.020279415
4,202,2012,0.068089018
4,124,2012,0.021068352
4,115,2012,0.063305274
19,1700,2008,0.069017835
25,2800,2010,0.027332857
25,1400,2010,0.071917341
48,2900,2015,0.036333564
13,500,2007,0.047515415
4,113,2012,0.075198523
13,400,2005,0.030650239
51,3100,2005,0.009183653
51,3200,2005,0.036607748
51,2600,2005,0.025802981
37,3900,2006,0.027944061
37,1700,2006,0.027515958
37,4800,2006,0.029741379
37,2701,2006,0.059282797
37,4000,2006,0.035270601
37,201,2006,0.037650007
37,2703,2006,0.050541686
37,4500,2006,0.030126428
56,400,2008,0.048987085
37,1700,2008,0.032944478
37,3600,2008,0.029194057
37,904,2008,0.070984313
37,600,2008,0.031632747
37,2702,2008,0.045861157
37,2802,2008,0.03013602
4,114,2006,0.045194882
4,107,2006,0.048704951
5,500,2006,0.04536012
5,1200,2006,0.030412271
6,5415,2006,0.040012808
6,7607,2006,0.09096482
6,5413,2006,0.068850525
6,2900,2006,0.031105871
6,2204,2006,0.104035385
6,6119,2006,0.041721465
6,6701,2006,0.030115821
6,4000,2006,0.020478716
6,6101,2006,0.061622079
6,2203,2006,0.072978267
6,1103,2006,0.069621214
22,500,2006,0.020730557
22,400,2006,0.01316223
15,305,2006,0.040234537
15,100,2006,0.059772784
16,400,2006,0.076711936
6,6102,2007,0.068999156
6,5702,2007,0.028094554
6,8004,2007,0.064984076
6,3001,2007,0.058251535
6,6123,2007,0.035340832
6,6121,2007,0.072224978
6,6124,2007,0.021886223
6,2002,2007,0.042210158
6,7603,2007,0.064142305
6,6500,2007,0.071697372
6,2206,2007,0.057033909
47,400,2010,0.055352342
47,3202,2010,0.036781358
47,2201,2010,0.041978689
47,3103,2010,0.018636796
47,1200,2010,0.022529985
6,8109,2005,0.040009964
6,4100,2005,0.037326759
6,5500,2005,0.058324537
6,6101,2005,0.060770946
6,4500,2005,0.025776998
6,3100,2005,0.041155391
6,6114,2005,0.018634745
6,3701,2005,0.055838159
6,4800,2005,0.029302957
6,6400,2005,0.03853941
6,4300,2005,0.050469613
26,3705,2005,0.033988864
26,3706,2005,0.027800893
32,506,2006,0.041894431
32,300,2006,0.035822218
48,700,2010,0.061202559
48,5607,2010,0.022295883
48,2507,2010,0.051983424
48,5800,2010,0.0471582
48,2508,2010,0.035386917
48,4623,2010,0.021414967
48,4702,2010,0.046640862
48,1900,2010,0.035436584
48,5201,2010,0.064566328
48,600,2010,0.023489933
48,4614,2010,0.03541373
48,2306,2010,0.051967667
