,Full_FIPS_Code,YEAR,VMT
34517,40117,2009,
34519,40117,2010,
34758,19119,2011,
34951,40119,2009,
34956,40119,2010,
35183,19121,2011,
35392,40121,2009,
35393,40121,2010,
35650,19123,2011,
35837,40123,2009,
35843,40123,2010,
36042,19125,2011,
36228,40125,2009,
36229,40125,2010,
36244,46125,2010,
36245,46125,2009,
36246,46125,2000,
36247,46125,2001,
36248,46125,2002,
36249,46125,2003,
36252,46125,2006,
36253,46125,2007,
36254,46125,2004,
36255,46125,2008,
36256,46125,2005,
36432,19127,2011,
36637,40127,2009,
36639,40127,2010,
36840,19129,2011,
37347,40131,2009,
37348,40131,2010,
37569,19133,2011,
37746,40133,2009,
37748,40133,2010,
37896,19135,2011,
38065,47135,2000,
38066,47135,2001,
38067,47135,2002,
38068,47135,2003,
38069,47135,2004,
38072,47135,2005,
38130,40135,2010,
38132,40135,2009,
38214,19137,2011,
38399,40137,2009,
38400,40137,2010,
38468,51137,2000,
38469,51137,2001,
38470,51137,2002,
38471,51137,2003,
38472,51137,2004,
38473,51137,2005,
38474,51137,2007,
38475,51137,2006,
38476,51137,2008,
38477,51137,2009,
38478,51137,2010,
38562,19139,2011,
38748,40139,2009,
38751,40139,2010,
38881,19141,2011,
39094,40141,2009,
39096,40141,2010,
39120,51141,2000,
39123,51141,2010,
39126,51141,2008,
39127,51141,2009,
39129,51141,2001,
39130,51141,2002,
39131,51141,2003,
39132,51141,2005,
39133,51141,2004,
39134,51141,2007,
39135,51141,2006,
39206,19143,2011,
39414,40143,2009,
39561,19145,2011,
39778,51145,2000,
39779,51145,2001,
39780,51145,2002,
39781,51145,2003,
39806,40145,2010,
39809,40145,2009,
39864,19147,2011,
40043,40147,2009,
40044,40147,2010,
40210,19149,2011,
40386,40149,2009,
40389,40149,2010,
40459,19151,2011,
40607,40151,2009,
40608,40151,2010,
40837,40153,2009,
40838,40153,2010,
40904,19155,2011,
41119,19157,2011,
41661,19161,2011,
42206,19165,2011,
42408,19167,2011,
42949,19171,2011,
43344,19175,2011,
43762,19179,2011,
43938,19181,2011,
44066,18183,2012,
44081,19183,2011,
44265,19185,2011,
44450,29186,2000,
44508,19187,2011,
44744,19191,2011,
44982,19195,2011,
45110,19197,2011,
45766,29209,2001,
45767,29209,2002,
45770,29209,2000,
46518,13231,2001,
46519,13231,2002,
46520,13231,2003,
46521,13231,2000,
46522,13231,2004,
46843,13249,2004,
46844,13249,2001,
46845,13249,2002,
46849,13249,2000,
46852,13249,2003,
46965,48255,2000,
46966,48255,2001,
46967,48255,2002,
46979,48255,2003,
46980,48255,2004,
46981,48255,2005,
46982,48255,2006,
46983,48255,2007,
48616,48377,2001,
48617,48377,2000,
48618,48377,2010,
48619,48377,2009,
48620,48377,2002,
48621,48377,2005,
48622,48377,2006,
48623,48377,2007,
48624,48377,2003,
48625,48377,2004,
48626,48377,2008,
49293,48461,2000,
49294,48461,2001,
49295,48461,2002,
49300,48461,2003,
49301,48461,2004,
49302,48461,2006,
49303,48461,2007,
49304,48461,2005,
50409,25007,2014,
52108,19101,2011,
52154,19103,2011,
52289,37111,2020,
52725,19169,2011,
53291,25003,2014,
53392,25011,2014,
53439,19013,2011,
54826,40143,2010,
55009,19163,2011,
55119,19193,2011,
55568,32021,2020,
56993,19113,2011,
57084,19153,2011,
57227,25005,2014,
57786,25013,2014,
58505,25009,2014,
58523,25015,2014,
58548,25021,2014,
58751,25001,2014,
58819,25027,2014,
58968,11001,2011,
59014,25023,2014,
59017,25025,2014,
59903,25017,2014,
