b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,253759,,10497713
"01","11",,4590,,221427
"01","113",,1861,,127784
"01","114",,1409,,47894
"01","1141",,1239,,45052
"01","11411",,1239,,45052
"01","1142",,170,,2842
"01","11421",,170,,2842
"01","115",,1320,,45749
"01","1151",,440,,13962
"01","11511",,440,,13962
"01","1152",,486,,15176
"01","11521",,486,,15176
"01","1153",,394,,16611
"01","11531",,394,,16611
"01","21",,483,,35024
"01","211",,361,,19614
"01","2111",,361,,19614
"01","21111",,361,,19614
"01","212",,67,,9366
"01","2121",,16,,2564
"01","21211",,16,,2564
"01","2122",,3,,148
"01","2123",,48,,6654
"01","213",,55,,6044
"01","2131",,55,,6044
"01","21311",,55,,6044
"01","22",,210,,7044
"01","221",,210,,7044
"01","23",,42088,,2087838
"01","236",,9377,,752624
"01","2361",,7815,,666887
"01","2362",,1562,,85737
"01","237",,1413,,135382
"01","2371",,121,,7013
"01","2372",,635,,89029
"01","23721",,635,,89029
"01","2373",,139,,6742
"01","23731",,139,,6742
"01","2379",,518,,32598
"01","23799",,518,,32598
"01","238",,31298,,1199832
"01","2381",,6526,,273489
"01","2382",,4292,,165200
"01","23821",,1899,,60771
"01","23822",,2146,,96679
"01","23829",,247,,7750
"01","2383",,12262,,415075
"01","2389",,8218,,346068
"01","31-33",,3953,,168857
"01","311",,287,,9340
"01","3111",,16,,410
"01","31111",,16,,410
"01","3112","D",0,"D",0
"01","3113",,9,,85
"01","3114",,16,,751
"01","3115","D",0,"D",0
"01","3116",,66,,1475
"01","31161",,66,,1475
"01","3117",,36,,1168
"01","31171",,36,,1168
"01","3118",,63,,2288
"01","3119",,72,,3111
"01","312","D",0,"D",0
"01","313",,26,,646
"01","314",,66,,1666
"01","315",,383,,8369
"01","316",,81,,3462
"01","3161",,15,,548
"01","31611",,15,,548
"01","3162",,6,,116
"01","31621",,6,,116
"01","3169",,60,,2798
"01","31699",,60,,2798
"01","321",,445,,19079
"01","322","D",0,"D",0
"01","323",,303,,13517
"01","3231",,303,,13517
"01","324",,34,,624
"01","3241",,34,,624
"01","325",,123,,4986
"01","3251",,13,,1430
"01","3252",,7,,349
"01","3253",,13,,1029
"01","3254",,9,,373
"01","32541",,9,,373
"01","3255",,35,,675
"01","3256",,18,,298
"01","3259",,28,,832
"01","326",,59,,5197
"01","327",,130,,5828
"01","3271",,28,,815
"01","3272",,31,,947
"01","32721",,31,,947
"01","3273",,50,,1674
"01","3279",,21,,2392
"01","331",,59,,2911
"01","332",,527,,30573
"01","333",,235,,10997
"01","334",,74,,1648
"01","335",,90,,3914
"01","336",,95,,6613
"01","337",,280,,11549
"01","339",,620,,26678
"01","3391",,46,,3008
"01","33911",,46,,3008
"01","3399",,574,,23670
"01","42",,4670,,354856
"01","423",,2575,,222830
"01","4231",,334,,53302
"01","4232",,220,,12605
"01","4233",,137,,20083
"01","4234",,137,,11127
"01","4235",,51,,4701
"01","4236",,81,,5939
"01","4237",,69,,5521
"01","4238",,281,,29490
"01","4239",,1265,,80062
"01","42391",,150,,10830
"01","42392",,80,,4167
"01","42393",,124,,10445
"01","42394",,170,,6579
"01","42399",,741,,48041
"01","424",,1788,,114996
"01","4241",,75,,6160
"01","4242",,55,,4948
"01","42421",,55,,4948
"01","4243",,241,,8726
"01","4244",,397,,35574
"01","4245",,51,,3563
"01","4246",,50,,4067
"01","4247",,33,,3754
"01","4248",,17,,2272
"01","4249",,869,,45932
"01","42491",,31,,1052
"01","42492",,165,,3744
"01","42493",,185,,6510
"01","42494",,13,,2835
"01","42495",,18,,1155
"01","42499",,457,,30636
"01","425",,307,,17030
"01","4251",,307,,17030
"01","42511",,37,,3394
"01","42512",,270,,13636
"01","44-45",,29201,,1462596
"01","441",,3504,,492774
"01","4411",,2256,,377240
"01","44112",,2256,,377240
"01","4412",,660,,65602
"01","44121",,79,,12048
"01","44122",,581,,53554
"01","441221",,57,,3854
"01","441222",,80,,8064
"01","441229",,444,,41636
"01","4413",,588,,49932
"01","442",,774,,43250
"01","4421",,331,,22773
"01","44211",,331,,22773
"01","4422",,443,,20477
"01","443",,437,,22589
"01","4431",,437,,22589
"01","44311",,289,,14067
"01","443111",,83,,4473
"01","443112",,206,,9594
"01","44312",,138,,8265
"01","44313",,10,,257
"01","444",,612,,43749
"01","4441",,406,,31619
"01","44411",,38,,2421
"01","44412",,33,,1818
"01","44413",,104,,8952
"01","44419",,231,,18428
"01","4442",,206,,12130
"01","445",,1553,,159606
"01","4451",,819,,102755
"01","4452",,617,,38926
"01","44521",,32,,2706
"01","44522",,55,,3812
"01","44523",,150,,10330
"01","44529",,380,,22078
"01","4453",,117,,17925
"01","44531",,117,,17925
"01","446",,2094,,33587
"01","4461",,2094,,33587
"01","44611",,81,,2794
"01","44612",,1570,,15058
"01","44613",,31,,2775
"01","44619",,412,,12960
"01","447",,494,,91593
"01","4471",,494,,91593
"01","448",,1613,,58928
"01","4481",,1189,,42139
"01","44811",,50,,2545
"01","44812",,253,,10592
"01","44813",,174,,6035
"01","44814",,169,,6891
"01","44815",,240,,6573
"01","44819",,303,,9503
"01","4482",,55,,2774
"01","44821",,55,,2774
"01","4483",,369,,14015
"01","44831",,355,,13654
"01","44832",,14,,361
"01","451",,1341,,52189
"01","4511",,854,,38918
"01","45111",,268,,21713
"01","45112",,244,,6985
"01","45113",,258,,5842
"01","45114",,84,,4378
"01","4512",,487,,13271
"01","45121",,437,,11869
"01","451211",,141,,5892
"01","451212",,296,,5977
"01","45122",,50,,1402
"01","452",,660,,36898
"01","453",,5453,,217137
"01","4531",,593,,19429
"01","45311",,593,,19429
"01","4532",,1177,,34482
"01","45321",,119,,8312
"01","45322",,1058,,26170
"01","4533",,1138,,25168
"01","45331",,1138,,25168
"01","4539",,2545,,138058
"01","45391",,117,,4027
"01","45392",,180,,4919
"01","45393",,124,,17798
"01","45399",,2124,,111314
"01","454",,10666,,210296
"01","4541",,498,,16088
"01","45411",,498,,16088
"01","4542",,490,,15971
"01","45421",,490,,15971
"01","4543",,9678,,178237
"01","45431",,37,,4172
"01","45439",,9641,,174065
"01","48-49",,12495,,750069
"01","481",,296,,13458
"01","483",,70,,3795
"01","484",,8895,,628954
"01","4841",,8006,,566794
"01","48411",,2083,,130313
"01","48412",,5922,,436436
"01","4842",,889,,62160
"01","485",,625,,21953
"01","4851","D",0,"D",0
"01","48511","D",0,"D",0
"01","4852",,15,,163
"01","48521",,15,,163
"01","4853",,216,,6124
"01","4854","D",0,"D",0
"01","48541","D",0,"D",0
"01","4855",,86,,4942
"01","48551",,86,,4942
"01","4859",,279,,10497
"01","48599",,279,,10497
"01","486",,5,,776
"01","487",,34,,1230
"01","488",,1080,,44962
"01","492",,1387,,25746
"01","493",,103,,9195
"01","4931",,103,,9195
"01","51",,2235,,66573
"01","511",,622,,17909
"01","512",,295,,5944
"01","5121",,191,,4007
"01","5122",,104,,1937
"01","515",,203,,7266
"01","516",,120,,2442
"01","5161",,120,,2442
"01","51611",,120,,2442
"01","517",,351,,15285
"01","518",,370,,7938
"01","5181",,70,,2364
"01","51811",,70,,2364
"01","518111",,55,,2248
"01","518112",,15,,116
"01","5182",,300,,5574
"01","51821",,300,,5574
"01","519",,274,,9789
"01","5191",,274,,9789
"01","52",,7268,,353131
"01","522",,772,,38640
"01","5221",,95,,1597
"01","5222",,324,,26589
"01","5223",,353,,10454
"01","523",,1977,,137262
"01","5231",,236,,25291
"01","52311",,54,,2677
"01","52312",,151,,19648
"01","52313","D",0,"D",0
"01","52314","D",0,"D",0
"01","5232",,21,,904
"01","52321",,21,,904
"01","5239",,1720,,111067
"01","524",,4519,,177229
"01","5241",,5,,95
"01","5242",,4514,,177134
"01","52421",,3044,,133671
"01","52429",,1470,,43463
"01","53",,22813,,1931412
"01","531",,21821,,1850095
"01","5311",,9717,,1165988
"01","5312",,5796,,257676
"01","53121",,5796,,257676
"01","5313",,6308,,426431
"01","53131",,1344,,76306
"01","53132",,527,,29964
"01","53139",,4437,,320161
"01","532",,974,,78345
"01","5321",,235,,15773
"01","5322",,264,,11151
"01","53221",,9,,730
"01","53222",,10,,560
"01","53223",,90,,2286
"01","53229",,155,,7575
"01","5323",,40,,1859
"01","53231",,40,,1859
"01","5324",,435,,49562
"01","533",,18,,2972
"01","5331",,18,,2972
"01","53311",,18,,2972
"01","54",,25745,,858425
"01","541",,25745,,858425
"01","5411",,2548,,132453
"01","5412",,3814,,61640
"01","54121",,3814,,61640
"01","541211",,400,,15017
"01","541213",,1093,,16428
"01","541214",,78,,1721
"01","541219",,2243,,28474
