,YEAR,STATE,COUNTY,LNMILES,Data_cat
158,2000,5.0,145.0,3904.69,1
159,2000,5.0,147.0,1513.87,1
160,2000,5.0,149.0,2682.7,1
161,2000,6.0,1.0,8278.878,1
162,2000,6.0,3.0,536.494,1
163,2000,6.0,5.0,1363.358,1
164,2000,6.0,7.0,4710.022,1
165,2000,6.0,9.0,1999.156,1
166,2000,6.0,11.0,1930.061,1
167,2000,6.0,13.0,7186.806,1
168,2000,6.0,15.0,1556.638,1
169,2000,6.0,17.0,4395.15,1
170,2000,6.0,19.0,14970.713,1
171,2000,6.0,21.0,2243.504,1
172,2000,6.0,23.0,5159.325,1
173,2000,6.0,25.0,7087.492,1
174,2000,6.0,27.0,4476.754,1
175,2000,6.0,29.0,13909.037,1
176,2000,6.0,31.0,3010.038,1
177,2000,6.0,33.0,2094.566,1
178,2000,6.0,35.0,3276.407,1
179,2000,6.0,37.0,51286.333,1
180,2000,6.0,39.0,4204.078,1
181,2000,6.0,41.0,2692.26,1
182,2000,6.0,43.0,1904.746,1
183,2000,6.0,45.0,3833.685,1
184,2000,6.0,47.0,5128.452,1
185,2000,6.0,49.0,3695.49,1
186,2000,6.0,51.0,3060.41,1
187,2000,6.0,53.0,5035.904,1
188,2000,6.0,55.0,1781.464,1
189,2000,6.0,57.0,2415.014,1
190,2000,6.0,59.0,17573.311,1
191,2000,6.0,61.0,4433.896,1
192,2000,6.0,63.0,3837.114,1
193,2000,6.0,65.0,17567.096,1
194,2000,6.0,67.0,10810.914,1
195,2000,6.0,69.0,1815.157,1
196,2000,6.0,71.0,22370.748,1
197,2000,6.0,73.0,20296.06,1
198,2000,6.0,75.0,2292.538,1
199,2000,6.0,77.0,7104.547,1
200,2000,6.0,79.0,4724.667,1
201,2000,6.0,81.0,4761.419,1
202,2000,6.0,83.0,4384.382,1
203,2000,6.0,85.0,11426.384,1
204,2000,6.0,87.0,2370.988,1
205,2000,6.0,89.0,5589.738,1
206,2000,6.0,91.0,1576.852,1
207,2000,6.0,93.0,7279.219,1
208,2000,6.0,95.0,4156.086,1
209,2000,6.0,97.0,5626.962,1
210,2000,6.0,99.0,5831.096,1
211,2000,6.0,101.0,2142.417,1
212,2000,6.0,103.0,3516.086,1
213,2000,6.0,105.0,3867.22,1
214,2000,6.0,107.0,9779.677,1
215,2000,6.0,109.0,2304.598,1
216,2000,6.0,111.0,6267.375,1
217,2000,6.0,113.0,3139.772,1
218,2000,6.0,115.0,1619.53,1
