STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,59,2273.64,2289.64,2292.2,2292.2,2292.2,2292.2,2293.062,2295.498,2295.358,,2534.502,2548.322,2077.1,2077.096,2410.34,2409.616,2408.75,2409.558,2409.584,2409.38,2292.366
1,61,2436.96,2436.96,2447.28,2449.08,2449.08,2449.092,2449.622,2447.986,2447.986,,2670.278,2664.928,2209.112,2191.652,2459.55,2491.898,2495.822,2495.822,2495.802,2496.014,2496.05
1,63,1333.46,1333.46,1330.98,1328.58,1276.14,1278.16,1328.914,1329.19,1326.25,,1342.492,1341.696,1221.308,1221.292,1293.048,1293.154,1292.956,1292.956,1293.108,1292.872,1292.914
1,65,1623.44,1623.44,1655.86,1655.86,1655.86,1660.548,1684.548,1683.262,1683.702,,1604.858,1622.988,1511.472,1511.874,1612.279,1612.279,1609.149,1609.153,1609.133,1605.721,1679.852
1,67,1838.08,1857.82,1858.78,1858.78,1858.78,1858.78,1902.78,1902.64,1902.278,,2040.006,2041.302,1698.724,1702.934,1858.966,1858.928,1861.104,1858.91,1858.89,1859.816,1855.596
1,69,3670.9,3674.1,3693.46,3693.5,2759.4,2759.896,3699.268,3697.014,3697.024,,3624.216,3891.856,2565.959,2580.934,3608.243,3608.241,3605.505,3613.09,3617.765,3626.399,3619.493
1,71,3459.74,3519.08,3421.1,3421.1,3677.342,3677.482,3668.996,3675.51,3675.366,,3741.222,3744.737,2828.301,2823.385,3461.316,3461.229,3461.535,3461.537,3452.031,3459.049,3463.677
1,73,14247.3,14269.08,14346.52,14339.72,13466.15,13479.828,14758.176,14786.01,14786.01,,15854.099,15935.268,6540.658,6526.695,12458.942,12450.79,12470.456,12483.706,12494.658,12471.211,12471.915
1,75,2425.96,2422.62,2417.94,2417.94,2417.94,2418.028,2417.94,2418,2417.74,,2560.594,2560.555,2092.3,2093.664,2243.448,2243.448,2243.318,2243.318,2243.288,2215.067,2223.775
1,77,4097.29,4094.63,4109.33,4109.33,4109.33,4112.032,4110.192,4116.988,4116.838,,4311.89,4328.524,3194.576,3191.725,3831.227,3831.207,3831.949,3832.106,3831.82,3856.103,3884.319
1,79,2669.74,2676.38,2615.44,2615.44,2626.04,2639.48,2636.562,2636.464,2636.644,,3078.916,3101.128,2361.192,2359.572,2549.912,2552.93,2552.931,2552.931,2552.943,2552.699,2752.309
1,81,3308.04,3359.98,3344.88,3346.18,3349.664,3365.348,3365.222,3509.046,3511.926,,3779.22,3854.864,2550.393,2569.678,3541.239,3541.161,3544.856,3544.692,3544.114,3580.008,3545.81
1,83,2645.26,2648.76,2701.62,2708.22,1397.736,1405.668,2742.006,2742.734,2742.734,,3630.716,3647.87,2681.517,2681.404,3085.936,3098.44,3078.269,3079.49,3104.657,3173.106,3140.424
1,85,1317.02,1317.02,1317.94,1317.94,1317.94,1317.956,1317.956,1318.152,1321.092,,1487.374,1488.242,1273.066,1273.85,1399.271,1399.271,1399.115,1399.027,1399.151,1399.155,1398.388
1,87,1813.48,1817.48,1832.28,1832.28,1832.02,1828.694,1832.8,1842.39,1842.238,,1948.944,1948.245,1510.566,1524.212,1704.201,1703.931,1701.51,1697.078,1697.074,1696.452,1736.119
1,89,5096.02,5038.13,5375.67,5375.67,5439.362,5442.922,5840.242,5845.568,5845.568,,6885.385,6904.035,4206.051,4176.953,6703.511,6701.341,6712.333,6709.287,6732.101,7028.796,7005.791
1,91,1705.21,1705.21,1819.07,1819.07,1272.07,1271.79,2059.022,2059,2059.256,,2168.867,2165.804,1728.045,1730.979,1974.502,1974.502,1983.42,1973.51,1973.506,1971.912,2210.205
1,93,3090,3117.4,3122.5,3122.5,3138.5,3136.4,3221.756,3221.798,3221.498,,3307.128,3307.335,2735.05,2729.091,3120.182,3120.176,3119.048,3119.216,3119.218,3117.872,3113.56
1,95,3031.16,3069.04,3071.4,3071.4,3109.84,3109.84,3167.192,3412.946,3413.046,,4738.054,4754.286,3847.163,3691.483,3857.828,3857.89,3853.531,3853.465,3855.333,3849.242,3871.773
