YEAR,STATE_CODE,COUNTY_CODE,LNMILES
2000,6.0,75.0,2292.538
2000,6.0,77.0,7104.547
2000,6.0,79.0,4724.667
2000,6.0,81.0,4761.419
2000,6.0,83.0,4384.382
2000,6.0,85.0,11426.384
2000,6.0,87.0,2370.988
2000,6.0,89.0,5589.738
2000,6.0,91.0,1576.852
2000,6.0,93.0,7279.219
2000,6.0,95.0,4156.086
2000,6.0,97.0,5626.962
2000,6.0,99.0,5831.096
2000,6.0,101.0,2142.417
2000,6.0,103.0,3516.086
2000,6.0,105.0,3867.22
2000,6.0,107.0,9779.677
2000,6.0,109.0,2304.598
2000,6.0,111.0,6267.375
2000,6.0,113.0,3139.772
2000,6.0,115.0,1619.53
2000,8.0,1.0,5188.412
2000,8.0,3.0,1652.09
2000,8.0,5.0,4893.39
2000,8.0,7.0,1723.38
2000,8.0,9.0,4205.38
2000,8.0,11.0,1783.5
2000,8.0,13.0,3849.77
2000,8.0,15.0,1423.18
2000,8.0,17.0,2515.16
2000,8.0,19.0,854.97
2000,8.0,21.0,1626.18
2000,8.0,23.0,3248.19
2000,8.0,25.0,1118.44
2000,8.0,27.0,946.9
2000,8.0,29.0,2031.79
2000,8.0,31.0,4103.96
2000,8.0,33.0,1317.43
2000,8.0,35.0,3379.25
2000,8.0,37.0,1922.79
2000,8.0,39.0,2871.43
2000,8.0,41.0,8267.096
2000,8.0,43.0,1972.86
2000,8.0,45.0,2648.77
2000,8.0,47.0,461.62
2000,8.0,49.0,2094.7
2000,8.0,51.0,2504.77
2000,8.0,53.0,587.3
2000,8.0,55.0,1862.52
2000,8.0,57.0,1381.44
2000,8.0,59.0,6110.968
2000,8.0,61.0,2667.72
2000,8.0,63.0,4947.64
2000,8.0,65.0,540.91
2000,8.0,67.0,2398.9
2000,8.0,69.0,5181.98
2000,8.0,71.0,3998.72
2000,8.0,73.0,3553.59
2000,8.0,75.0,4500.318
2000,8.0,77.0,4581.47
2000,8.0,79.0,632.84
2000,8.0,81.0,4143.22
2000,8.0,83.0,2725.25
2000,8.0,85.0,3452.258
2000,8.0,87.0,2841.98
2000,8.0,89.0,1975.88
2000,8.0,91.0,644.57
2000,8.0,93.0,4102.35
2000,8.0,95.0,2284.54
2000,8.0,97.0,839.028
2000,8.0,99.0,3025.05
2000,8.0,101.0,4636.78
2000,8.0,103.0,2735.6
2000,8.0,105.0,1581.4
2000,8.0,107.0,2196.75
2000,8.0,109.0,2584.96
2000,8.0,111.0,444.09
2000,8.0,113.0,1658.98
2000,8.0,115.0,1551.75
2000,8.0,117.0,976.73
2000,8.0,119.0,1417.42
2000,8.0,121.0,5224.38
2000,8.0,123.0,9239.47
2000,8.0,125.0,5159.73
2000,9.0,1.0,9061.29
2000,9.0,3.0,8969.0
2000,9.0,5.0,5072.97
2000,9.0,7.0,2884.62
2000,9.0,9.0,8235.96
2000,9.0,11.0,4590.58
2000,9.0,13.0,2767.31
2000,9.0,15.0,2892.94
2000,10.0,1.0,2872.33
2000,10.0,3.0,4936.112
2000,10.0,5.0,4749.76
2000,11.0,1.0,1531.311
2000,11.0,2.0,715.024
2000,11.0,3.0,571.402
2000,11.0,4.0,138.977
2000,11.0,5.0,816.682
2000,12.0,1.0,3814.679
2000,12.0,3.0,2017.868
2000,12.0,5.0,3195.886
2000,12.0,7.0,1177.352
2000,12.0,9.0,7983.895
2000,12.0,11.0,11693.873
2000,12.0,13.0,1271.124
2000,12.0,15.0,4931.38
2000,12.0,17.0,4968.674
2000,12.0,19.0,2274.912
2000,12.0,21.0,3816.852
2000,12.0,23.0,2994.192
2000,12.0,27.0,1046.354
2000,12.0,29.0,1058.758
2000,12.0,31.0,9039.483
2000,12.0,33.0,5233.619
2000,12.0,35.0,1906.498
2000,12.0,37.0,956.742
2000,12.0,39.0,2070.979
2000,12.0,41.0,1249.896
2000,12.0,43.0,767.982
2000,12.0,45.0,750.99
2000,12.0,47.0,1425.344
2000,12.0,49.0,1365.061
2000,12.0,51.0,1088.724
2000,12.0,53.0,3696.31
2000,12.0,55.0,3353.394
