"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","-",,311388,"G",,12835527
"01","00","C",,13910,"G",,1969269
"01","00","S",,281929,"G",,8898823
"01","00","P",,15549,"G",,1967435
"01","11","-",,4540,"G",,264736
"01","11","C",,239,"G",,41550
"01","11","S",,4165,"G",,207698
"01","11","P",,136,"G",,15488
"01","113","-",,1718,"G",,145829
"01","113","C",,77,"G",,13400
"01","113","S",,1591,"G",,125682
"01","113","P",,50,"G",,6747
"01","114","-",,1267,"G",,54926
"01","114","C",,105,"G",,20065
"01","114","S",,1120,"G",,30751
"01","114","P",,42,"H",,4110
"01","1141","-",,1036,"G",,46964
"01","1141","C",,75,"G",,18802
"01","1141","S",,947,"G",,26939
"01","1141","P",,14,"H",,1223
"01","11411","-",,1036,"G",,46964
"01","11411","C",,75,"G",,18802
"01","11411","S",,947,"G",,26939
"01","11411","P",,14,"H",,1223
"01","1142","-",,231,"G",,7962
"01","1142","C",,30,"H",,1263
"01","1142","S",,173,"G",,3812
"01","1142","P",,28,"H",,2887
"01","11421","-",,231,"G",,7962
"01","11421","C",,30,"H",,1263
"01","11421","S",,173,"G",,3812
"01","11421","P",,28,"H",,2887
"01","115","-",,1555,"G",,63981
"01","115","C",,57,"G",,8085
"01","115","S",,1454,"G",,51265
"01","115","P",,44,"G",,4631
"01","1151","-",,579,"G",,20947
"01","1151","C",,18,"G",,3702
"01","1151","S",,546,"G",,15887
"01","1151","P",,15,"H",,1358
"01","11511","-",,579,"G",,20947
"01","11511","C",,18,"G",,3702
"01","11511","S",,546,"G",,15887
"01","11511","P",,15,"H",,1358
"01","1152","-",,599,"G",,20241
"01","1152","C",,12,"H",,2155
"01","1152","S",,573,"G",,16822
"01","1152","P",,14,"H",,1264
"01","11521","-",,599,"G",,20241
"01","11521","C",,12,"H",,2155
"01","11521","S",,573,"G",,16822
"01","11521","P",,14,"H",,1264
"01","1153","-",,377,"G",,22793
"01","1153","C",,27,"H",,2228
"01","1153","S",,335,"G",,18556
"01","1153","P",,15,"H",,2009
"01","11531","-",,377,"G",,22793
"01","11531","C",,27,"H",,2228
"01","11531","S",,335,"G",,18556
"01","11531","P",,15,"H",,2009
"01","21","-",,745,"G",,61768
"01","21","C",,69,"G",,12535
"01","21","S",,636,"G",,42831
"01","21","P",,40,"G",,6402
"01","211","-",,541,"G",,39748
"01","211","C",,30,"G",,5133
"01","211","S",,488,"G",,30925
"01","211","P",,23,"H",,3690
"01","2111","-",,541,"G",,39748
"01","2111","C",,30,"G",,5133
"01","2111","S",,488,"G",,30925
"01","2111","P",,23,"H",,3690
"01","21111","-",,541,"G",,39748
"01","21111","C",,30,"G",,5133
"01","21111","S",,488,"G",,30925
"01","21111","P",,23,"H",,3690
"01","212","-",,102,"G",,10513
"01","212","C",,29,"G",,4692
"01","212","S",,62,"G",,4510
"01","212","P",,11,"H",,1311
"01","2121","-",,38,"G",,3398
"01","2121","C",,6,"H",,1748
"01","2121","S",,30,"G",,1585
"01","2121","P","D",0,"D","D",0
"01","21211","-",,38,"G",,3398
"01","21211","C",,6,"H",,1748
"01","21211","S",,30,"G",,1585
"01","21211","P","D",0,"D","D",0
"01","2122","-","D",0,"D","D",0
"01","2122","C","D",0,"D","D",0
"01","2122","S",,4,"H",,41
"01","2123","-",,59,"G",,7037
"01","2123","C",,22,"G",,2907
"01","2123","S",,28,"G",,2884
"01","2123","P",,9,"H",,1246
"01","213","-",,102,"G",,11507
"01","213","C",,10,"G",,2710
"01","213","S",,86,"G",,7396
"01","213","P",,6,"G",,1401
"01","2131","-",,102,"G",,11507
"01","2131","C",,10,"G",,2710
"01","2131","S",,86,"G",,7396
"01","2131","P",,6,"G",,1401
"01","21311","-",,102,"G",,11507
"01","21311","C",,10,"G",,2710
"01","21311","S",,86,"G",,7396
"01","21311","P",,6,"G",,1401
"01","22","-",,302,"G",,11523
"01","22","C",,27,"G",,2502
"01","22","S",,264,"G",,6712
"01","22","P",,11,"H",,2309
"01","221","-",,302,"G",,11523
"01","221","C",,27,"G",,2502
"01","221","S",,264,"G",,6712
"01","221","P",,11,"H",,2309
"01","23","-",,49179,"G",,2709153
"01","23","C",,1917,"G",,363510
"01","23","S",,46210,"G",,2133440
"01","23","P",,1052,"G",,212203
"01","236","-",,12268,"G",,1050494
"01","236","C",,840,"G",,194385
"01","236","S",,10962,"G",,734659
"01","236","P",,466,"G",,121450
"01","2361","-",,10375,"G",,941999
"01","2361","C",,749,"G",,176281
"01","2361","S",,9203,"G",,653599
"01","2361","P",,423,"G",,112119
"01","2362","-",,1893,"G",,108495
"01","2362","C",,91,"G",,18104
"01","2362","S",,1759,"G",,81060
"01","2362","P",,43,"G",,9331
"01","237","-",,1240,"G",,104793
"01","237","C",,162,"G",,23799
"01","237","S",,942,"G",,51734
"01","237","P",,136,"G",,29260
"01","2371","-",,187,"G",,10410
"01","2371","C",,11,"H",,1251
"01","2371","S",,175,"G",,9103
"01","2371","P","D",0,"D","D",0
"01","2372","-",,482,"G",,59432
"01","2372","C",,116,"G",,17614
"01","2372","S",,241,"G",,13580
"01","2372","P",,125,"G",,28238
"01","23721","-",,482,"G",,59432
"01","23721","C",,116,"G",,17614
"01","23721","S",,241,"G",,13580
"01","23721","P",,125,"G",,28238
"01","2373","-",,160,"G",,8370
"01","2373","C",,15,"H",,2181
"01","2373","S",,138,"H",,6015
"01","2373","P",,7,"H",,174
"01","23731","-",,160,"G",,8370
"01","23731","C",,15,"H",,2181
"01","23731","S",,138,"H",,6015
"01","23731","P",,7,"H",,174
"01","2379","-",,411,"G",,26581
"01","2379","C",,20,"H",,2753
"01","2379","S",,388,"G",,23036
"01","2379","P",,3,"H",,792
"01","23799","-",,411,"G",,26581
"01","23799","C",,20,"H",,2753
"01","23799","S",,388,"G",,23036
"01","23799","P",,3,"H",,792
"01","238","-",,35671,"G",,1553866
"01","238","C",,915,"G",,145326
"01","238","S",,34306,"G",,1347047
"01","238","P",,450,"G",,61493
"01","2381","-",,7352,"G",,328908
"01","2381","C",,113,"G",,22762
"01","2381","S",,7197,"G",,298929
"01","2381","P",,42,"G",,7217
"01","2382","-",,5479,"G",,254126
"01","2382","C",,198,"G",,28930
"01","2382","S",,5202,"G",,212413
"01","2382","P",,79,"G",,12783
"01","23821","-",,2321,"G",,88818
"01","23821","C",,82,"G",,11266
"01","23821","S",,2209,"G",,74023
"01","23821","P",,30,"G",,3529
"01","23822","-",,2838,"G",,150939
"01","23822","C",,96,"G",,15439
"01","23822","S",,2702,"G",,128202
"01","23822","P",,40,"G",,7298
"01","23829","-",,320,"G",,14369
"01","23829","C",,20,"G",,2225
"01","23829","S",,291,"G",,10188
"01","23829","P",,9,"H",,1956
"01","2383","-",,12959,"G",,497524
"01","2383","C",,170,"G",,28540
"01","2383","S",,12686,"G",,456981
"01","2383","P",,103,"G",,12003
"01","2389","-",,9881,"G",,473308
"01","2389","C",,434,"G",,65094
"01","2389","S",,9221,"G",,378724
"01","2389","P",,226,"G",,29490
"01","311","-",,396,"G",,11033
"01","311","C",,32,"G",,2290
"01","311","S",,350,"G",,8230
"01","311","P",,14,"H",,513
"01","3111","-",,27,"G",,589
"01","3111","C","D",0,"D","D",0
"01","3111","S",,25,"G",,417
"01","3111","P","D",0,"D","D",0
"01","31111","-",,27,"G",,589
"01","31111","C","D",0,"D","D",0
"01","31111","S",,25,"G",,417
"01","31111","P","D",0,"D","D",0
"01","3112","-","D",0,"D","D",0
"01","3112","S","D",0,"D","D",0
"01","3112","P","D",0,"D","D",0
"01","3113","-","D",0,"D","D",0
"01","3113","S","D",0,"D","D",0
"01","3114","-","D",0,"D","D",0
"01","3114","C","D",0,"D","D",0
"01","3114","S","D",0,"D","D",0
"01","3114","P","D",0,"D","D",0
"01","3115","-","D",0,"D","D",0
"01","3115","S","D",0,"D","D",0
"01","3116","-",,80,"G",,1944
"01","3116","C",,4,"H",,151
