state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,107028,Acrolein,.537848,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,110543,Hexane,.1982972,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0373662,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202410080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201430080,A,R,50000,Formaldehyde,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202420080,A,R,75070,Acetaldehyde,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,540841,"2,2,4-Trimethylpentane",.1973674,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,NH3,Ammonia,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,540841,"2,2,4-Trimethylpentane",0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2203420080,A,R,75070,Acetaldehyde,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202610080,A,R,123386,Propionaldehyde,.1323598,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201420080,A,R,107028,Acrolein,.000098865,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201110080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0772276,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202320080,A,R,123386,Propionaldehyde,26.1078,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202210080,A,R,100414,Ethyl Benzene,12.88792,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201530080,A,R,7439965,Manganese,.000313472,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201530080,A,R,75070,Acetaldehyde,3.31072,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202410080,A,R,75070,Acetaldehyde,.1186674,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201510080,A,R,VOC,Volatile Organic Compounds,.0132367,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202420080,A,R,NH3,Ammonia,.000522919,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202320080,A,R,71432,Benzene,3.70306,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202510080,A,R,123386,Propionaldehyde,.1256672,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201210080,A,R,NOX,Nitrogen Oxides,15.1054,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201430080,A,R,100414,Ethyl Benzene,.056609,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201520080,A,R,CH4,Methane,.0795329,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201430080,A,R,107028,Acrolein,.0241806,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201610080,A,R,CH4,Methane,.0000845827,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201610080,A,R,100425,Styrene,.00202026,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202430080,A,R,NOX,Nitrogen Oxides,.916804,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202530080,A,R,100414,Ethyl Benzene,.950714,LB,2014NEIV2
