"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","2362","C",,18,"G",,4928
"01","2362","Z",,99,"G",,17289
"01","2362","S",,1642,"G",,102140
"01","2362","P",,53,"G",,15258
"01","237","-",,858,"G",,85660
"01","237","C",,15,"H",,3827
"01","237","Z",,101,"G",,20094
"01","237","S",,642,"G",,42040
"01","237","P",,100,"G",,19699
"01","2371","-",,173,"G",,11125
"01","2371","C","D",0,"D","D",0
"01","2371","Z",,7,"G",,1708
"01","2371","S",,159,"G",,8170
"01","2371","P","D",0,"D","D",0
"01","2372","-",,275,"G",,41275
"01","2372","C",,7,"G",,2075
"01","2372","Z",,62,"H",,12548
"01","2372","S",,129,"G",,9435
"01","2372","P",,77,"G",,17217
"01","23721","-",,275,"G",,41275
"01","23721","C",,7,"G",,2075
"01","23721","Z",,62,"H",,12548
"01","23721","S",,129,"G",,9435
"01","23721","P",,77,"G",,17217
"01","2373","-",,110,"G",,9102
"01","2373","C","D",0,"D","D",0
"01","2373","Z",,12,"G",,2716
"01","2373","S",,88,"G",,5956
"01","2373","P",,8,"H",,252
"01","23731","-",,110,"G",,9102
"01","23731","C","D",0,"D","D",0
"01","23731","Z",,12,"G",,2716
"01","23731","S",,88,"G",,5956
"01","23731","P",,8,"H",,252
"01","2379","-",,300,"G",,24158
"01","2379","C","D",0,"D","D",0
"01","2379","Z",,20,"G",,3122
"01","2379","S",,266,"G",,18479
"01","2379","P",,11,"G",,1680
"01","23799","-",,300,"G",,24158
"01","23799","C","D",0,"D","D",0
"01","23799","Z",,20,"G",,3122
"01","23799","S",,266,"G",,18479
"01","23799","P",,11,"G",,1680
"01","238","-",,28848,"G",,1286583
"01","238","C",,119,"G",,15197
"01","238","Z",,725,"G",,105569
"01","238","S",,27573,"G",,1097985
"01","238","P",,431,"G",,67832
"01","2381","-",,5505,"G",,254897
"01","2381","C",,10,"G",,1760
"01","2381","Z",,83,"G",,15646
"01","2381","S",,5366,"G",,225659
"01","2381","P",,46,"G",,11832
"01","2382","-",,5101,"G",,239498
"01","2382","C",,33,"H",,4027
"01","2382","Z",,180,"G",,21464
"01","2382","S",,4787,"G",,198587
"01","2382","P",,101,"G",,15420
"01","23821","-",,2114,"G",,77551
"01","23821","C",,11,"H",,1412
"01","23821","Z",,67,"G",,7245
"01","23821","S",,2002,"G",,63990
"01","23821","P",,34,"G",,4904
"01","23822","-",,2636,"G",,146417
"01","23822","C",,20,"G",,2493
"01","23822","Z",,99,"H",,12941
"01","23822","S",,2459,"G",,122422
"01","23822","P",,58,"G",,8561
"01","23829","-",,351,"G",,15530
"01","23829","C","D",0,"D","D",0
"01","23829","Z",,14,"H",,1278
"01","23829","S",,326,"G",,12175
"01","23829","P",,9,"H",,1955
"01","2383","-",,9893,"G",,389795
"01","2383","C",,21,"H",,2916
"01","2383","Z",,129,"G",,18546
"01","2383","S",,9669,"G",,358639
"01","2383","P",,74,"G",,9694
"01","2389","-",,8349,"G",,402393
"01","2389","C",,55,"H",,6494
"01","2389","Z",,333,"G",,49913
"01","2389","S",,7751,"G",,315100
"01","2389","P",,210,"G",,30886
"01","311","-",,646,"G",,16176
"01","311","C",,8,"H",,464
"01","311","Z",,26,"G",,2316
"01","311","S",,581,"G",,12063
"01","311","P",,31,"G",,1333
"01","3111","-",,26,"G",,577
"01","3111","C","D",0,"D","D",0
"01","3111","S",,24,"G",,489
"01","3111","P","D",0,"D","D",0
"01","31111","-",,26,"G",,577
"01","31111","C","D",0,"D","D",0
"01","31111","S",,24,"G",,489
"01","31111","P","D",0,"D","D",0
"01","3112","-","D",0,"D","D",0
"01","3112","S","D",0,"D","D",0
"01","3112","P","D",0,"D","D",0
"01","3113","-",,16,"G",,188
"01","3113","S",,15,"G",,186
"01","3113","P","D",0,"D","D",0
"01","3114","-",,35,"H",,446
"01","3114","Z","D",0,"D","D",0
"01","3114","S",,31,"H",,409
"01","3114","P","D",0,"D","D",0
"01","3115","-",,11,"G",,127
"01","3115","S",,11,"G",,127
"01","3116","-",,101,"G",,2698
"01","3116","Z","D",0,"D","D",0
"01","3116","S",,91,"G",,2295
"01","3116","P","D",0,"D","D",0
"01","31161","-",,101,"G",,2698
"01","31161","Z","D",0,"D","D",0
"01","31161","S",,91,"G",,2295
"01","31161","P","D",0,"D","D",0
"01","3117","-",,57,"G",,3446
"01","3117","C","D",0,"D","D",0
"01","3117","Z",,5,"H",,1209
"01","3117","S",,49,"G",,1946
"01","3117","P","D",0,"D","D",0
"01","31171","-",,57,"G",,3446
"01","31171","C","D",0,"D","D",0
"01","31171","Z",,5,"H",,1209
"01","31171","S",,49,"G",,1946
"01","31171","P","D",0,"D","D",0
"01","3118","-",,253,"G",,5392
"01","3118","C",,5,"G",,267
"01","3118","Z",,6,"H",,459
"01","3118","S",,233,"G",,4130
"01","3118","P",,9,"H",,536
"01","3119","-",,143,"G",,3184
"01","3119","Z",,7,"G",,294
"01","3119","S",,124,"G",,2457
"01","3119","P",,12,"G",,433
"01","312","-",,31,"G",,1164
"01","312","Z","D",0,"D","D",0
"01","312","S",,22,"H",,776
"01","312","P",,6,"H",,234
"01","313","-",,32,"G",,822
"01","313","S",,32,"G",,822
"01","31-33","-",,4519,"G",,202424
"01","31-33","C",,79,"G",,8572
"01","31-33","Z",,311,"G",,38784
"01","31-33","S",,3862,"G",,124840
"01","31-33","P",,267,"G",,30228
"01","314","-",,43,"G",,2199
"01","314","C",,3,"H",,288
"01","314","Z","D",0,"D","D",0
"01","314","S",,34,"G",,1568
"01","314","P","D",0,"D","D",0
"01","315","-",,357,"G",,7749
