State_Cd,COUNTY_CD,fsystem_cd,VMT,VMT_Total,Year
1,79,5,290345.68,105976173.2,2011
1,81,1,804810.36,293755781.4,2011
1,81,3,942255.28,343923177.2,2011
1,81,4,820018.86,299306883.9,2011
1,81,5,568604.4,207540606,2011
1,81,6,8.3,3029.5,2011
1,83,1,1074018.23,392016654,2011
1,83,3,851596.59,310832755.4,2011
1,83,4,162058.76,59151447.4,2011
1,83,5,580175.64,211764108.6,2011
1,83,6,88.2,32193,2011
1,85,1,523283.66,190998535.9,2011
1,85,3,192999.99,70444996.35,2011
1,85,4,108834.89,39724734.85,2011
1,85,5,109421.69,39938916.85,2011
1,87,1,962762.47,351408301.6,2011
1,87,3,32192.12,11750123.8,2011
1,87,4,223986.68,81755138.2,2011
1,87,5,192653.6,70318564,2011
1,89,1,951092.64,347148813.6,2011
1,89,2,1190028.22,434360300.3,2011
1,89,3,1784881.45,651481729.3,2011
1,89,4,1761047.89,642782479.9,2011
1,89,5,2076696.26,757994134.9,2011
1,91,3,362077.41,132158254.7,2011
1,91,4,128082.32,46750046.8,2011
1,91,5,166584.68,60803408.2,2011
1,93,2,438101.21,159906941.7,2011
1,93,3,124932.91,45600512.15,2011
1,93,4,331395.52,120959364.8,2011
1,93,5,164264.02,59956367.3,2011
1,95,3,795452.55,290340180.8,2011
1,95,4,575322.88,209992851.2,2011
1,95,5,419539.02,153131742.3,2011
1,95,6,12.1,4416.5,2011
1,97,1,3259312,1189648880,2011
1,97,3,3146109.79,1148330073,2011
1,97,4,2242900.68,818658748.2,2011
1,97,5,1573791.92,574434050.8,2011
1,97,6,5.74,2095.1,2011
1,99,3,107224.84,39137066.6,2011
1,99,4,255991.9,93437043.5,2011
1,99,5,202932.34,74070304.1,2011
1,101,1,2125607.29,775846660.9,2011
1,101,2,154625.76,56438402.4,2011
1,101,3,1942123.77,708875176.1,2011
1,101,4,1778270.73,649068816.5,2011
1,101,5,943949.04,344541399.6,2011
1,103,1,639232.22,233319760.3,2011
1,103,3,1289358,470615670,2011
1,103,4,305393.04,111468459.6,2011
1,103,5,496804.21,181333536.7,2011
1,105,3,92283.25,33683386.25,2011
1,105,4,53353.02,19473852.3,2011
1,105,5,85453.85,31190655.25,2011
1,107,3,200738.01,73269373.65,2011
1,107,4,161478.97,58939824.05,2011
1,107,5,146799.51,53581821.15,2011
1,109,3,553262.59,201940845.4,2011
1,109,4,265264.97,96821714.05,2011
1,109,5,209366.07,76418615.55,2011
1,109,6,7.14,2606.1,2011
1,111,3,155278.95,56676816.75,2011
1,111,4,136988.88,50000941.2,2011
1,111,5,111755.05,40790593.25,2011
1,113,2,106460.28,38858002.2,2011
1,113,3,846981.41,309148214.7,2011
1,113,4,190794.178,69639874.97,2011
1,113,5,363914.85,132828920.3,2011
1,115,1,1717634.25,626936501.3,2011
1,115,4,691264.53,252311553.5,2011
1,115,5,461541.54,168462662.1,2011
1,117,1,1438939.39,525212877.4,2011
1,117,3,1220339.44,445423895.6,2011
1,117,4,1412156.65,515437177.3,2011
1,117,5,757533.7,276499800.5,2011
1,117,6,18.36,6701.4,2011
1,119,1,525976.14,191981291.1,2011
1,119,3,112169.69,40941936.85,2011
1,119,4,87686.13,32005437.45,2011
1,119,5,217602.82,79425029.3,2011
1,121,1,687950.17,251101812.1,2011
1,121,3,863688.01,315246123.7,2011
1,121,4,170159.6,62108254,2011
1,121,5,516786.96,188627240.4,2011
1,121,6,291.86,106528.9,2011
1,123,3,387673.29,141500750.9,2011
1,123,4,308733.87,112687862.6,2011
1,123,5,246116.73,89832606.45,2011
1,125,1,2017033.12,736217088.8,2011
1,125,3,1741244.8,635554352,2011
1,125,4,1106013.16,403694803.4,2011
1,125,5,723220.38,263975438.7,2011
1,127,2,593844.82,216753359.3,2011
1,127,3,366038.71,133604129.2,2011
1,127,4,365629.81,133454880.7,2011
1,127,5,530460.18,193617965.7,2011
1,127,6,3.84,1401.6,2011
1,129,3,333143.56,121597399.4,2011
1,129,4,131115.92,47857310.8,2011
1,129,5,85693.1,31277981.5,2011
1,131,3,73013.97,26650099.05,2011
1,131,4,213895.7,78071930.5,2011
1,131,5,78024.71,28479019.15,2011
1,133,3,178610.85,65192960.25,2011
1,133,4,30621.01,11176668.65,2011
1,133,5,306938.16,112032428.4,2011
2,1,3,149033.807,54397339.56,2011
2,1,4,93387.988,34086615.62,2011
2,1,6,104908.536,38291615.64,2011
2,2,5,14268.267,5207917.46,2011
2,3,4,100433.461,36658213.27,2011
2,3,6,24746.862,9032604.63,2011
2,4,1,1886731.741,688657085.5,2011
2,4,3,1402196.134,511801588.9,2011
2,4,4,611437.033,223174517,2011
2,4,5,34489.881,12588806.57,2011
2,4,6,263527.298,96187463.77,2011
2,5,4,36451.621,13304841.67,2011
2,5,6,10767.644,3930190.06,2011
2,6,1,371145.146,135467978.3,2011
2,6,3,477930.977,174444806.6,2011
2,6,4,129454.798,47251001.27,2011
2,6,5,122976.569,44886447.69,2011
2,7,4,58112.603,21211100.1,2011
2,7,5,14568.698,5317574.77,2011
2,7,6,11783.619,4301020.94,2011
2,8,1,1048506.394,382704833.8,2011
2,8,3,274089.386,100042625.9,2011
2,8,4,199218.942,72714913.83,2011
2,8,5,175260.175,63969963.88,2011
2,8,6,87526.618,31947215.57,2011
2,9,1,443696.46,161949207.9,2011
2,9,3,361601.023,131984373.4,2011
2,9,4,329042.653,120100568.3,2011
2,9,5,133165.757,48605501.31,2011
2,9,6,217973.402,79560291.73,2011
2,10,3,22797.508,8321090.42,2011
2,10,5,2724.041,994274.97,2011
