b'"ST","NAICS","ESTAB_F","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,293874,,13123636
"01","11",,4523,,259799
"01","113",,1816,,148963
"01","114",,1355,,55858
"01","1141",,1125,,49565
"01","11411",,1125,,49565
"01","1142",,230,,6293
"01","11421",,230,,6293
"01","115",,1352,,54978
"01","1151",,417,,16130
"01","11511",,417,,16130
"01","1152",,531,,15273
"01","11521",,531,,15273
"01","1153",,404,,23575
"01","11531",,404,,23575
"01","21",,703,,66155
"01","211",,512,,44748
"01","2111",,512,,44748
"01","21111",,512,,44748
"01","212",,87,,10242
"01","2121",,31,,1902
"01","21211",,31,,1902
"01","2122","S",0,"S",0
"01","2123",,51,,8188
"01","213",,104,,11165
"01","2131",,104,,11165
"01","21311",,104,,11165
"01","22",,311,,12589
"01","221",,311,,12589
"01","23",,51056,,3083434
"01","236",,13256,,1217600
"01","2361",,11175,,1089512
"01","2362",,2081,,128088
"01","237",,1480,,146532
"01","2371",,210,,9517
"01","2372",,571,,87424
"01","23721",,571,,87424
"01","2373",,132,,10131
"01","23731",,132,,10131
"01","2379",,567,,39460
"01","23799",,567,,39460
"01","238",,36320,,1719302
"01","2381",,7859,,418044
"01","2382",,5207,,245001
"01","23821",,2281,,87935
"01","23822",,2628,,144743
"01","23829",,298,,12323
"01","2383",,13043,,557106
"01","2389",,10211,,499151
"01","311",,372,,11118
"01","3111",,21,,703
"01","31111",,21,,703
"01","3112",,3,,69
"01","3113",,15,,209
"01","3114",,31,,1433
"01","3115","S",0,"S",0
"01","3116",,68,,2542
"01","31161",,68,,2542
"01","3117",,34,,1558
"01","31171",,34,,1558
"01","3118",,95,,2118
"01","3119",,80,,2330
"01","312",,15,,690
"01","313",,22,,992
"01","31-33",,4149,,189521
"01","314",,38,,1202
"01","315",,319,,7081
"01","316",,72,,4025
"01","3161","S",0,"S",0
"01","31611","S",0,"S",0
"01","3162",,8,,372
"01","31621",,8,,372
"01","3169",,51,,2748
"01","31699",,51,,2748
"01","321",,438,,23135
"01","322",,29,,2139
"01","323",,330,,16830
"01","3231",,330,,16830
"01","324",,25,,2040
"01","3241",,25,,2040
"01","325",,171,,5641
"01","3251",,9,,170
"01","3252",,4,,31
"01","3253",,25,,1290
"01","3254",,18,,740
"01","32541",,18,,740
"01","3255",,48,,1190
"01","3256",,40,,1498
"01","3259",,27,,722
"01","326",,63,,4660
"01","327",,147,,5254
"01","3271",,28,,430
"01","3272",,29,,893
"01","32721",,29,,893
"01","3273",,71,,2194
"01","3274","D",0,"D",0
"01","3279",,18,,1733
"01","331",,54,,4068
"01","332",,563,,32136
"01","333",,240,,12751
"01","334",,110,,5108
"01","335",,98,,3612
"01","336",,109,,7966
"01","337",,240,,9883
"01","339",,694,,29190
"01","3391",,55,,2460
"01","33911",,55,,2460
"01","3399",,639,,26730
"01","42",,4936,,405147
"01","423",,2654,,250190
"01","4231",,346,,48297
"01","4232",,238,,15972
"01","4233",,164,,21436
"01","4234",,145,,11241
"01","4235",,57,,6996
"01","4236",,112,,11473
"01","4237",,64,,5458
"01","4238",,261,,37042
"01","4239",,1267,,92275
"01","42391",,163,,7432
"01","42392",,98,,2341
"01","42393",,171,,19252
"01","42394",,160,,10352
"01","42399",,675,,52898
"01","424",,1937,,129991
"01","4241",,94,,6481
"01","4242",,56,,5604
"01","42421",,56,,5604
"01","4243",,231,,12018
"01","4244",,435,,42450
"01","4245",,82,,5952
"01","4246",,44,,3381
"01","4247",,29,,3631
"01","4248",,22,,3186
"01","4249",,944,,47288
"01","42491",,44,,2161
"01","42492",,203,,3386
"01","42493",,179,,6873
"01","42494",,8,,2589
"01","42495",,30,,1563
"01","42499",,480,,30716
"01","425",,345,,24966
"01","4251",,345,,24966
"01","42511",,62,,5969
"01","42512",,283,,18997
"01","441",,3492,,527378
"01","4411",,2163,,413581
"01","44112",,2163,,413581
"01","4412",,700,,61597
"01","44121",,89,,12850
"01","44122",,611,,48747
"01","441221",,79,,4651
"01","441222",,54,,4018
"01","441229",,478,,40078
"01","4413",,629,,52200
"01","442",,759,,46276
"01","4421",,320,,19127
