YEAR,STATE_CODE,COUNTY_CODE,VMT_TOTAL
2000,8,105,99177377.04
2000,8,107,117760005.9
2000,8,109,61017580.2
2000,8,111,29056520.4
2000,8,115,56775347.4
2000,8,117,277477391.7
2000,8,119,70765287.48
2000,8,121,71022179.22
2000,8,123,1048710959
2000,8,125,62251801.74
2000,9,1,3282514554
2000,9,3,4026352458
2000,9,5,484996848
2000,9,7,871452222
2000,9,9,3495844608
2000,9,11,1686714660
2000,9,13,789818850
2000,9,15,438450432
2000,10,1,444375368.1
2000,10,3,3058778052
2000,10,5,743120236.6
2000,12,1,1493073060
2000,12,3,226841463.7
2000,12,5,710700152.7
2000,12,7,155193587.7
2000,12,9,2867722872
2000,12,11,6763179239
2000,12,13,47502400.68
2000,12,15,611750590.2
2000,12,17,430647092.4
2000,12,19,559804180.9
2000,12,21,880117229.5
2000,12,23,808433318
2000,12,25,5720861928
2000,12,27,134856743.6
2000,12,29,83286740.4
2000,12,31,4074216550
2000,12,33,1250384088
2000,12,35,450581298.5
2000,12,37,81461558.42
2000,12,39,336200650.4
2000,12,41,49699725.6
2000,12,43,86217668.4
2000,12,45,39229689.5
2000,12,47,382197732.6
2000,12,49,146879826
2000,12,51,220287421.2
2000,12,53,584267728.1
2000,12,55,450864706.6
2000,12,57,4981062603
2000,12,59,87863719.73
2000,12,61,698487771.1
2000,12,63,347720041.8
2000,12,65,229661696.5
2000,12,67,40216610.7
2000,12,69,1228076087
2000,12,71,1522931798
2000,12,73,973538314.8
2000,12,75,192268238.1
2000,12,77,32786463
2000,12,79,310068795
2000,12,81,1379532538
2000,12,83,1574736071
2000,12,85,1061284113
2000,12,87,838216256.9
2000,12,89,407312213.8
2000,12,91,934521041.9
2000,12,93,304161591.6
2000,12,95,4045202543
2000,12,97,1503693098
2000,12,99,5003171043
2000,12,101,1422552960
2000,12,103,2578119022
2000,12,105,2390014038
2000,12,107,312536629.1
2000,12,109,912353476.6
2000,12,111,1168594779
2000,12,113,555148843.9
2000,12,115,1605066169
2000,12,117,1518805736
2000,12,119,654453786.6
2000,12,121,313352954
2000,12,123,171120984.7
2000,12,127,2838921421
2000,12,129,111647465.2
2000,12,131,506919334.9
2000,12,133,167389481.5
2000,13,1,102119490
2000,13,3,83610870
2000,13,5,35979264
2000,13,9,119275740
2000,13,11,115224852
2000,13,13,174381798
2000,13,15,983793360
2000,13,17,14020362
2000,13,19,39255330
2000,13,21,996848653.2
2000,13,23,13637892
2000,13,25,79546440
2000,13,27,57201774
2000,13,29,367800720
2000,13,31,358191756
2000,13,33,84784266
2000,13,35,103175766
2000,13,39,441760170
2000,13,43,91350306
2000,13,45,580770996
2000,13,47,371592480
2000,13,49,75046836
2000,13,51,1349791530
2000,13,53,72843516
2000,13,55,100619988
2000,13,57,546385662
2000,13,59,349925280
2000,13,61,4125552
2000,13,63,1560211518
2000,13,65,77324820
2000,13,67,3140902712
2000,13,69,103557870
2000,13,71,142164282
2000,13,73,368770254
2000,13,75,285361782
2000,13,77,619298352
2000,13,79,11082114
2000,13,81,329669742
2000,13,83,192384972
2000,13,85,87573918
2000,13,87,162845844
2000,13,89,3842977235
2000,13,91,65531934
2000,13,93,266476182
2000,13,95,392407632
2000,13,97,891033588
2000,13,99,45137682
2000,13,101,1765584
2000,13,103,36401262
2000,13,105,96065850
2000,13,107,126681018
2000,13,109,24876288
2000,13,111,91665432
2000,13,113,359333310
