YEAR,STATE_CODE,COUNTY_CODE,distributed_UPT
2005,22.0,5.0,42309.23978627877
2005,22.0,33.0,3997230.187849176
2005,22.0,63.0,210639.57236454502
2005,27.0,61.0,6790691.0
2005,39.0,103.0,1933726.027923211
2005,39.0,133.0,1181106.1518324607
2005,39.0,151.0,508784.1884816754
2005,39.0,151.0,7040431.0
2005,39.0,169.0,3416814.6317626527
2005,39.0,169.0,6418834.025858885
2005,9.0,9.0,4141818.732193732
2005,9.0,9.0,8307305.0
2005,8.0,35.0,2991157.0
2005,47.0,9.0,1240160.5014354067
2005,47.0,105.0,1664353.8393711552
2005,47.0,129.0,0.0
2005,47.0,155.0,435608.6591934381
2005,45.0,71.0,2764338.0
2005,39.0,95.0,1015704.7583301418
2005,26.0,115.0,2276707.9052360975
2005,26.0,115.0,3801743.2416698583
2005,26.0,115.0,4817448.0
2005,19.0,153.0,4272069.0
2005,5.0,119.0,2338781.0
2005,13.0,73.0,0.0
2005,13.0,245.0,0.0
2005,45.0,3.0,0.0
2005,45.0,37.0,0.0
2005,13.0,47.0,0.0
2005,13.0,83.0,0.0
2005,13.0,295.0,0.0
2005,47.0,153.0,3262418.0
2005,28.0,49.0,0.0
2005,28.0,121.0,0.0
2005,16.0,1.0,1108670.0
2005,37.0,37.0,11513285.0
2005,6.0,37.0,0.0
2005,6.0,37.0,0.0
2005,1.0,3.0,1268139.0
2005,1.0,3.0,1268139.0
2005,48.0,409.0,5876792.0
2005,26.0,37.0,9481581.0
2005,12.0,21.0,1085995.0
2005,22.0,17.0,2847925.0
2005,5.0,7.0,0.0
2005,5.0,143.0,1233355.9442896936
2005,29.0,119.0,198028.05571030642
2005,21.0,67.0,2799747.128740218
2005,21.0,113.0,252946.8712597821
2005,1.0,89.0,376167.0
2005,37.0,87.0,821137.4545454546
2005,37.0,89.0,0.0
2005,37.0,111.0,0.0
2005,37.0,115.0,307926.5454545454
2005,37.0,175.0,0.0
2005,19.0,163.0,2393083.0
2005,39.0,151.0,0.0
2005,39.0,151.0,0.0
2005,18.0,147.0,0.0
2005,26.0,21.0,3324459.0
2005,26.0,21.0,3324459.0
2005,6.0,13.0,2525406.0
2005,1.0,1.0,211842.10145408043
2005,1.0,51.0,264802.6268176005
2005,1.0,101.0,309681.27172831906
2005,31.0,109.0,1751862.0
2005,6.0,37.0,3625891.0
2005,6.0,37.0,3625891.0
2005,1.0,113.0,40736.61911297932
2005,13.0,53.0,77069.27940293385
2005,13.0,145.0,52508.73981298791
2005,13.0,215.0,816934.361671099
2005,22.0,55.0,0.0
2005,2.0,20.0,4246192.0
2005,34.0,1.0,0.0
2005,25.0,1.0,0.0
2005,25.0,23.0,0.0
2005,48.0,339.0,0.0
2005,48.0,79.0,3589099.0
2005,48.0,479.0,3992205.0
2005,18.0,129.0,165385.36723137833
2005,18.0,163.0,3097416.0167572047
2005,21.0,101.0,135969.61601141698
2005,25.0,17.0,44432.469112292725
2005,25.0,17.0,336947.25962030876
2005,33.0,11.0,4533.841940631768
2005,33.0,11.0,34381.74037969121
2005,33.0,11.0,252697.21035209953
2005,37.0,129.0,384469.0
2005,48.0,281.0,435070.0
2005,48.0,61.0,1252913.0
2005,55.0,87.0,1130404.0
2005,24.0,5.0,230859.80564955738
2005,24.0,15.0,4979.701501992098
2005,24.0,25.0,30634.492848450496
2005,37.0,3.0,0.0
2005,37.0,23.0,0.0
2005,37.0,27.0,0.0
2005,9.0,11.0,946590.0
2005,44.0,5.0,946590.0
2005,44.0,5.0,0.0
2005,28.0,47.0,517897.0
2005,55.0,9.0,0.0
2005,55.0,83.0,0.0
2005,23.0,5.0,2245755.0
2005,54.0,11.0,552996.65
2005,54.0,99.0,209757.35
2005,48.0,375.0,0.0
2005,48.0,381.0,389595.0
2005,12.0,1.0,8156064.0
2005,24.0,43.0,95609.83433554765
2005,54.0,3.0,41136.165664452354
2005,45.0,83.0,181579.0
2005,19.0,113.0,1168863.0
2005,27.0,27.0,373183.89434276207
2005,38.0,17.0,816649.1056572378
2005,36.0,79.0,253072.1457439633
2005,9.0,1.0,358246.74643874646
2005,9.0,1.0,461385.8542560367
2005,9.0,1.0,228254.27361789593
2005,17.0,167.0,1385830.0
2005,26.0,121.0,632476.0
2005,21.0,47.0,98805.33954419465
2005,47.0,125.0,119069.66045580537
2005,33.0,11.0,5204.1583515253
