FIPS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01101,1387829.702,1642249.405,1913605.227,2685627.367,1871778.69,2345922.489,2108571.849,2453304.738,2354737.666,2274126.241,2103543.495,1911242.048,1703335.788,1526843.026,1500497.633,935286.3563,1506499.624,1512525.622,1518575.725,1524650.028,1530748.628,1536871.623,1543019.109,1549191.185,1555387.95,1561609.502,1567855.94,1574127.364,1580423.873,1586745.569,1593092.551,1599464.921,1605862.781,1612286.232,1618735.377,1625210.318,1631711.16,1638238.004,1644790.956,1651370.12,1657975.601,1664607.503,1671265.933,1677950.997,1684662.801,1691401.452
01103,0,0,267736.5,262989,227988,230476.5,243064.5,0,0,0,0,62868,260004,230371.5,175267.5,103927.5,175968.57,176672.4443,177379.1341,178088.6506,178801.0052,179516.2092,180234.2741,180955.2111,181679.032,182405.7481,183135.3711,183867.9126,184603.3842,185341.7978,186083.165,186827.4976,187574.8076,188325.1069,189078.4073,189834.7209,190594.0598,191356.436,192121.8618,192890.3492,193661.9106,194436.5583,195214.3045,195995.1617,196779.1424,197566.2589
01113,1355821.59,762804.1173,910647.6059,705413.3087,722607.4292,953753.2163,1249254.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01115,2501414.609,2433316.708,2688838.031,3334878.478,2385028.887,1707190.693,2517956.606,427047.4037,383262.5035,634959.4267,278086.8644,355047.1203,476351.3235,435833.9448,724162.0624,200072.7084,727058.7107,729966.9455,732886.8133,735818.3606,738761.634,741716.6806,744683.5473,747662.2815,750652.9306,753655.5423,756670.1645,759696.8451,762735.6325,765786.5751,768849.7214,771925.1202,775012.8207,778112.872,781225.3235,784350.2248,787487.6257,790637.5762,793800.1265,796975.327,800163.2283,803363.8812,806577.3367,809803.6461,813042.8607,816295.0321
01117,11322008.82,9759911.417,8297446.717,7189907.5,7675309.269,7484296.058,6711218.666,1315624.3,1497127.659,1581234.729,2209467.212,1663714.391,1609191.131,1795076.211,1268906.123,849627.8653,1273981.747,1279077.674,1284193.985,1289330.761,1294488.084,1299666.036,1304864.7,1310084.159,1315324.496,1320585.794,1325868.137,1331171.61,1336496.296,1341842.281,1347209.65,1352598.489,1358008.883,1363440.918,1368894.682,1374370.261,1379867.742,1385387.213,1390928.762,1396492.477,1402078.447,1407686.76,1413317.507,1418970.778,1424646.661,1430345.247
01125,0,197082,198977,211651,211294,254364,293894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02020,4246192,4230424,4443761,4735518,4679731,4685789,4723682,4699812,4583881,4468841,4206851,4005042,3807980,3766413,3953771,1966321,3969586.084,3985464.428,4001406.286,4017411.911,4033481.559,4049615.485,4065813.947,4082077.203,4098405.512,4114799.134,4131258.33,4147783.364,4164374.497,4181031.995,4197756.123,4214547.147,4231405.336,4248330.957,4265324.281,4282385.578,4299515.121,4316713.181,4333980.034,4351315.954,4368721.218,4386196.103,4403740.887,4421355.851,4439041.274,4456797.439
02090,419602,369626,317785,344456,398398,403936,426956,474502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04005,0,0,0,0,1233007,1024162,1468378,1832162,1882716,1901069,1900917,2038537,2246735,2559832,2537726,1370994,2547876.904,2558068.412,2568300.685,2578573.888,2588888.184,2599243.736,2609640.711,2620079.274,2630559.591,2641081.83,2651646.157,2662252.741,2672901.752,2683593.359,2694327.733,2705105.044,2715925.464,2726789.166,2737696.323,2748647.108,2759641.696,2770680.263,2781762.984,2792890.036,2804061.596,2815277.843,2826538.954,2837845.11,2849196.49,2860593.276
04013,60912222,62117198,62787188,67344677,73811375,69562237,72233761,75430954,75649367,74631888,71618936,69613639,72504136,72127628,69235122,48803666,69512062.49,69790110.74,70069271.18,70349548.27,70630946.46,70913470.24,71197124.13,71481912.62,71767840.27,72054911.63,72343131.28,72632503.81,72923033.82,73214725.96,73507584.86,73801615.2,74096821.66,74393208.95,74690781.78,74989544.91,75289503.09,75590661.1,75893023.75,76196595.84,76501382.22,76807387.75,77114617.3,77423075.77,77732768.08,78043699.15
