FIPS,Geotype,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1021,D,3107.18,3105.56,3010.98,3010.98,3010.98,3010.948,3013.176,3013.188,3007.694,3084.843,3161.992,3166.67,2642.245,2620.583,2881.94,2914.498,2881.732,2881.75,2881.896,2881.236,2879.702,2880.315321,2880.928772,2881.542354,2882.156066,2882.769909,2883.383883,2883.997988,2884.612224,2885.22659,2885.841087,2886.455715,2887.070474,2887.685364,2888.300385,2888.915537,2889.53082,2890.146234,2890.761779,2891.377455,2891.993262,2892.609201,2893.22527,2893.841471,2894.457803,2895.074266,2895.690861,2896.307587,2896.924444,2897.541433,2898.158553
1023,D,1706.3,1706.04,1691.06,1691.06,1691.06,1691.002,1691.002,1691.052,1691.052,1702.732,1714.412,1759.442,1576.771,1576.997,1689.352,1689.352,1689.131,1689.111,1689.113,1689.119,1695.915,1696.276197,1696.637471,1696.998822,1697.360249,1697.721754,1698.083336,1698.444995,1698.806731,1699.168543,1699.530433,1699.8924,1700.254444,1700.616565,1700.978764,1701.341039,1701.703392,1702.065822,1702.428328,1702.790913,1703.153574,1703.516313,1703.879129,1704.242022,1704.604992,1704.96804,1705.331165,1705.694367,1706.057647,1706.421004,1706.784439
1025,C,2377.64,2377.64,2362.12,2362.12,2362.98,2368.552,2373.138,2371.504,2371.504,2405.083,2438.662,2533.339,2182.395,2182.883,2416.381,2420.991,2421.164,2421.552,2420.974,2420.162,2420.576,2425.210541,2429.853955,2434.50626,2439.167473,2443.83761,2448.516688,2453.204726,2457.901739,2462.607745,2467.322762,2472.046806,2476.779896,2481.522047,2486.273278,2491.033606,2495.803048,2500.581622,2505.369345,2510.166235,2514.972309,2519.787585,2524.612081,2529.445814,2534.288802,2539.141063,2544.002613,2548.873472,2553.753657,2558.643186,2563.542076
1027,D,2156.18,2156.18,2141.46,2141.46,2141.46,2141.656,2141.656,2141.99,2141.83,2162.443,2183.056,2186.666,1777.079,1776.735,1861.145,1861.143,1860.893,1860.893,1860.919,1859.79,1966.2,1966.618762,1967.037614,1967.456555,1967.875585,1968.294704,1968.713913,1969.13321,1969.552598,1969.972074,1970.39164,1970.811295,1971.231039,1971.650873,1972.070797,1972.49081,1972.910912,1973.331103,1973.751385,1974.171755,1974.592216,1975.012765,1975.433405,1975.854134,1976.274952,1976.69586,1977.116858,1977.537946,1977.959123,1978.38039,1978.801746
1029,C,1904.18,1904.18,2037.3,2037.26,2037.26,2035.348,2036.776,2036.74,2036.89,2115.382,2193.874,2194.191,1683.746,1600.997,1809.557,1809.773,1805.47,1805.489,1824.841,1827.839,2039.079,2042.98311,2046.894695,2050.813769,2054.740347,2058.674443,2062.616072,2066.565247,2070.521983,2074.486295,2078.458198,2082.437705,2086.424831,2090.419592,2094.422001,2098.432073,2102.449823,2106.475266,2110.508416,2114.549288,2118.597896,2122.654257,2126.718384,2130.790292,2134.869996,2138.957512,2143.052854,2147.156037,2151.267076,2155.385986,2159.512783
1031,C,2589.66,2579.4,2576,2576,2572,2569.038,2575.328,2574.13,2574.95,2526.79,2478.63,2582.474,2162.519,2170.261,2647.227,2679.306,2656.225,2659.895,2659.645,2660.395,2660.761,2665.85541,2670.959573,2676.07351,2681.197237,2686.330775,2691.474142,2696.627356,2701.790437,2706.963403,2712.146274,2717.339068,2722.541805,2727.754503,2732.977181,2738.209859,2743.452556,2748.70529,2753.968082,2759.24095,2764.523914,2769.816992,2775.120205,2780.433572,2785.757112,2791.090845,2796.43479,2801.788966,2807.153394,2812.528093,2817.913083
1033,C,2474.91,2473.72,2498.46,2498.46,2504.35,2503.998,2503.296,2503.876,2503.876,2609.478,2715.08,2722.636,1874.722,1877.092,2563.167,2563.217,2565.177,2565.177,2565.167,2563.547,2631.696,2636.734761,2641.783168,2646.841242,2651.909001,2656.986462,2662.073645,2667.170568,2672.277249,2677.393708,2682.519964,2687.656034,2692.801938,2697.957695,2703.123323,2708.298841,2713.484269,2718.679625,2723.884928,2729.100198,2734.325452,2739.560712,2744.805995,2750.061321,2755.326709,2760.602178,2765.887748,2771.183438,2776.489267,2781.805255,2787.131422
1035,C,2236.74,2238.3,2234.7,2234.7,1996.56,1995.94,1995.94,1994.752,1994.752,2057.898,2121.044,2179.896,2036.257,2037.836,2096.699,2098.497,2098.467,2098.587,2100.055,2100.097,2100.559,2104.580822,2108.610345,2112.647583,2116.692551,2120.745263,2124.805735,2128.873981,2132.950016,2137.033856,2141.125515,2145.225007,2149.332349,2153.447555,2157.57064,2161.70162,2165.840508,2169.987322,2174.142074,2178.304782,2182.47546,2186.654123,2190.840787,2195.035467,2199.238178,2203.448936,2207.667756,2211.894653,2216.129644,2220.372743,2224.623966
1037,C,1761.91,1765.91,1747.33,1747.33,1747.33,1741.816,1743.064,1743.18,1742.96,1826.852,1910.744,1910.588,1545.171,1615.049,1663.622,1663.622,1663.474,1663.46,1663.458,1663.03,1670.584,1673.782573,1676.987271,1680.198104,1683.415085,1686.638225,1689.867537,1693.103031,1696.344721,1699.592617,1702.846731,1706.107076,1709.373664,1712.646505,1715.925613,1719.211,1722.502677,1725.800656,1729.104949,1732.415569,1735.732528,1739.055838,1742.38551,1745.721558,1749.063993,1752.412828,1755.768074,1759.129745,1762.497852,1765.872407,1769.253424
1039,C,3735.57,3735.57,3641.99,3641.99,3759.23,3800.81,3789.78,3789.448,3787.834,3910.365,4032.896,4121.874,3163.112,3184.986,3737.588,3755.584,3755.636,3755.092,3755.09,3769.097,3865.155,3872.555395,3879.96996,3887.39872,3894.841704,3902.298939,3909.770451,3917.256269,3924.75642,3932.270931,3939.799829,3947.343142,3954.900899,3962.473125,3970.05985,3977.661101,3985.276905,3992.907291,4000.552286,4008.211919,4015.886217,4023.575209,4031.278922,4038.997386,4046.730627,4054.478675,4062.241558,4070.019303,4077.811941,4085.619498,4093.442005
