FIPS,Geotype,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,F,1980.32,1983.54,1922.24,1922.24,1648.34,1648.58,1697.992,1696.118,1707.49,1768.268,1829.046,1826.253,1772.362,1772.204,2191.1,2175.819,2190.783,2190.748,2191.584,2201.279,2144.136,2178.487633,2213.389619,2248.850778,2284.880067,2321.486588,2358.67959,2396.468469,2434.86277,2473.872194,2513.506597,2553.775989,2594.690546,2636.260603,2678.496663,2721.409395,2765.00964,2809.308413,2854.316906,2900.04649,2946.508715,2993.715322,3041.678235,3090.409572,3139.921643,3190.226956,3241.338222,3293.268351,3346.030463,3399.637888,3454.104168
1003,C,4905.66,4905.66,4851.42,4851.42,4925.15,4915.608,4928.932,5090.488,5095.558,5969.0805,6842.603,6935.813,7200.508,7132.492,7483.533,7486.463,7451.331,7446.839,7565.938,7592.919,7472.681,7538.795334,7605.494613,7672.784012,7740.668752,7809.1541,7878.245371,7947.947924,8018.267169,8089.208561,8160.777606,8232.979855,8305.820912,8379.306428,8453.442105,8528.233696,8603.687002,8679.80788,8756.602236,8834.076027,8912.235265,8991.086015,9070.634394,9150.886576,9231.848787,9313.527308,9395.928478,9479.05869,9562.924394,9647.532098,9732.888366
1005,C,2479.12,2479.12,2369.79,2369.79,2369.59,2366.156,2366.894,2366.87,2366.87,2434.2485,2501.627,2501.142,1870.85,1849.26,2141.789,2173.01,2173.719,2174.045,2174.065,2174.407,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509,2215.509
1007,D,1804.75,1805.09,1859.55,1859.55,1753.85,1767.491,1756.661,1754.555,1754.421,1788.2115,1822.002,1822.88,1565.789,1588.743,1905.769,1923.877,1923.845,1923.881,1926.145,1923.522,1992.693,2010.617924,2028.704088,2046.952943,2065.365953,2083.944594,2102.690355,2121.604741,2140.689268,2159.945467,2179.374881,2198.979069,2218.759604,2238.71807,2258.85607,2279.175217,2299.677142,2320.363489,2341.235915,2362.296096,2383.545721,2404.986492,2426.62013,2448.44837,2470.472962,2492.695673,2515.118284,2537.742594,2560.570416,2583.603583,2606.84394
1009,D,2763.56,2764,2627.06,2627.06,2627.06,2629.284,2667.206,2667.122,2656.202,2674.726,2693.25,2696.333,2712.513,2718.109,3107.994,3107.993,3107.841,3107.2,3108.038,3107.288,3126.627,3173.627966,3221.335473,3269.760142,3318.912754,3368.804252,3419.445744,3470.848502,3523.023972,3575.983768,3629.739681,3684.30368,3739.687911,3795.904704,3852.966575,3910.886228,3969.676557,4029.35065,4089.921794,4151.403472,4213.809372,4277.153388,4341.449621,4406.712387,4472.956214,4540.19585,4608.446265,4677.722653,4748.040437,4819.415272,4891.863048
1011,E,1307.4,1307.4,1294.76,1294.76,1400.46,1402.572,1402.572,1401.846,1401.646,1464.236,1526.826,1529.098,1140.278,1175.584,1213.848,1216.326,1225.697,1225.367,1225.375,1217.69,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886,1253.886
1013,C,2375.94,2375.53,2279.01,2279.01,2077.01,2080.88,2279.676,2275.158,2274.758,2349.846,2424.934,2434.69,1909.868,2647.426,2091.486,2090.79,2090.968,2090.726,2090.406,2090.422,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693,2086.693
1015,C,4011.41,4017.21,4526.01,4525.97,4525.934,4533.78,4678.918,4679.942,4681.586,4789.121,4896.656,4889.669,2651.589,2630.09,3608.257,3644.042,3652.373,3652.304,3655.998,3637.077,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55,3871.55
1017,C,2078.84,2076.06,2007.96,2007.96,2007.96,2006.86,2006.86,2009.214,2009.812,2097.2245,2184.637,2187.744,2187.744,1947.828,2268.059,2268.059,2268.742,2268.945,2268.913,2267.053,2269.004,2277.617857,2286.264416,2294.943799,2303.656132,2312.40154,2321.180148,2329.992082,2338.83747,2347.716437,2356.629111,2365.575621,2374.556095,2383.570662,2392.61945,2401.702591,2410.820214,2419.972451,2429.159432,2438.38129,2447.638157,2456.930166,2466.257451,2475.620144,2485.018382,2494.452298,2503.922029,2513.427709,2522.969476,2532.547467,2542.161818
1019,C,2040.04,2040.04,2035.4,2035.4,2036.79,2039.784,2036.264,2036.26,2043.76,2094.1215,2144.483,2144.953,1922.634,1923.689,2196.544,2200.409,2193.945,2193.945,2193.905,2169.543,2189.299,2193.831792,2198.373969,2202.92555,2207.486555,2212.057003,2216.636913,2221.226307,2225.825202,2230.433619,2235.051577,2239.679097,2244.316197,2248.962898,2253.61922,2258.285183,2262.960806,2267.64611,2272.341114,2277.045839,2281.760304,2286.484531,2291.218539,2295.962348,2300.715979,2305.479452,2310.252788,2315.036006,2319.829128,2324.632174,2329.445164
