"ST","NAICS","LFO","ESTAB_F","ESTAB","RCPTOT_N_F","RCPTOT_F","RCPTOT"
"01","00","-",,336445,"G",,14797010
"01","00","C",,2120,"G",,284011
"01","00","Z",,10736,"G",,1494019
"01","00","S",,300297,"G",,9998975
"01","00","P",,23292,"G",,3020005
"01","11","-",,4373,"G",,208050
"01","11","C",,28,"G",,3281
"01","11","Z",,147,"G",,27050
"01","11","S",,4026,"G",,153978
"01","11","P",,172,"G",,23741
"01","113","-",,1282,"G",,90546
"01","113","C",,6,"H",,806
"01","113","Z",,44,"G",,6823
"01","113","S",,1159,"G",,69729
"01","113","P",,73,"G",,13188
"01","114","-",,1283,"G",,57827
"01","114","C",,11,"J",,1575
"01","114","Z",,63,"G",,13790
"01","114","S",,1155,"G",,37746
"01","114","P",,54,"G",,4716
"01","1141","-",,1013,"G",,48569
"01","1141","C",,5,"J",,955
"01","1141","Z",,47,"G",,12387
"01","1141","S",,938,"G",,31747
"01","1141","P",,23,"G",,3480
"01","11411","-",,1013,"G",,48569
"01","11411","C",,5,"J",,955
"01","11411","Z",,47,"G",,12387
"01","11411","S",,938,"G",,31747
"01","11411","P",,23,"G",,3480
"01","1142","-",,270,"G",,9258
"01","1142","C",,6,"G",,620
"01","1142","Z",,16,"G",,1403
"01","1142","S",,217,"G",,5999
"01","1142","P",,31,"G",,1236
"01","11421","-",,270,"G",,9258
"01","11421","C",,6,"G",,620
"01","11421","Z",,16,"G",,1403
"01","11421","S",,217,"G",,5999
"01","11421","P",,31,"G",,1236
"01","115","-",,1808,"G",,59677
"01","115","C",,11,"H",,900
"01","115","Z",,40,"H",,6437
"01","115","S",,1712,"G",,46503
"01","115","P",,45,"G",,5837
"01","1151","-",,717,"G",,15584
"01","1151","Z",,8,"J",,1092
"01","1151","S",,696,"G",,12628
"01","1151","P",,11,"G",,1778
"01","11511","-",,717,"G",,15584
"01","11511","Z",,8,"J",,1092
"01","11511","S",,696,"G",,12628
"01","11511","P",,11,"G",,1778
"01","1152","-",,736,"G",,24576
"01","1152","C",,3,"H",,245
"01","1152","Z",,5,"G",,919
"01","1152","S",,713,"G",,21721
"01","1152","P",,15,"H",,1691
"01","11521","-",,736,"G",,24576
"01","11521","C",,3,"H",,245
"01","11521","Z",,5,"G",,919
"01","11521","S",,713,"G",,21721
"01","11521","P",,15,"H",,1691
"01","1153","-",,355,"G",,19517
"01","1153","C",,6,"J",,569
"01","1153","Z",,27,"H",,4426
"01","1153","S",,303,"G",,12154
"01","1153","P",,19,"G",,2368
"01","11531","-",,355,"G",,19517
"01","11531","C",,6,"J",,569
"01","11531","Z",,27,"H",,4426
"01","11531","S",,303,"G",,12154
"01","11531","P",,19,"G",,2368
"01","21","-",,417,"G",,24723
"01","21","C",,6,"H",,177
"01","21","Z",,30,"G",,3995
"01","21","S",,343,"G",,16160
"01","21","P",,38,"G",,4391
"01","211","-",,237,"G",,11565
"01","211","Z",,8,"H",,977
"01","211","S",,202,"G",,8064
"01","211","P",,26,"G",,2484
"01","2111","-",,237,"G",,11565
"01","2111","Z",,8,"H",,977
"01","2111","S",,202,"G",,8064
"01","2111","P",,26,"G",,2484
"01","21112","-",,178,"G",,9774
"01","21112","Z",,8,"H",,977
"01","21112","S",,149,"G",,6527
"01","21112","P",,20,"G",,2230
"01","21113","-",,59,"H",,1791
"01","21113","S",,53,"H",,1537
"01","21113","P",,6,"G",,254
"01","212","-",,82,"G",,6251
"01","212","C",,5,"G",,137
"01","212","Z",,9,"G",,1776
"01","212","S",,59,"H",,2998
"01","212","P",,9,"G",,1340
"01","2121","-",,23,"H",,431
"01","2121","S",,21,"H",,257
"01","21211","-",,23,"H",,431
"01","21211","S",,21,"H",,257
"01","2122","-",,11,"J",,358
"01","2122","S",,10,"J",,147
"01","2123","-",,48,"H",,5462
"01","2123","C",,5,"G",,137
"01","2123","Z",,8,"G",,1565
"01","2123","S",,28,"H",,2594
"01","2123","P",,7,"G",,1166
"01","213","-",,98,"G",,6907
"01","213","Z",,13,"H",,1242
"01","213","S",,82,"G",,5098
"01","213","P",,3,"J",,567
"01","2131","-",,98,"G",,6907
"01","2131","Z",,13,"H",,1242
"01","2131","S",,82,"G",,5098
"01","2131","P",,3,"J",,567
"01","21311","-",,98,"G",,6907
"01","21311","Z",,13,"H",,1242
"01","21311","S",,82,"G",,5098
"01","21311","P",,3,"J",,567
"01","22","-",,159,"G",,7926
"01","22","C",,6,"H",,848
"01","22","Z",,13,"J",,1598
"01","22","S",,127,"G",,2479
"01","22","P",,13,"H",,3001
"01","221","-",,159,"G",,7926
"01","221","C",,6,"H",,848
"01","221","Z",,13,"J",,1598
"01","221","S",,127,"G",,2479
"01","221","P",,13,"H",,3001
"01","23","-",,41398,"G",,2696397
"01","23","C",,225,"G",,37821
"01","23","Z",,1392,"G",,283272
"01","23","S",,38826,"G",,2153210
"01","23","P",,955,"G",,222094
"01","236","-",,11447,"G",,1056136
"01","236","C",,89,"G",,20564
"01","236","Z",,576,"G",,140880
"01","236","S",,10386,"G",,785908
"01","236","P",,396,"G",,108784
"01","2361","-",,9737,"G",,908427
"01","2361","C",,68,"G",,17641
"01","2361","Z",,479,"G",,122588
"01","2361","S",,8851,"G",,672358
"01","2361","P",,339,"G",,95840
"01","2362","-",,1710,"G",,147709
"01","2362","C",,21,"H",,2923
"01","2362","Z",,97,"G",,18292
"01","2362","S",,1535,"G",,113550
"01","2362","P",,57,"H",,12944
"01","237","-",,754,"G",,71770
"01","237","C",,13,"G",,3220
"01","237","Z",,84,"G",,13281
"01","237","S",,584,"G",,39145
"01","237","P",,73,"G",,16124
"01","2371","-",,154,"G",,11763
"01","2371","Z",,6,"H",,1270
"01","2371","S",,141,"G",,8426
"01","2371","P",,5,"J",,1082
"01","2372","-",,204,"G",,30443
"01","2372","C",,6,"G",,1271
"01","2372","Z",,50,"H",,7386
"01","2372","S",,98,"G",,9086
"01","2372","P",,50,"G",,12700
"01","23721","-",,204,"G",,30443
"01","23721","C",,6,"G",,1271
"01","23721","Z",,50,"H",,7386
"01","23721","S",,98,"G",,9086
"01","23721","P",,50,"G",,12700
"01","2373","-",,99,"G",,6666
"01","2373","C",,3,"G",,558
"01","2373","Z",,7,"G",,769
"01","2373","S",,84,"G",,4900
"01","2373","P",,5,"H",,439
"01","23731","-",,99,"G",,6666
"01","23731","C",,3,"G",,558
"01","23731","Z",,7,"G",,769
"01","23731","S",,84,"G",,4900
"01","23731","P",,5,"H",,439
"01","2379","-",,297,"G",,22898
"01","2379","Z",,21,"H",,3856
"01","2379","S",,261,"G",,16733
"01","2379","P",,13,"G",,1903
"01","23799","-",,297,"G",,22898
"01","23799","Z",,21,"H",,3856
"01","23799","S",,261,"G",,16733
"01","23799","P",,13,"G",,1903
"01","238","-",,29197,"G",,1568491
"01","238","C",,123,"G",,14037
"01","238","Z",,732,"G",,129111
"01","238","S",,27856,"G",,1328157
"01","238","P",,486,"G",,97186
"01","2381","-",,5399,"G",,327775
"01","2381","C",,16,"G",,2365
"01","2381","Z",,79,"G",,17055
"01","2381","S",,5258,"G",,293966
"01","2381","P",,46,"H",,14389
"01","2382","-",,5424,"G",,298896
"01","2382","C",,27,"H",,3386
"01","2382","Z",,205,"G",,29403
"01","2382","S",,5078,"G",,245931
"01","2382","P",,114,"G",,20176
"01","23821","-",,2138,"G",,90612
"01","23821","C",,9,"H",,1449
"01","23821","Z",,74,"G",,10007
"01","23821","S",,2020,"G",,74295
"01","23821","P",,35,"G",,4861
"01","23822","-",,2914,"G",,186073
"01","23822","C",,16,"G",,1894
"01","23822","Z",,111,"G",,17205
"01","23822","S",,2721,"G",,154440
"01","23822","P",,66,"G",,12534
"01","23829","-",,372,"G",,22211
"01","23829","Z",,20,"H",,2191
"01","23829","S",,337,"G",,17196
"01","23829","P",,13,"G",,2781
"01","2383","-",,9731,"G",,459596
"01","2383","C",,19,"G",,1322
"01","2383","Z",,118,"G",,22720
"01","2383","S",,9511,"G",,420732
"01","2383","P",,83,"G",,14822
"01","2389","-",,8643,"G",,482224
"01","2389","C",,61,"G",,6964
"01","2389","Z",,330,"G",,59933
"01","2389","S",,8009,"G",,367528
"01","2389","P",,243,"G",,47799
"01","31-33","-",,4663,"G",,211702
"01","31-33","C",,64,"G",,7588
"01","31-33","Z",,309,"G",,37407
"01","31-33","S",,4012,"G",,140656
"01","31-33","P",,278,"G",,26051
"01","311","-",,705,"G",,19562
"01","311","C",,3,"J",,151
"01","311","Z",,29,"G",,2836
"01","311","S",,639,"G",,14521
"01","311","P",,34,"G",,2054
"01","3111","-",,25,"G",,900
"01","3111","S",,24,"H",,787
"01","31111","-",,25,"G",,900
"01","31111","S",,24,"H",,787
"01","3112","-",,3,"J",,111
"01","3113","-",,23,"H",,311
"01","3113","S",,21,"H",,250
"01","3114","-",,45,"G",,935
"01","3114","Z",,3,"J",,23
"01","3114","S",,39,"G",,903
"01","3114","P",,3,"J",,9
"01","3115","-",,11,"G",,391
"01","3115","S",,10,"H",,284
"01","3116","-",,95,"G",,2352
"01","3116","Z",,5,"G",,371
"01","3116","S",,86,"G",,1746
"01","3116","P",,4,"J",,235
"01","31161","-",,95,"G",,2352
"01","31161","Z",,5,"G",,371
"01","31161","S",,86,"G",,1746
"01","31161","P",,4,"J",,235
"01","3117","-",,41,"G",,3661
"01","3117","Z",,4,"G",,1375
"01","3117","S",,36,"G",,1990
"01","31171","-",,41,"G",,3661
"01","31171","Z",,4,"G",,1375
"01","31171","S",,36,"G",,1990
"01","3118","-",,302,"G",,4840
"01","3118","Z",,3,"H",,228
"01","3118","S",,290,"G",,4212
"01","3118","P",,7,"J",,302
"01","3119","-",,160,"G",,6061
"01","3119","Z",,12,"G",,778
"01","3119","S",,131,"G",,4344
"01","3119","P",,16,"G",,886
"01","312","-",,30,"H",,2097
"01","312","Z",,4,"J",,1243
"01","312","S",,21,"G",,603
"01","312","P",,5,"J",,251
"01","313","-",,32,"G",,606
"01","313","S",,31,"G",,533
"01","314","-",,59,"G",,1880
"01","314","Z",,4,"G",,590
"01","314","S",,50,"G",,1028
"01","314","P",,3,"J",,99
"01","315","-",,410,"G",,9353
"01","315","C",,4,"J",,969
"01","315","Z",,14,"H",,1267
"01","315","S",,377,"H",,6559
"01","315","P",,15,"H",,558
"01","316","-",,60,"G",,3184
"01","316","S",,57,"G",,2921
"01","3161","-",,16,"H",,1147
"01","3161","S",,16,"H",,1147
"01","31611","-",,16,"H",,1147
"01","31611","S",,16,"H",,1147
"01","3162","-",,6,"G",,195
"01","3162","S",,6,"G",,195
"01","31621","-",,6,"G",,195
"01","31621","S",,6,"G",,195
"01","3169","-",,38,"G",,1842
"01","3169","S",,35,"G",,1579
"01","31699","-",,38,"G",,1842
"01","31699","S",,35,"G",,1579
"01","321","-",,380,"G",,17145
"01","321","Z",,22,"H",,1514
"01","321","S",,343,"G",,13870
"01","321","P",,14,"G",,1749
"01","322","-",,17,"H",,1189
"01","322","S",,14,"H",,557
"01","323","-",,423,"G",,16908
"01","323","C","S",0,"S","S",0
"01","323","Z",,33,"G",,3480
"01","323","S",,360,"G",,10594
"01","323","P",,22,"H",,1653
"01","3231","-",,423,"G",,16908
"01","3231","C","S",0,"S","S",0
"01","3231","Z",,33,"G",,3480
"01","3231","S",,360,"G",,10594
"01","3231","P",,22,"H",,1653
"01","324","-",,21,"G",,1213
"01","324","Z",,7,"G",,1049
"01","324","S",,13,"H",,122
"01","3241","-",,21,"G",,1213
"01","3241","Z",,7,"G",,1049
"01","3241","S",,13,"H",,122
"01","325","-",,164,"G",,7352
"01","325","C",,3,"H",,652
"01","325","Z",,12,"G",,1347
"01","325","S",,139,"G",,4911
"01","325","P",,10,"G",,442
"01","3251","-",,7,"H",,264
"01","3251","S",,5,"J",,189
"01","3252","-",,4,"J",,51
"01","3252","S",,3,"H",,24
"01","3253","-",,17,"H",,1192
"01","3253","S",,14,"H",,981
"01","3254","-",,14,"G",,1567
"01","3254","S",,9,"H",,235
"01","32541","-",,14,"G",,1567
"01","32541","S",,9,"H",,235
"01","3255","-",,41,"G",,2642
"01","3255","Z",,4,"J",,625
"01","3255","S",,36,"G",,1961
"01","3256","-",,56,"G",,949
"01","3256","S",,51,"H",,867
"01","3256","P",,3,"J",,15
"01","3259","-",,25,"G",,687
"01","3259","S",,21,"G",,654
"01","326","-",,56,"G",,1839
"01","326","Z",,4,"G",,149
"01","326","S",,44,"G",,1312
"01","326","P",,7,"H",,377
"01","327","-",,106,"G",,5197
"01","327","Z",,8,"J",,1039
"01","327","S",,93,"G",,2828
"01","327","P",,5,"J",,1330
"01","3271","-",,30,"G",,398
"01","3271","S",,27,"G",,367
"01","3272","-",,23,"H",,557
"01","3272","S",,20,"G",,181
"01","32721","-",,23,"H",,557
"01","32721","S",,20,"G",,181
"01","3273","-",,34,"H",,2887
"01","3273","Z",,3,"J",,951
"01","3273","S",,30,"G",,1877
"01","3279","-",,18,"J",,1331
"01","3279","S",,16,"G",,403
"01","331","-",,57,"H",,2582
"01","331","C",,3,"J",,55
"01","331","Z",,3,"H",,88
"01","331","S",,43,"H",,2095
"01","331","P",,8,"H",,344
"01","332","-",,615,"G",,37221
"01","332","C",,12,"H",,1748
"01","332","Z",,55,"G",,7176
"01","332","S",,506,"G",,23618
"01","332","P",,42,"H",,4679
"01","333","-",,231,"G",,14713
"01","333","C",,7,"G",,1111
"01","333","Z",,20,"G",,3099
"01","333","S",,181,"G",,8065
"01","333","P",,23,"H",,2438
"01","334","-",,102,"H",,4290
"01","334","Z",,7,"J",,772
"01","334","S",,86,"G",,2931
"01","334","P",,7,"H",,544
"01","335","-",,83,"G",,5871
"01","335","C",,3,"J",,67
"01","335","Z",,6,"G",,933
"01","335","S",,67,"G",,4053
"01","335","P",,7,"J",,818
"01","336","-",,144,"G",,11710
"01","336","C",,3,"G",,107
"01","336","Z",,14,"G",,3351
"01","336","S",,116,"G",,6561
"01","336","P",,11,"G",,1691
"01","337","-",,270,"G",,11704
"01","337","Z",,9,"H",,1487
"01","337","S",,249,"G",,9540
"01","337","P",,11,"J",,603
"01","339","-",,698,"G",,36086
"01","339","C",,9,"G",,1175
"01","339","Z",,55,"G",,5600
"01","339","S",,583,"G",,23434
"01","339","P",,51,"J",,5877
"01","3391","-",,80,"G",,5604
"01","3391","Z",,8,"G",,518
"01","3391","S",,63,"G",,3968
"01","3391","P",,7,"H",,974
"01","33911","-",,80,"G",,5604
"01","33911","Z",,8,"G",,518
"01","33911","S",,63,"G",,3968
"01","33911","P",,7,"H",,974
"01","3399","-",,618,"G",,30482
"01","3399","C",,7,"G",,1031
"01","3399","Z",,47,"G",,5082
"01","3399","S",,520,"G",,19466
"01","3399","P",,44,"J",,4903
"01","42","-",,4992,"G",,410542
"01","42","C",,80,"G",,10594
"01","42","Z",,403,"G",,67045
"01","42","S",,4197,"G",,286526
"01","42","P",,312,"G",,46377
"01","423","-",,2398,"G",,223191
"01","423","C",,43,"G",,5364
"01","423","Z",,220,"G",,38769
"01","423","S",,1968,"G",,152115
"01","423","P",,167,"G",,26943
"01","4231","-",,330,"G",,47966
"01","4231","C",,7,"G",,1716
"01","4231","Z",,30,"G",,7574
"01","4231","S",,272,"G",,35674
"01","4231","P",,21,"H",,3002
"01","4232","-",,207,"G",,16277
"01","4232","Z",,18,"G",,3004
"01","4232","S",,174,"G",,10530
"01","4232","P",,14,"G",,2725
"01","4233","-",,131,"G",,18151
"01","4233","Z",,16,"H",,3028
"01","4233","S",,98,"G",,11323
"01","4233","P",,16,"G",,3469
"01","4234","-",,135,"H",,12699
"01","4234","Z",,22,"H",,2489
"01","4234","S",,103,"G",,8846
"01","4234","P",,9,"J",,1220
"01","4235","-",,44,"H",,4065
"01","4235","Z",,5,"H",,298
"01","4235","S",,34,"G",,1868
"01","4235","P",,4,"J",,1863
"01","4236","-",,78,"G",,7797
"01","4236","Z",,10,"H",,1618
"01","4236","S",,63,"H",,5297
"01","4236","P",,4,"G",,843
"01","4237","-",,50,"G",,3868
"01","4237","Z",,6,"H",,892
"01","4237","S",,40,"G",,2325
"01","4237","P",,4,"G",,651
"01","4238","-",,218,"G",,31219
"01","4238","C",,12,"G",,1819
"01","4238","Z",,31,"G",,7709
"01","4238","S",,157,"G",,15846
"01","4238","P",,18,"G",,5845
"01","4239","-",,1205,"G",,81149
"01","4239","C",,19,"J",,1261
"01","4239","Z",,82,"G",,12157
"01","4239","S",,1027,"G",,60406
"01","4239","P",,77,"G",,7325
"01","42391","-",,185,"G",,7778
"01","42391","Z",,18,"G",,690
"01","42391","S",,151,"G",,6474
"01","42391","P",,14,"H",,595
"01","42392","-",,82,"G",,2849
"01","42392","Z",,4,"J",,264
"01","42392","S",,70,"G",,2261
"01","42392","P",,7,"H",,320
"01","42393","-",,165,"G",,13248
"01","42393","C",,4,"J",,313
"01","42393","Z",,7,"G",,1299
"01","42393","S",,147,"G",,11131
"01","42393","P",,7,"H",,505
"01","42394","-",,188,"G",,13672
"01","42394","Z",,7,"H",,1230
"01","42394","S",,174,"G",,11303
"01","42394","P",,5,"H",,656
"01","42399","-",,585,"G",,43602
"01","42399","C",,10,"H",,442
"01","42399","Z",,46,"G",,8674
"01","42399","S",,485,"G",,29237
"01","42399","P",,44,"H",,5249
"01","424","-",,1823,"G",,136210
"01","424","C",,28,"G",,4450
"01","424","Z",,145,"G",,24496
"01","424","S",,1535,"G",,91728
"01","424","P",,115,"G",,15536
"01","4241","-",,72,"G",,7190
"01","4241","Z",,6,"J",,297
"01","4241","S",,59,"H",,4944
"01","4241","P",,7,"G",,1949
"01","4242","-",,52,"G",,3346
"01","4242","Z",,4,"G",,775
"01","4242","S",,41,"G",,2263
"01","4242","P",,7,"G",,308
"01","42421","-",,52,"G",,3346
"01","42421","Z",,4,"G",,775
"01","42421","S",,41,"G",,2263
"01","42421","P",,7,"G",,308
"01","4243","-",,381,"G",,16820
"01","4243","C",,3,"H",,193
"01","4243","Z",,16,"G",,2662
"01","4243","S",,336,"G",,12556
"01","4243","P",,26,"G",,1409
"01","4244","-",,386,"G",,46753
"01","4244","C",,8,"G",,1650
"01","4244","Z",,55,"G",,12433
"01","4244","S",,303,"G",,30177
"01","4244","P",,20,"G",,2493
"01","4245","-",,59,"G",,3531
"01","4245","C",,3,"G",,395
"01","4245","Z",,3,"J",,487
"01","4245","S",,50,"G",,1641
"01","4245","P",,3,"J",,1008
"01","4246","-",,38,"G",,3715
"01","4246","Z",,4,"H",,250
"01","4246","S",,27,"H",,1806
"01","4246","P",,5,"G",,1505
"01","4247","-",,34,"H",,1877
"01","4247","Z",,3,"J",,14
"01","4247","S",,27,"G",,1037
"01","4248","-",,38,"H",,2976
"01","4248","Z",,3,"J",,298
"01","4248","S",,28,"H",,1652
"01","4248","P",,5,"G",,424
"01","4249","-",,763,"G",,50002
"01","4249","C",,8,"G",,717
"01","4249","Z",,51,"G",,7280
"01","4249","S",,664,"G",,35652
"01","4249","P",,40,"G",,6353
"01","42491","-",,41,"G",,2233
"01","42491","S",,37,"G",,1702
"01","42492","-",,101,"G",,2000
"01","42492","S",,100,"G",,1999
"01","42493","-",,126,"G",,7132
"01","42493","Z",,5,"G",,525
"01","42493","S",,116,"G",,6245
"01","42493","P",,4,"G",,324
"01","42494","-",,12,"G",,1195
"01","42494","S",,11,"G",,1099
"01","42495","-",,32,"G",,2272
"01","42495","S",,28,"H",,955
"01","42499","-",,451,"G",,35170
"01","42499","C",,7,"G",,679
"01","42499","Z",,41,"G",,6379
"01","42499","S",,372,"G",,23652
"01","42499","P",,31,"G",,4460
"01","425","-",,771,"G",,51141
"01","425","C",,9,"H",,780
"01","425","Z",,38,"G",,3780
"01","425","S",,694,"G",,42683
"01","425","P",,30,"G",,3898
"01","4251","-",,771,"G",,51141
"01","4251","C",,9,"H",,780
"01","4251","Z",,38,"G",,3780
"01","4251","S",,694,"G",,42683
"01","4251","P",,30,"G",,3898
"01","42511","-",,78,"G",,4874
"01","42511","S",,70,"G",,4372
"01","42511","P",,6,"H",,428
"01","42512","-",,693,"G",,46267
"01","42512","C",,8,"H",,779
"01","42512","Z",,37,"G",,3707
"01","42512","S",,624,"G",,38311
"01","42512","P",,24,"G",,3470
"01","44-45","-",,30198,"G",,1362547
"01","44-45","C",,184,"G",,26171
"01","44-45","Z",,970,"G",,141403
"01","44-45","S",,27980,"G",,1061581
"01","44-45","P",,1064,"G",,133392
"01","441","-",,3298,"G",,414032
"01","441","C",,32,"G",,7064
"01","441","Z",,198,"G",,36746
"01","441","S",,2905,"G",,341013
"01","441","P",,163,"G",,29209
"01","4411","-",,2276,"G",,327801
"01","4411","C",,17,"G",,4000
"01","4411","Z",,127,"G",,21168
"01","4411","S",,2022,"G",,282796
"01","4411","P",,110,"G",,19837
"01","44112","-",,2276,"G",,327801
"01","44112","C",,17,"G",,4000
"01","44112","Z",,127,"G",,21168
"01","44112","S",,2022,"G",,282796
"01","44112","P",,110,"G",,19837
"01","4412","-",,375,"G",,34305
"01","4412","C",,9,"H",,2541
"01","4412","Z",,21,"G",,3203
"01","4412","S",,330,"G",,26659
"01","4412","P",,15,"G",,1902
"01","44121","-",,77,"H",,9426
"01","44121","Z",,4,"H",,438
"01","44121","S",,69,"H",,7829
"01","44122","-",,298,"G",,24879
"01","44122","C",,7,"G",,1429
"01","44122","Z",,17,"G",,2765
"01","44122","S",,261,"G",,18830
"01","44122","P",,13,"G",,1855
"01","441222","-",,64,"G",,6494
"01","441222","Z",,5,"G",,1287
"01","441222","S",,57,"G",,5054
"01","441228","-",,234,"G",,18385
"01","441228","C",,7,"G",,1429
