YEAR,STATE_CODE,COUNTY_CODE,F_SYSTEM,"AVMT (1,000)",VMT_TOTAL
2000,1,123,14,"61,539",61538983.8
2000,1,125,1,"467,572",467572173.6
2000,1,125,2,"99,915",99915364.8
2000,1,125,11,"185,279",185279155.2
2000,1,125,14,"459,020",459019558.8
2000,1,127,2,"168,621",168621287.4
2000,1,127,14,"85,629",85628664.6
2000,1,129,2,"121,338",121338369.6
2000,1,131,2,"31,631",31630561.8
2000,1,133,2,"63,715",63715000.2
2000,2,1,1,"498,006",498005913.2
2000,2,1,2,"196,556",196555579.3
2000,2,1,11,"523,345",523344718.7
2000,2,1,14,"243,830",243829578.8
2000,2,2,1,"324,865",324864868.4
2000,2,2,2,"108,904",108904199.6
2000,2,2,11,"47,867",47867280.72
2000,2,2,14,"90,806",90806460.74
2000,2,3,2,"13,893",13892884.57
2000,2,3,14,"88,547",88547116.39
2000,4,1,1,"350,440",350439642.1
2000,4,1,2,"105,385",105384721.3
2000,4,3,1,"629,360",629360237.7
2000,4,3,2,"155,696",155695543.2
2000,4,3,14,"133,513",133513406.8
2000,4,5,1,"755,501",755501177
2000,4,5,2,"432,657",432656537.1
2000,4,5,11,"161,235",161234516.9
2000,4,5,14,"171,374",171374491.7
2000,4,7,2,"160,026",160026386.4
2000,4,7,14,"90,538",90538025
2000,4,9,14,"36,172",36172456
2000,4,12,1,"482,251",482250996
2000,4,12,2,"93,353",93353256.01
2000,4,13,1,"887,617",887617343.6
2000,4,13,2,"615,355",615354792.8
2000,4,13,11,"3,516,122",3516122214
2000,4,13,12,"3,885,972",3885971754
2000,4,13,14,"6,656,397",6656396555
2000,4,15,1,"716,337",716337345.1
2000,4,15,2,"446,496",446495706.8
2000,4,15,11,"60,134",60134286.41
2000,4,15,14,"304,625",304625252.1
2000,4,17,1,"348,437",348436938.1
2000,4,17,2,"255,969",255969054
2000,4,17,11,"43,401",43401307.73
2000,4,17,14,"35,285",35284858.06
2000,4,19,1,"895,651",895651463.1
2000,4,19,2,"76,527",76527423.12
2000,4,19,11,"684,046",684045762.4
2000,4,19,12,"190,830",190830363.9
2000,4,19,14,"1,934,757",1934756633
2000,4,21,1,"780,237",780236852.9
2000,4,21,2,"20,332",20331943.43
2000,4,21,11,"175,070",175069636.4
2000,4,21,12,"34,763",34762544.58
2000,4,21,14,"128,275",128275117.8
2000,4,23,1,"98,954",98954226.84
2000,4,23,2,"1,763",1763475.84
2000,4,23,11,"15,030",15030436.72
2000,4,23,14,"39,001",39001366.63
2000,4,25,1,"804,018",804017746.4
2000,4,25,2,"256,547",256547103.1
