ST_code,ST_name,COUNTY,DVMT,Total_VMT,
5,Arkansas,31,"2,131,944",778159395.8,2011
5,Arkansas,33,"1,909,272",696884192.4,2011
5,Arkansas,35,"2,137,914",780338774.3,2011
5,Arkansas,37,"413,390",150887291.6,2011
5,Arkansas,39,"231,618",84540624.75,2011
5,Arkansas,41,"357,972",130659765.4,2011
5,Arkansas,43,"549,308",200497474.8,2011
5,Arkansas,45,"2,837,647",1035741206,2011
5,Arkansas,47,"771,455",281580936.3,2011
5,Arkansas,49,"314,048",114627410.5,2011
5,Arkansas,51,"1,955,035",713587932,2011
5,Arkansas,53,"493,230",180029055.9,2011
5,Arkansas,55,"793,619",289670975.2,2011
5,Arkansas,57,"1,090,845",398158592.9,2011
5,Arkansas,59,"1,372,464",500949451.3,2011
5,Arkansas,61,"274,534",100204997.6,2011
5,Arkansas,63,"870,007",317552569.6,2011
5,Arkansas,65,"219,755",80210418.05,2011
5,Arkansas,67,"566,799",206881667.9,2011
5,Arkansas,69,"1,944,437",709719362.7,2011
5,Arkansas,71,"1,006,006",367192317.8,2011
5,Arkansas,73,"230,429",84106592.3,2011
5,Arkansas,75,"543,484",198371824.3,2011
5,Arkansas,77,"212,382",77519437.3,2011
5,Arkansas,79,"299,277",109235944.4,2011
5,Arkansas,81,"374,326",136629030.2,2011
5,Arkansas,83,"413,037",150758340.8,2011
5,Arkansas,85,"2,070,308",755662376.2,2011
5,Arkansas,87,"390,896",142677197,2011
5,Arkansas,89,"308,468",112590841.9,2011
5,Arkansas,91,"1,414,189",516178893.8,2011
5,Arkansas,93,"1,559,150",569089844.9,2011
5,Arkansas,95,"630,066",229974075.4,2011
5,Arkansas,97,"246,599",90008799.25,2011
5,Arkansas,99,"485,437",177184457.6,2011
5,Arkansas,101,"168,733",61587636.25,2011
5,Arkansas,103,"582,947",212775494.4,2011
5,Arkansas,105,"213,927",78083267.4,2011
5,Arkansas,107,"441,914",161298485.9,2011
5,Arkansas,109,"230,250",84041330.3,2011
5,Arkansas,111,"766,265",279686809,2011
5,Arkansas,113,"420,202",153373620.5,2011
5,Arkansas,115,"1,642,029",599340610.6,2011
5,Arkansas,117,"794,827",290111873.3,2011
5,Arkansas,119,"12,038,583",4394082729,2011
5,Arkansas,121,"349,653",127623381.5,2011
5,Arkansas,123,"1,708,753",623694662.5,2011
5,Arkansas,125,"2,474,992",903372215.1,2011
5,Arkansas,127,"301,994",110227967,2011
5,Arkansas,129,"266,006",97092160.8,2011
5,Arkansas,131,"2,640,503",963783463.6,2011
5,Arkansas,133,"396,542",144737775.3,2011
5,Arkansas,135,"365,688",133476214.9,2011
5,Arkansas,137,"236,522",86330351.15,2011
5,Arkansas,139,"971,939",354757808,2011
5,Arkansas,141,"537,464",196174323.5,2011
5,Arkansas,143,"4,326,205",1579064701,2011
5,Arkansas,145,"2,074,050",757028268.3,2011
5,Arkansas,147,"187,987",68615386.4,2011
5,Arkansas,149,"443,261",161790140.9,2011
6,California,NULL,"22,624,772",8258041911,2011
6,California,1,"32,323,104",11797932891,2011
6,California,3,"147,268",53752674,2011
6,California,5,"939,212",342812478.6,2011
6,California,7,"3,982,085",1453460886,2011
6,California,9,"959,250",350126071.2,2011
6,California,11,"1,371,582",500627594.3,2011
6,California,13,"20,967,293",7653062022,2011
6,California,15,"554,854",202521622.4,2011
6,California,17,"3,860,814",1409197114,2011
6,California,19,"16,312,368",5954014214,2011
6,California,21,"1,133,168",413606312.7,2011
6,California,23,"2,782,743",1015701315,2011
6,California,25,"4,308,081",1572449682,2011
6,California,27,"1,226,921",447826336.6,2011
6,California,29,"19,532,155",7129236458,2011
6,California,31,"3,390,763",1237628415,2011
6,California,33,"1,489,402",543631868.7,2011
6,California,35,"1,120,336",408922687.5,2011
6,California,37,"197,867,452",72221620024,2011
6,California,39,"3,492,475",1274753554,2011
6,California,41,"6,915,840",2524281739,2011
6,California,43,"356,416",130091934.9,2011
6,California,45,"2,676,000",976739967.2,2011
6,California,47,"6,131,111",2237855493,2011
6,California,49,"325,524",118816106.7,2011
6,California,51,"757,692",276557474.2,2011
6,California,53,"8,988,006",3280622033,2011
6,California,55,"2,643,576",964905386,2011
6,California,57,"2,279,605",832055996.6,2011
6,California,59,"66,640,041",24323614877,2011
6,California,61,"7,875,991",2874736865,2011
6,California,63,"657,457",239971837.9,2011
6,California,65,"49,638,738",18118139191,2011
6,California,67,"26,508,942",9675763658,2011
6,California,69,"1,047,404",382302394.3,2011
6,California,71,"51,471,520",18787104643,2011
6,California,73,"69,723,953",25449242998,2011
6,California,75,"7,473,126",2727690870,2011
6,California,77,"15,677,141",5722156545,2011
6,California,79,"6,733,292",2457651408,2011
6,California,81,"17,697,573",6459613984,2011
6,California,83,"8,864,888",3235684146,2011
6,California,85,"38,215,498",13948656737,2011
6,California,87,"4,510,208",1646226030,2011
6,California,89,"4,473,819",1632944059,2011
6,California,91,"211,864",77330214,2011
6,California,93,"1,739,716",634996394.8,2011
6,California,95,"11,543,584",4213408072,2011
6,California,97,"9,910,184",3617217014,2011
6,California,99,"9,739,288",3554840124,2011
6,California,101,"1,967,372",718090728.9,2011
6,California,103,"2,156,800",787231905.1,2011
6,California,105,"425,234",155210472.1,2011
6,California,107,"8,267,393",3017598591,2011
6,California,109,"1,380,326",503818847.7,2011
6,California,111,"15,982,545",5833628998,2011
6,California,113,"5,098,215",1860848526,2011
6,California,115,"1,571,006",573417007.5,2011
8,Colorado,1,"9,982,532",3643624290,2011
8,Colorado,3,"422,565",154236163,2011
8,Colorado,5,"9,604,876",3505779714,2011
8,Colorado,7,"388,316",141735424,2011
8,Colorado,9,"216,909",79171876.25,2011
8,Colorado,11,"156,583",57152944.65,2011
8,Colorado,13,"5,080,252",1854292017,2011
8,Colorado,14,"1,503,707",548853128,2011
8,Colorado,15,"524,532",191454326,2011
8,Colorado,17,"167,227",61037847.7,2011
8,Colorado,19,"1,361,826",497066584.9,2011
8,Colorado,21,"177,417",64757132,2011
8,Colorado,23,"180,740",65970169.35,2011
8,Colorado,25,"90,170",32911998.9,2011
8,Colorado,27,"96,265",35136754.2,2011
8,Colorado,29,"649,706",237142522.1,2011
8,Colorado,31,"13,047,590",4762370423,2011
8,Colorado,33,"99,598",36353233.5,2011
8,Colorado,35,"6,652,291",2428086091,2011
8,Colorado,37,"1,930,639",704683162,2011
8,Colorado,39,"635,450",231939403.3,2011
8,Colorado,41,"11,055,654",4035313834,2011
8,Colorado,43,"831,276",303415798.4,2011
8,Colorado,45,"2,071,352",756043428.9,2011
8,Colorado,47,"150,247",54840228,2011
8,Colorado,49,"630,247",230040023.6,2011
8,Colorado,51,"532,738",194449508.7,2011
8,Colorado,53,"29,681",10833652.6,2011
8,Colorado,55,"551,691",201367036.2,2011
8,Colorado,57,"119,619",43660759.8,2011
8,Colorado,59,"10,778,796",3934260358,2011
8,Colorado,61,"148,027",54029763.75,2011
8,Colorado,63,"516,590",188555284.3,2011
8,Colorado,65,"186,393",68033481.5,2011
8,Colorado,67,"1,548,599",565238598.5,2011
8,Colorado,69,"6,243,320",2278811618,2011
8,Colorado,71,"621,713",226925296.1,2011
8,Colorado,73,"491,667",179458535.3,2011
8,Colorado,75,"712,993",260242583.7,2011
8,Colorado,77,"2,959,671",1080279886,2011
8,Colorado,79,"123,233",44980121.65,2011
8,Colorado,81,"392,772",143361699.7,2011
8,Colorado,83,"845,960",308775334.3,2011
8,Colorado,85,"721,852",263476107.8,2011
8,Colorado,87,"819,660",299175739.4,2011
8,Colorado,89,"413,669",150989137.6,2011
8,Colorado,91,"228,556",83422794,2011
8,Colorado,93,"524,167",191320779.8,2011
8,Colorado,95,"101,781",37150214.65,2011
8,Colorado,97,"498,183",181836649,2011
8,Colorado,99,"385,150",140579870.5,2011
8,Colorado,101,"3,447,849",1258464903,2011
8,Colorado,103,"443,964",162046856.4,2011
8,Colorado,105,"321,315",117279916.6,2011
8,Colorado,107,"692,606",252801135.3,2011
