b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","45121",,430,,10958
"01","451211",,143,,5886
"01","451212",,287,,5072
"01","45122",,53,,2474
"01","452",,514,,33906
"01","453",,5700,,206474
"01","4531",,600,,17602
"01","45311",,600,,17602
"01","4532",,1194,,34300
"01","45321",,89,,5892
"01","45322",,1105,,28408
"01","4533",,1204,,25718
"01","45331",,1204,,25718
"01","4539",,2702,,128854
"01","45391",,132,,4223
"01","45392",,155,,4981
"01","45393",,147,,17893
"01","45399",,2268,,101757
"01","454",,10200,,185750
"01","4541",,463,,14175
"01","45411",,463,,14175
"01","4542",,573,,16513
"01","45421",,573,,16513
"01","4543",,9164,,155062
"01","45431",,27,,2216
"01","45439",,9137,,152846
"01","48-49",,11313,,654774
"01","481",,305,,12117
"01","483",,71,,1855
"01","484",,8318,,557377
"01","4841",,7536,,503368
"01","48411",,1985,,114690
"01","48412",,5551,,388678
"01","4842",,782,,54009
"01","485",,658,,21447
"01","4851","D",0,"D",0
"01","48511","D",0,"D",0
"01","4852",,10,,630
"01","48521",,10,,630
"01","4853",,202,,3861
"01","4854","D",0,"D",0
"01","48541","D",0,"D",0
"01","4855",,87,,4515
"01","48551",,87,,4515
"01","4859",,324,,12169
"01","48599",,324,,12169
"01","486",,6,,1302
"01","487",,13,,410
"01","488",,752,,36173
"01","492",,1130,,19162
"01","493",,60,,4931
"01","4931",,60,,4931
"01","51",,2025,,51671
"01","511",,554,,12066
"01","512",,228,,7900
"01","5121",,146,,5908
"01","5122",,82,,1992
"01","513",,512,,15854
"01","514",,731,,15851
"01","5141",,383,,10444
"01","5142",,348,,5407
"01","51421",,348,,5407
"01","52",,7062,,297313
"01","522",,1542,,44137
"01","5221",,91,,3066
"01","5222",,1216,,33758
"01","5223",,235,,7313
"01","523",,1287,,101861
"01","5231",,184,,36679
"01","52311",,44,,11715
"01","52312",,117,,22179
"01","52313","D",0,"D",0
"01","52314","D",0,"D",0
"01","5232",,24,,418
"01","52321",,24,,418
"01","5239",,1079,,64764
"01","524",,4233,,151315
"01","5241",,9,,287
"01","5242",,4224,,151028
"01","52421",,3000,,117994
"01","52429",,1224,,33034
"01","53",,18555,,1361141
"01","531",,17645,,1291395
"01","5311",,8037,,858368
"01","5312",,5350,,198141
"01","53121",,5350,,198141
"01","5313",,4258,,234886
"01","53131",,837,,36958
"01","53132",,488,,19525
"01","53139",,2933,,178403
"01","532","D",0,"D",0
"01","5321",,203,,12797
"01","5322",,241,,8628
"01","53221",,10,,1382
"01","53222",,16,,299
"01","53223",,99,,2814
"01","53229",,116,,4133
"01","5323","D",0,"D",0
"01","53231","D",0,"D",0
"01","5324",,424,,42832
"01","533","D",0,"D",0
"01","5331","D",0,"D",0
"01","53311","D",0,"D",0
"01","54",,24085,,707616
"01","541",,24085,,707616
"01","5411",,2202,,107753
"01","5412",,3795,,55481
"01","54121",,3795,,55481
"01","541211",,403,,11912
"01","541213",,1132,,12329
"01","541214",,78,,2862
"01","541219",,2182,,28378
"01","54131",,323,,14298
"01","54132",,514,,13686
