,STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,1,55,626257915.2,701258987.5,629248028,629446208.5,669379492.8,670597461.9,675125353.3,682297881.7,624644238.1,,,648211520,658378560,638572992,639337280,664660352,656603828,650849939.8,654981767.9,661190814.3,629649980.1
28,1,57,16045074,15724638,15824356,15829977,15056625.12,14861694.05,15163399.4,17883368.45,16596798.5,,,19246204,17319718,16170567,16787508,17104300,16960092.3,17168355.35,17756698.49,17914697.5,17494440.22
29,1,59,123633811.8,120078466.5,122865241.5,120472119,117154334.5,118950678.6,126162308,128961434.3,121422478.6,,,128272784,133726032,128722504,129594784,135818192,142693898.6,149121312.1,148890353.6,151162661.1,145587813.4
31,1,63,257142340.2,259114230,254439857.5,248556057.5,259117283.5,276989288.1,270496611.9,277587356.3,262297862.3,,,271764576,263466768,257175056,257085680,276959712,289445459.9,290299019.7,292545507.1,292424584.1,276671452
32,1,65,10888426.8,11212617.5,11631272.5,11705039,11887120.02,12473515.84,12569069.56,11021915.22,12263283.47,,,15070529,13873743,13778377,13870407,13217871,13695064.86,13576536.35,13924270.76,15291291.75,14252983.55
33,1,67,109815994.2,109980851,107317811,112157820.5,106778706.6,109307243.5,110371495.9,114876388,114684533.5,,,122485544,116739712,120360512,118422736,119212240,123996711.8,124274813.1,123902400,122814608,119321084.1
34,1,69,496140413.4,491997187.5,517348153,527357212.2,580375064.6,589204667.9,578498375.5,593889475,574944364.2,,,583380544,595133952,580182720,579947392,586969152,605176077.3,621691925.8,623565866.4,632593011,587201933
35,1,71,245788690.8,263717245,276065085.5,277908554.5,343479874.4,345048217.4,319848705.8,324022664.3,312424937.2,,,319298496,310416480,302673888,306148640,305789376,329137442.6,332409734,319246305.7,332229081.3,317093432.3
36,1,73,4352589047,4355194199,4454114346,4416570223,4523005935,4686200010,4684832054,4735917227,4517532033,,,4927572480,4834720768,4880847360,4966061568,5081697280,5166582706,5205615013,5135881737,5151373860,4672063633
38,1,77,308771105.4,316121499.5,311265503,305278736.5,305278802.9,302035631.3,299642249.5,298294380.9,285794291.5,,,367706592,383719776,375556256,374355904,376060768,381863183,390292733.4,388314811.2,387683713.8,378497541.8
39,1,79,231080980.8,225347094.5,230449429.5,230099044.1,233788044.9,237831335.5,257429159.7,259998826.8,256452554.6,,,259391248,256173344,244019504,242586992,251201392,249676108.6,261606468.3,259589749.1,265255484.9,264452734.5
40,1,81,584078501.4,579518165,603024311,619112291.9,636217675.6,652486510.1,627879786.4,661392621.1,660604271.6,,,646956608,631548864,675635712,700403264,717512128,765223865.9,784554739.6,780017859.7,803798980.3,722842967.3
41,1,83,649561647.6,649787271.5,641349073.8,665052520.5,705271783.8,726665178.3,723373646.6,722588804.3,687475993.9,,,701278912,725696576,737900096,743567488,778367232,809811230.3,809827157.1,814797570.5,829872041.3,763842114.9
42,1,85,249092353.2,248862876.5,259321623,260076260.5,279353760.2,282297464.9,283032024.5,280294450.1,261209177.7,,,274402848,268583392,266594064,267559952,274364896,285094382.4,294591058.4,302966613,319181160.2,289697701.3
43,1,87,303388855.8,307993132,315381024,329094037.5,337746124.9,346754230.8,353073044.7,353641575.2,356493066.5,,,381988928,369117024,370027488,378380832,404358272,415688837.1,403152154.3,414690218.5,417209206.9,385430461.3
44,1,89,1226777298,1245500173,1256245189,1280237807,1380626902,1407906966,1449785114,1420006985,1329261834,,,1424161920,1449817728,1487102592,1536571776,1608736768,1644942443,1648435283,1664990316,1667663113,1570209906
45,1,91,117786376.2,117239095,124671699.5,132024405.5,132335366.6,135160707.8,136548502,134249429.8,131086031.5,,,134140872,130943496,137175376,137141200,140708816,135619495.6,126022177.6,124897565.5,124017403.1,116184850.6
46,1,93,124626257.4,121835540,129676944.5,126868707.5,120845546.9,126390480.9,192638599.5,188611992.5,177698052.6,,,225750960,224450320,217145344,221353696,212112000,246362004.2,240502274.1,228290223.8,232035718.8,258295311.2
47,1,95,273994590.6,293288924.5,301883141.5,293050999.3,300376276.9,303711766,307444175.7,309492316.9,296216782.7,,,282909888,292084544,265760992,278000160,291745088,305332052.3,296499380.6,304706412.9,322405836.3,297995336
48,1,97,1970983994,1944599320,1965878200,1980922222,2019755746,2134241497,2140327721,2115735995,2065681180,,,2435143680,2465468416,2430087424,2432585728,2490846208,2511839155,2532938068,2528601847,2566390245,2339487627
49,1,99,38993200.8,34722450,37878751,38311082.55,41512075.02,41749017.55,39730560.25,39813400.65,38401909.5,,,37923324,38236124,30936568,31432136,34151144,33207190.98,32737590.95,33065307.66,36417387,34957351.01
50,1,101,1447333085,1466229411,1452786315,1488075329,1467756108,1504909595,1599225617,1523370282,1416325044,,,1862244864,1902300800,1851367168,1846925696,1841496832,1902217969,1857877740,1924395246,1900680599,1703409944
51,1,103,689686410.6,690139737,673529043.3,668908855,730942803.9,719651206.2,709299852.1,727157224.5,671418755.1,,,674386240,726339456,749820352,740193216,759298624,754949942.2,800647815.9,799266888,807203634.2,761898294.4
52,1,105,32137874.4,32012909,33078453.5,32556795.5,33457933.92,36136981.95,35587948.95,36304239.55,34704738.54,,,36426720,36019400,35763856,33325626,33332822,34096453.86,33599888.85,33753137.39,33513509.05,32509622.43
53,1,107,62870821.2,62445769.5,63222051.5,63569057,81840125.4,79594885.7,81540105.75,82378336.28,73881111.36,,,78534864,79167632,78563376,77196104,78569936,78754086.6,80553244.3,81099431.4,82552965.42,76109691.58
54,1,109,202135138.8,200251629,204844424,202077833.5,200643311.9,202962881.9,214856366.8,215079903.7,209146725.2,,,187246400,184831248,186039808,192751424,198342528,202546010.4,196747924.7,200869914.5,203396137.6,174653810.7
55,1,111,59443524,56848494.5,53011979.5,52144411,58373727.96,58405869.2,58257701.1,57482225.75,53606135.1,,,61826936,64316400,64623160,66891248,67592320,71914307.88,70548349.75,70789749.44,71607645.45,61860297.76
56,1,113,286968412.2,298267743.5,292590533.5,298503843.8,327078699.9,320131721.8,324599947.3,319001945.1,318503274.1,,,340968672,335379328,381392480,330186240,339781664,346861534.3,362881872.2,363868552.9,367463266.4,343815422.8
57,1,115,573398072.4,588136910,579532217.5,596056935.5,602891640.7,618091967.3,620977186.4,634852624.9,614181297.5,,,634450240,628514560,642385536,648912832,665450624,657205898,677841562.1,707896395.7,723276024,672641606.5
58,1,117,796622058,804426712,821820166.5,837044553.8,931544268.7,940727038.6,956730083.2,964431251.1,947123101.9,,,1032909824,1232609792,710181312,1079682816,1102834560,1134976665,1166174803,1132368332,1144870404,1062276152
59,1,119,228240674.4,229903572,221090610.5,221994022,238956707.8,252920734.9,247503653.1,248918028.1,237770440.4,,,246490880,243499712,237178784,242650592,253260288,244976610,244585638.6,244653284.1,246947895.2,236249982.7
60,1,121,469593811.2,485164424,498440204,513188010.8,514722471.3,536301186.9,540938078.2,535413706.1,497755148.6,,,553938368,542920128,398791008,580518400,594474048,612889962.8,628725001.3,640527632.9,654679338.8,605732735.5
61,1,123,146226589.2,140649246,146276633.5,145427424.5,141237046.6,142653256.6,141478551.2,137288957.1,137214885.6,,,148139248,156114528,155723056,163716720,171951712,170080035.3,172549899.3,172208686.3,177297236,173518721.7
62,1,125,1211786252,1216902445,1227165369,1216401811,1257678853,1337403041,1370107471,1396837226,1339808920,,,1419232128,1409035136,1414518656,1445583744,1447933696,1505594284,1584662691,1623718950,1640760761,1500894749
63,1,127,254249952,246717187.5,255020791.5,240286508,316645648.4,294803192.7,345584294,373337264.7,309667144.7,,,387631360,416676096,380090976,382788000,387539040,398997740.2,412552148.9,406101590,415759899.6,422489624.4
64,1,129,121338369.6,112927240.5,118208973,118582295,121004639.8,118803782.5,119784938.6,122272916.9,118579371.9,,,125182112,127048416,124385424,128776560,124861896,134702325.2,137495416.1,136787386.1,134995846,128717188.7
65,1,131,31630561.8,26853743.5,27768871.5,26395121,25372243.62,26919795,25364030.31,26623184.32,26440378.02,,,30602726,30188054,28885566,26875160,27807656,27088150.44,29916192.05,28061701.51,27676944.43,26015278.54
66,1,133,63715000.2,59630962.5,58361419.5,57555061.5,55211345.22,57107217.45,72741945,68237590.96,65203427.04,,,66034304,68660360,63202356,59694328,57785572,59925970.56,58555059.3,58885090.84,61079104.38,55802216.35
100,4,1,455824363.4,433549194.4,352746636.9,351251203.4,438723939.1,440005222.4,404615225.4,392058504.8,377438269.4,,,413870080,402516672,410630816,432037024,469717376,445401296.8,454461838,453138746.6,489775385.4,445858594.8
101,4,3,918569187.7,946224715.6,840282917,937381595.9,850970570.3,854973216.1,848661757.6,873948275.2,842812235.5,,,774082240,782221376,726459776,725669376,793411072,759525873.6,772900186.7,804683035.4,856429145.3,773465043.3
102,4,5,1520766723,1573606350,1467759578,1510420308,1621640694,1539591617,1478276441,1456414110,1389149062,,,1406284928,1409844992,1372017536,1442802304,1466345216,1596291429,1614585722,1632850538,1698376558,1586871637
