ST,CO,2016,2017,2018,2019,2020,average
2,90,0.558675064,0.552227871,0.55806435,0.559098728,0.543887849,0.554390772
2,100,0.830860044,0.853229486,0.853761591,0.853693555,0.854821056,0.849273146
2,105,0.137002461,0.14147984,0.14440245,0.115621599,0.122845922,0.132270454
2,110,0.561040307,0.555253958,0.536918623,0.518606494,0.538014746,0.541966826
2,122,0.780908544,0.78240285,0.764678794,0.773434392,0.769959648,0.774276846
2,130,0,0,0,0,0,0
2,150,0,0,0,0,0,0
2,164,,#DIV/0!,,,,#DIV/0!
2,170,0.681071545,0.68305403,0.660302673,0.689924171,0.675456972,0.677961878
2,180,0,0,0,0,0,0
2,185,0.741013083,0.73390057,0.728313054,0.715886633,0.719998874,0.727822443
2,188,0,0,0,0,0,0
2,195,0,0,0,0,0,0
2,198,0,0,0,0,0,0
2,220,0,0,0,0,0,0
2,230,1,1,1,1,1,1
2,240,0.65176172,0.62252896,0.684135262,0.618377969,0.609142977,0.637189378
2,261,0.702107681,0.695255048,0.694057895,0.671075831,0.663996394,0.68529857
2,270,,#DIV/0!,,,,#DIV/0!
2,275,0,0,0,0,0,0
2,282,0,0,0,0,0,0
2,290,0.918448798,0.910662317,0.910568934,0.897243507,0.89461005,0.906306721
4,,,,,#DIV/0!,,#DIV/0!
4,1,0.495558211,0.496786417,0.490222876,0.535233524,0.532643152,0.510088836
4,3,0.611863888,0.606962652,0.617498249,0.632235169,0.603096635,0.614331319
4,5,0.710998209,0.693244435,0.689778633,0.706147135,0.702855455,0.700604773
4,7,0.540867151,0.541893937,0.534995603,0.526662694,0.542866765,0.53745723
4,9,0,0,0,0,0,0
4,11,0,0,0,0,0,0
4,12,0.787845355,0.81034916,0.831127107,0.850501183,0.859075655,0.827779692
4,13,0.561944914,0.583758078,0.59213878,0.51994548,0.508587123,0.553274875
4,15,0.778506675,0.782910798,0.785744218,0.784663188,0.780866402,0.782538256
4,17,0.622603296,0.625055162,0.633252837,0.631894283,0.629855184,0.628532152
4,19,0.567053924,0.577613117,0.5734132,0.556770317,0.562880639,0.567546239
