"","YEAR","Full_FIPS_Code","fips_year","Log_predictions","Predictions"
"1",2005,"1001","01001-2005",7.66254114424262,2127.15597659188
"2",2005,"1015","01015-2005",8.89327256783714,7282.81372960088
"3",2005,"1033","01033-2005",7.61658896377374,2031.62036658054
"4",2005,"1055","01055-2005",8.75226263872228,6324.98308144813
"5",2005,"1073","01073-2005",11.1038529553598,66426.6064902349
"6",2005,"1077","01077-2005",8.36719469624129,4303.54635820481
"7",2005,"1081","01081-2005",9.16070317932579,9515.74600139425
"8",2005,"1089","01089-2005",8.70535578658004,6035.14878298111
"9",2005,"1097","01097-2005",10.2283624265039,27677.1495710319
"10",2005,"1101","01101-2005",9.87332505604398,19405.7570473031
"11",2005,"1103","01103-2005",8.14969750473152,3462.33156813867
"12",2005,"1113","01113-2005",7.38458182987774,1610.95400129164
"13",2005,"1117","01117-2005",8.51639026800373,4995.98699422118
"14",2005,"1125","01125-2005",9.24921920745938,10396.4450799396
"15",2005,"2020","02020-2005",10.5174428213427,36954.5042935263
"16",2005,"2090","02090-2005",10.2879293387094,29375.8838266452
"17",2005,"4003","04003-2005",8.93386022568261,7584.48676999566
"18",2005,"4005","04005-2005",9.54150276439528,13925.8591934328
"19",2005,"4013","04013-2005",13.2719791357911,580693.951710566
"20",2005,"4019","04019-2005",12.0359008430391,168703.977065871
"21",2005,"4021","04021-2005",7.88306177075731,2651.97989646172
"22",2005,"4027","04027-2005",10.2473424460548,28207.479325101
"23",2005,"5007","05007-2005",8.92544664460195,7520.94177095527
"24",2005,"5031","05031-2005",7.74467813386527,2309.250134843
"25",2005,"5035","05035-2005",7.92913980558693,2777.03698511021
"26",2005,"5045","05045-2005",8.47956637941472,4815.36140426615
"27",2005,"5069","05069-2005",7.9695635761859,2891.5951278309
"28",2005,"5085","05085-2005",8.15239900096831,3471.69768941498
"29",2005,"5091","05091-2005",7.35650138471579,1566.34692020787
"30",2005,"5119","05119-2005",11.2267074083971,75109.8816054791
"31",2005,"5125","05125-2005",7.40180241701569,1638.93581518439
"32",2005,"5131","05131-2005",8.86268767961774,7063.4415234046
"33",2005,"5143","05143-2005",9.13765919208077,9298.97252709894
"34",2005,"6001","06001-2005",14.4563790039767,1898128.58593083
"35",2005,"6007","06007-2005",9.84657722717425,18893.5755859195
"36",2005,"6013","06013-2005",12.7837204932912,356368.466664187
"37",2005,"6019","06019-2005",11.06320594637,63780.7019541642
"38",2005,"6025","06025-2005",9.73350384710215,16873.5712772088
"39",2005,"6029","06029-2005",10.8320621796604,50617.9826085122
"40",2005,"6031","06031-2005",8.90590195879911,7375.37449424215
"41",2005,"6037","06037-2005",14.2938007130925,1613313.52667101
"42",2005,"6039","06039-2005",8.15412352789019,3477.68989091636
"43",2005,"6041","06041-2005",12.3441542341964,229613.843177831
"44",2005,"6047","06047-2005",9.72720833851194,16767.6772424335
"45",2005,"6053","06053-2005",10.7942493722666,48739.7097584244
"46",2005,"6055","06055-2005",10.5152229917435,36872.5625730482
"47",2005,"6059","06059-2005",13.4561081357279,698093.366524364
"48",2005,"6061","06061-2005",10.83682635488,50859.7109076927
"49",2005,"6065","06065-2005",12.2168527402445,202167.681858509
"50",2005,"6067","06067-2005",12.6062775898264,298426.093987211
"51",2005,"6069","06069-2005",7.90390700547655,2707.84123852542
"52",2005,"6071","06071-2005",11.9705158004537,158026.149337888
"53",2005,"6073","06073-2005",13.5086341182504,735741.50372184
"54",2005,"6075","06075-2005",13.9565341708651,1151451.83678176
"55",2005,"6077","06077-2005",11.3184634690524,82327.7465566466
"56",2005,"6079","06079-2005",10.4640557525246,35033.3503009498
"57",2005,"6081","06081-2005",12.9008805975292,400664.860513497
