"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","23731","P","D",0,"D","D",0
"01","2379","-",,390,"G",,25043
"01","2379","C",,34,"G",,4002
"01","2379","S",,347,"G",,19190
"01","2379","P",,9,"H",,1851
"01","23799","-",,390,"G",,25043
"01","23799","C",,34,"G",,4002
"01","23799","S",,347,"G",,19190
"01","23799","P",,9,"H",,1851
"01","238","-",,33291,"G",,1211170
"01","238","C",,915,"G",,108355
"01","238","S",,31839,"G",,1040320
"01","238","P",,537,"G",,62495
"01","2381","-",,6944,"G",,261771
"01","2381","C",,101,"G",,13004
"01","2381","S",,6782,"G",,237557
"01","2381","P",,61,"G",,11210
"01","2382","-",,5241,"G",,207243
"01","2382","C",,220,"G",,22794
"01","2382","S",,4923,"G",,171849
"01","2382","P",,98,"G",,12600
"01","23821","-",,2207,"G",,67614
"01","23821","C",,92,"G",,8377
"01","23821","S",,2081,"G",,56135
"01","23821","P",,34,"G",,3102
"01","23822","-",,2733,"G",,129375
"01","23822","C",,108,"G",,13179
"01","23822","S",,2574,"G",,107883
"01","23822","P",,51,"G",,8313
"01","23829","-",,301,"G",,10254
"01","23829","C",,20,"H",,1238
"01","23829","S",,268,"G",,7831
"01","23829","P",,13,"G",,1185
"01","2383","-",,11908,"G",,376379
"01","2383","C",,163,"G",,20504
"01","2383","S",,11624,"G",,344065
"01","2383","P",,121,"G",,11810
"01","2389","-",,9198,"G",,365777
"01","2389","C",,431,"G",,52053
"01","2389","S",,8510,"G",,286849
"01","2389","P",,257,"G",,26875
"01","31-33","-",,4038,"G",,163045
"01","31-33","C",,399,"G",,45410
"01","31-33","S",,3430,"G",,101070
"01","31-33","P",,209,"G",,16565
"01","311","-",,464,"G",,12729
"01","311","C",,34,"G",,2450
"01","311","S",,405,"G",,7898
"01","311","P","D",0,"D","D",0
"01","3111","-",,22,"H",,1055
"01","3111","C","D",0,"D","D",0
"01","3111","S",,19,"G",,699
"01","3111","P","D",0,"D","D",0
"01","31111","-",,22,"H",,1055
"01","31111","C","D",0,"D","D",0
"01","31111","S",,19,"G",,699
"01","31111","P","D",0,"D","D",0
"01","3112","-","D",0,"D","D",0
"01","3112","C","D",0,"D","D",0
"01","3112","P","D",0,"D","D",0
"01","3113","-",,16,"H",,186
"01","3113","C","D",0,"D","D",0
"01","3113","S",,13,"H",,162
"01","3113","P","D",0,"D","D",0
"01","3114","-","D",0,"D","D",0
"01","3114","C","D",0,"D","D",0
"01","3114","S",,28,"G",,399
"01","3114","P","D",0,"D","D",0
"01","3115","-",,12,"H",,154
"01","3115","S",,12,"H",,154
"01","3116","-",,89,"H",,2826
"01","3116","C",,4,"H",,85
"01","3116","S",,82,"G",,1783
"01","3116","P","D",0,"D","D",0
"01","31161","-",,89,"H",,2826
"01","31161","C",,4,"H",,85
"01","31161","S",,82,"G",,1783
"01","31161","P","D",0,"D","D",0
"01","3117","-",,41,"G",,1809
"01","3117","C",,5,"H",,832
"01","3117","S",,36,"G",,977
"01","31171","-",,41,"G",,1809
"01","31171","C",,5,"H",,832
"01","31171","S",,36,"G",,977
"01","3118","-",,132,"G",,2716
"01","3118","C",,4,"H",,273
"01","3118","S",,124,"G",,2301
"01","3118","P",,4,"H",,142
"01","3119","-",,116,"G",,2796
"01","3119","C",,13,"G",,908
"01","3119","S",,91,"G",,1423
"01","3119","P",,12,"G",,465
"01","312","-",,17,"H",,514
"01","312","C","D",0,"D","D",0
"01","312","S","D",0,"D","D",0
"01","312","P",,5,"H",,308
"01","313","-",,20,"H",,362
"01","313","C","D",0,"D","D",0
"01","313","S",,18,"H",,232
"01","314","-",,45,"G",,984
"01","314","C","D",0,"D","D",0
"01","314","S",,38,"G",,733
"01","315","-",,313,"G",,6862
"01","315","C",,17,"H",,1605
"01","315","S",,283,"H",,4975
"01","315","P",,13,"G",,282
"01","316","-",,60,"H",,2349
"01","316","C","D",0,"D","D",0
"01","316","S",,56,"H",,2246
"01","316","P","D",0,"D","D",0
"01","3161","-","D",0,"D","D",0
"01","3161","S",,11,"H",,439
"01","3161","P","D",0,"D","D",0
"01","31611","-","D",0,"D","D",0
"01","31611","S",,11,"H",,439
"01","31611","P","D",0,"D","D",0
"01","3162","-",,8,"G",,268
"01","3162","S",,8,"G",,268
"01","31621","-",,8,"G",,268
"01","31621","S",,8,"G",,268
"01","3169","-",,40,"H",,1601
"01","3169","C","D",0,"D","D",0
"01","3169","S",,37,"H",,1539
"01","3169","P","D",0,"D","D",0
"01","31699","-",,40,"H",,1601
"01","31699","C","D",0,"D","D",0
"01","31699","S",,37,"H",,1539
"01","31699","P","D",0,"D","D",0
"01","321","-",,379,"G",,12978
"01","321","C",,27,"H",,1618
"01","321","S",,329,"G",,9194
"01","321","P",,23,"H",,2166
"01","322","-",,34,"H",,1564
"01","322","C","D",0,"D","D",0
"01","322","S",,29,"H",,1109
"01","322","P","D",0,"D","D",0
"01","323","-",,370,"G",,14409
"01","323","C",,35,"G",,3846
"01","323","S",,310,"G",,9041
"01","323","P",,25,"G",,1522
"01","3231","-",,370,"G",,14409
"01","3231","C",,35,"G",,3846
"01","3231","S",,310,"G",,9041
"01","3231","P",,25,"G",,1522
"01","324","-",,25,"G",,1648
"01","324","C",,5,"G",,349
"01","324","S",,17,"H",,559
