ST,CO,YEAR,VMT_Total
5.0,113.0,2016.0,93663272.28
5.0,115.0,2016.0,364756386.90000004
5.0,117.0,2016.0,240232894.98000002
5.0,119.0,2016.0,2832911219.94
5.0,121.0,2016.0,60308177.04
5.0,123.0,2016.0,598564122.6
5.0,125.0,2016.0,590761251.4799999
5.0,127.0,2016.0,73642874.64
5.0,129.0,2016.0,71369235.06
5.0,131.0,2016.0,530887091.88
5.0,133.0,2016.0,89781432.36
5.0,135.0,2016.0,98822382.66
5.0,137.0,2016.0,0.0
5.0,139.0,2016.0,195099319.5
5.0,141.0,2016.0,105018993.24000001
5.0,143.0,2016.0,964260112.0199999
5.0,145.0,2016.0,107915283.0
5.0,147.0,2016.0,0.0
5.0,149.0,2016.0,39346098.0
6.0,1.0,2016.0,10116676638.0
6.0,3.0,2016.0,27436348.2
6.0,5.0,2016.0,233725934.7
6.0,7.0,2016.0,825922023.3
6.0,9.0,2016.0,104792197.67999999
6.0,11.0,2016.0,482530458.18
6.0,13.0,2016.0,4514169013.92
6.0,15.0,2016.0,169292114.16
6.0,17.0,2016.0,393920496.66
6.0,19.0,2016.0,2208152016.1800003
6.0,21.0,2016.0,335585429.28
6.0,23.0,2016.0,745762295.4
6.0,25.0,2016.0,1303314467.3400002
6.0,27.0,2016.0,341210889.53999996
6.0,29.0,2016.0,3247264720.6800003
6.0,31.0,2016.0,610763795.64
6.0,33.0,2016.0,214659713.7
6.0,35.0,2016.0,229129186.98000002
6.0,37.0,2016.0,42814419272.58
6.0,39.0,2016.0,360896232.48
6.0,41.0,2016.0,395434239.71999997
6.0,43.0,2016.0,90628813.86
6.0,45.0,2016.0,538125316.5
6.0,47.0,2016.0,1032034700.04
6.0,49.0,2016.0,53765066.94
6.0,51.0,2016.0,213004544.58
6.0,53.0,2016.0,719072180.94
6.0,55.0,2016.0,299166745.68
6.0,57.0,2016.0,621622049.4
6.0,59.0,2016.0,14387369923.74
6.0,61.0,2016.0,1861856837.64
6.0,63.0,2016.0,0.0
6.0,65.0,2016.0,9326218843.5
6.0,67.0,2016.0,4934345003.700001
6.0,69.0,2016.0,246264878.76
6.0,71.0,2016.0,11609274117.539999
6.0,73.0,2016.0,14759780014.8
6.0,75.0,2016.0,1451441416.38
6.0,77.0,2016.0,3262675963.2
6.0,79.0,2016.0,438179859.18
6.0,81.0,2016.0,2122831263.72
6.0,83.0,2016.0,486261363.3600001
6.0,85.0,2016.0,6351325108.139999
6.0,87.0,2016.0,198197128.85999998
6.0,89.0,2016.0,923568660.2399999
6.0,91.0,2016.0,63744708.42
6.0,93.0,2016.0,518029200.78000003
