b'"ST","NAICS","ESTAB_F","ESTAB","RCPTOT_N_F","RCPTOT_F","RCPTOT"
"01","00",,313813,"G",,13546553
"01","11",,4633,"G",,270218
"01","113",,1782,"G",,148185
"01","114",,1315,"G",,57860
"01","1141",,1090,"G",,51205
"01","11411",,1090,"G",,51205
"01","1142",,225,"G",,6655
"01","11421",,225,"G",,6655
"01","115",,1536,"G",,64173
"01","1151",,604,"G",,20957
"01","11511",,604,"G",,20957
"01","1152",,563,"G",,19325
"01","11521",,563,"G",,19325
"01","1153",,369,"G",,23891
"01","11531",,369,"G",,23891
"01","21",,667,"G",,50792
"01","211",,492,"G",,31532
"01","2111",,492,"G",,31532
"01","21111",,492,"G",,31532
"01","212",,88,"G",,10692
"01","2121",,33,"G",,2755
"01","21211",,33,"G",,2755
"01","2122",,4,"H",,152
"01","2123",,51,"G",,7785
"01","213",,87,"H",,8568
"01","2131",,87,"H",,8568
"01","21311",,87,"H",,8568
"01","22",,294,"G",,12004
"01","221",,294,"G",,12004
"01","23",,53028,"G",,3138764
"01","236",,13323,"G",,1225328
"01","2361",,11358,"G",,1100362
"01","2362",,1965,"G",,124966
"01","237",,1347,"G",,133727
"01","2371",,209,"G",,13032
"01","2372",,518,"G",,74525
"01","23721",,518,"G",,74525
"01","2373",,145,"H",,8464
"01","23731",,145,"H",,8464
"01","2379",,475,"G",,37706
"01","23799",,475,"G",,37706
"01","238",,38358,"G",,1779709
"01","2381",,8108,"G",,394157
"01","2382",,5699,"G",,268705
"01","23821",,2440,"G",,96723
"01","23822",,2910,"G",,158133
"01","23829",,349,"G",,13849
"01","2383",,14226,"G",,602053
"01","2389",,10325,"G",,514794
"01","311",,419,"G",,9938
"01","3111",,27,"G",,512
"01","31111",,27,"G",,512
"01","3112","D",0,"D","D",0
"01","3113","D",0,"D","D",0
"01","3114",,26,"H",,357
"01","3115",,12,"G",,93
"01","3116",,81,"G",,1981
"01","31161",,81,"G",,1981
"01","3117",,47,"G",,1547
"01","31171",,47,"G",,1547
"01","3118",,123,"G",,2805
"01","3119",,89,"G",,2377
"01","312",,14,"G",,760
"01","313",,33,"H",,1054
"01","31-33",,4369,"G",,204330
"01","314",,59,"H",,1591
"01","315",,361,"G",,9664
"01","316",,78,"H",,3177
"01","3161","D",0,"D","D",0
"01","31611","D",0,"D","D",0
"01","3162",,9,"G",,471
"01","31621",,9,"G",,471
"01","3169",,56,"G",,2043
"01","31699",,56,"G",,2043
"01","321",,417,"G",,18768
"01","322","D",0,"D","D",0
"01","323",,382,"G",,17217
"01","3231",,382,"G",,17217
"01","324",,30,"H",,1444
"01","3241",,30,"H",,1444
"01","325",,149,"G",,4940
"01","3251",,11,"H",,179
"01","3252","D",0,"D","D",0
"01","3253",,17,"H",,850
"01","3254",,13,"H",,454
"01","32541",,13,"H",,454
"01","3255",,34,"H",,951
"01","3256",,35,"G",,366
"01","3259",,33,"H",,1474
"01","326",,54,"H",,4785
"01","327",,120,"G",,5433
"01","3271",,25,"G",,293
"01","3272",,24,"G",,836
"01","32721",,24,"G",,836
"01","3273",,46,"G",,2829
"01","3274","D",0,"D","D",0
"01","3279",,22,"H",,1459
"01","331",,53,"G",,4378
"01","332",,545,"G",,35097
"01","333",,232,"G",,13264
"01","334",,98,"H",,5187
"01","335",,86,"H",,4310
"01","336",,138,"G",,10633
"01","337",,301,"G",,13843
"01","339",,772,"G",,36896
"01","3391",,75,"G",,4049
"01","33911",,75,"G",,4049
"01","3399",,697,"G",,32847
"01","42",,5230,"G",,424015
"01","423",,2723,"G",,251942
"01","4231",,341,"G",,45007
"01","4232",,234,"G",,15933
"01","4233",,160,"G",,20522
"01","4234",,161,"G",,10945
"01","4235",,60,"G",,7414
"01","4236",,125,"G",,12388
"01","4237",,68,"G",,5968
"01","4238",,263,"G",,32926
"01","4239",,1311,"G",,100839
"01","42391",,142,"G",,7082
"01","42392",,78,"G",,1829
"01","42393",,275,"G",,23571
"01","42394",,184,"G",,11827
"01","42399",,632,"G",,56530
"01","424",,1968,"G",,141603
"01","4241",,90,"G",,6358
"01","4242",,54,"H",,5720
"01","42421",,54,"H",,5720
"01","4243",,268,"G",,11023
"01","4244",,466,"G",,51517
"01","4245",,77,"H",,5507
"01","4246",,36,"G",,3429
"01","4247",,33,"G",,3687
"01","4248",,25,"G",,2989
"01","4249",,919,"G",,51373
"01","42491",,39,"H",,2447
"01","42492",,192,"G",,4072
"01","42493",,172,"G",,8203
"01","42494",,11,"H",,2868
"01","42495",,39,"G",,2127
"01","42499",,466,"G",,31656
"01","425",,539,"G",,30470
"01","4251",,539,"G",,30470
"01","42511",,75,"H",,5876
"01","42512",,464,"G",,24594
"01","441",,3877,"G",,526609
"01","4411",,2432,"G",,399002
"01","44112",,2432,"G",,399002
"01","4412",,758,"G",,66413
"01","44121",,104,"G",,14224
"01","44122",,654,"G",,52189
"01","441221",,76,"G",,6019
"01","441222",,67,"G",,4123
"01","441229",,511,"G",,42047
"01","4413",,687,"G",,61194
"01","442",,852,"G",,49951
"01","4421",,352,"G",,20533
"01","44211",,352,"G",,20533
"01","4422",,500,"G",,29418
"01","443",,476,"G",,23366
"01","4431",,476,"G",,23366
"01","44311",,319,"G",,16927
"01","443111",,111,"G",,4848
"01","443112",,208,"G",,12079
"01","44312",,131,"G",,5796
"01","44313",,26,"G",,643
"01","444",,778,"G",,56291
"01","4441",,494,"G",,38909
"01","44411",,34,"G",,1192
"01","44412",,38,"G",,2282
"01","44413",,100,"G",,8219
"01","44419",,322,"G",,27216
"01","4442",,284,"G",,17382
"01","44-45",,29883,"G",,1538756
"01","445",,1649,"G",,154869
"01","4451",,807,"G",,96710
"01","4452",,701,"G",,40326
"01","44521",,42,"H",,4359
"01","44522",,61,"G",,4279
"01","44523",,162,"G",,11097
"01","44529",,436,"G",,20591
"01","4453",,141,"G",,17833
"01","44531",,141,"G",,17833
"01","446",,2392,"G",,49951
"01","4461",,2392,"G",,49951
"01","44611",,132,"G",,5220
"01","44612",,1602,"G",,24860
"01","44613",,38,"G",,2896
"01","44619",,620,"G",,16975
"01","447",,470,"G",,92247
"01","4471",,470,"G",,92247
"01","448",,2172,"G",,79152
"01","4481",,1552,"G",,55256
"01","44811",,55,"G",,3189
"01","44812",,296,"G",,13368
"01","44813",,184,"G",,7413
"01","44814",,312,"G",,9297
"01","44815",,328,"G",,8819
"01","44819",,377,"G",,13170
"01","4482",,80,"G",,3083
"01","44821",,80,"G",,3083
"01","4483",,540,"G",,20813
"01","44831",,510,"G",,20216
"01","44832",,30,"H",,597
"01","451",,1384,"G",,52555
"01","4511",,918,"G",,39545
"01","45111",,308,"G",,21513
"01","45112",,197,"G",,6893
"01","45113",,323,"G",,7276
"01","45114",,90,"G",,3863
"01","4512",,466,"G",,13010
"01","45121",,425,"G",,11960
"01","451211",,157,"G",,5784
"01","451212",,268,"G",,6176
"01","45122",,41,"H",,1050
"01","452",,584,"G",,35180
"01","453",,4795,"G",,194999
"01","4531",,548,"G",,16461
"01","45311",,548,"G",,16461
"01","4532",,1005,"G",,33847
"01","45321",,97,"G",,6302
"01","45322",,908,"G",,27545
"01","4533",,1010,"G",,23721
"01","45331",,1010,"G",,23721
"01","4539",,2232,"G",,120970
"01","45391",,106,"G",,4078
"01","45392",,174,"G",,4779
"01","45393",,104,"G",,10948
"01","45399",,1848,"G",,101165
"01","454",,10454,"G",,223586
"01","4541",,754,"G",,21383
"01","45411",,754,"G",,21383
"01","4542",,441,"G",,14535
"01","45421",,441,"G",,14535
"01","4543",,9259,"G",,187668
"01","45431",,32,"G",,3011
"01","45439",,9227,"G",,184657
"01","481",,336,"G",,15846
"01","483",,103,"G",,5058
"01","484",,9786,"G",,857498
"01","4841",,8756,"G",,775375
"01","48411",,2481,"G",,182756
"01","48412",,6275,"G",,592619
"01","4842",,1030,"G",,82123
"01","48-49",,15095,"G",,1042180
"01","485",,723,"G",,24412
"01","4851",,7,"H",,86
"01","48511",,7,"H",,86
"01","4852",,18,"G",,323
"01","48521",,18,"G",,323
"01","4853",,304,"G",,8045
"01","4854","D",0,"D","D",0
"01","48541","D",0,"D","D",0
"01","4855",,75,"H",,5876
"01","48551",,75,"H",,5876
"01","4859",,293,"G",,9889
"01","48599",,293,"G",,9889
"01","486",,7,"G",,804
"01","487",,50,"G",,1403
"01","488",,1880,"G",,82938
"01","492",,2118,"G",,46832
"01","493",,92,"G",,7389
"01","4931",,92,"G",,7389
"01","51",,2760,"G",,80030
"01","511",,676,"G",,21932
"01","512",,462,"G",,9553
"01","5121",,285,"G",,7299
"01","5122",,177,"G",,2254
"01","515",,256,"G",,7065
"01","517",,429,"G",,15355
"01","518",,408,"G",,8356
"01","5182",,408,"G",,8356
"01","51821",,408,"G",,8356
"01","519",,529,"G",,17769
"01","5191",,529,"G",,17769
"01","52",,8825,"G",,444837
"01","522",,999,"G",,43492
"01","5221",,130,"G",,3420
"01","5222",,363,"G",,25229
"01","5223",,506,"G",,14843
"01","523",,2327,"G",,170283
"01","5231",,264,"G",,30513
"01","52311",,65,"H",,3279
"01","52312",,168,"G",,19670
"01","52313",,10,"G",,772
"01","52314","D",0,"D","D",0
"01","5232",,30,"H",,568
"01","52321",,30,"H",,568
"01","5239",,2033,"G",,139202
"01","524",,5499,"G",,231062
"01","5241",,43,"G",,2573
"01","5242",,5456,"G",,228489
"01","52421",,3729,"G",,175220
"01","52429",,1727,"G",,53269
"01","53",,29253,"G",,2322666
"01","531",,28208,"G",,2237539
"01","5311",,10704,"G",,1250116
"01","5312",,8779,"G",,347748
"01","53121",,8779,"G",,347748
"01","5313",,8725,"G",,639675
"01","53131",,1725,"G",,120408
"01","53132",,634,"G",,35632
"01","53139",,6366,"G",,483635
"01","532",,1018,"G",,81564
"01","5321",,233,"G",,20701
"01","5322",,253,"G",,12246
"01","53221",,16,"H",,369
"01","53222",,13,"H",,2407
"01","53223",,59,"G",,1599
"01","53229",,165,"G",,7871
"01","5323",,68,"G",,2808
"01","53231",,68,"G",,2808
"01","5324",,464,"G",,45809
"01","533",,27,"G",,3563
"01","5331",,27,"G",,3563
"01","53311",,27,"G",,3563
"01","54",,30744,"G",,1132087
"01","541",,30744,"G",,1132087
"01","5411",,3189,"G",,180923
"01","5412",,4377,"G",,82369
"01","54121",,4377,"G",,82369
"01","541211",,418,"G",,18732
"01","541213",,1343,"G",,22293
"01","541214",,84,"H",,1546
"01","541219",,2532,"G",,39798
"01","5413",,3320,"G",,134537
"01","54131",,346,"G",,16536
"01","54132",,757,"G",,21249
"01","54133",,1261,"G",,71468
"01","54134",,401,"G",,8941
"01","54135",,228,"G",,6482
"01","54136",,65,"G",,2089
"01","54137",,223,"G",,5587
"01","54138",,39,"H",,2185
"01","5414",,1695,"G",,55350
"01","5415",,2391,"G",,91958
"01","54151",,2391,"G",,91958
"01","5416",,6020,"G",,212838
"01","5417",,318,"G",,12871
"01","5418",,1315,"G",,74048
"01","5419",,8119,"G",,287193
"01","54191",,224,"G",,3187
"01","54192",,1249,"G",,24784
"01","54193",,233,"G",,3606
"01","54194",,206,"G",,8440
"01","54199",,6207,"G",,247176
"01","56",,33803,"G",,608330
"01","561",,33492,"G",,584833
"01","5611",,2496,"G",,44385
"01","56111",,2496,"G",,44385
"01","5612",,335,"G",,5439
"01","56121",,335,"G",,5439
"01","5613",,795,"G",,14539
"01","5614",,3261,"G",,75657
"01","56141",,1362,"G",,14971
"01","56142",,226,"G",,4794
"01","56143",,197,"H",,8716
"01","56144",,101,"H",,4506
"01","56145",,5,"H",,114
"01","56149",,1370,"G",,42556
"01","5615",,333,"G",,10450
"01","5616",,1860,"G",,26369
"01","5617",,23201,"G",,374346
"01","56171",,311,"G",,11320
"01","56172",,12295,"G",,144831
"01","56173",,8422,"G",,161135
"01","56174",,519,"G",,13301
"01","56179",,1654,"G",,43759
"01","5619",,1211,"G",,33648
"01","562",,311,"G",,23497
"01","61",,6266,"G",,64147
"01","611",,6266,"G",,64147
"01","62",,18399,"G",,546859
"01","621",,9878,"G",,435719
"01","6211",,2312,"G",,195804
"01","62111",,2312,"G",,195804
"01","621111",,2014,"G",,178303
"01","621112",,298,"G",,17501
"01","6212",,395,"G",,36727
"01","62121",,395,"G",,36727
"01","6213",,2989,"G",,122503
"01","62131",,143,"G",,6176
"01","62132",,188,"G",,16952
"01","62133",,580,"G",,19528
"01","62134",,565,"G",,26429
"01","62139",,1513,"G",,53418
"01","621391",,24,"G",,705
"01","621399",,1489,"G",,52713
"01","6214",,140,"G",,10404
"01","6215",,249,"G",,13089
"01","62151",,249,"G",,13089
"01","6216",,3300,"G",,42392
"01","62161",,3300,"G",,42392
"01","6219",,493,"G",,14800
"01","623",,564,"G",,13505
"01","624",,7957,"G",,97635
"01","6241",,1486,"G",,25898
"01","6242",,71,"H",,1991
"01","6243",,122,"G",,2068
"01","62431",,122,"G",,2068
"01","6244",,6278,"G",,67678
"01","62441",,6278,"G",,67678
"01","71",,10228,"G",,171910
"01","711",,8399,"G",,114910
"01","7111",,589,"G",,6984
"01","7112",,1974,"G",,21862
"01","71121",,1974,"G",,21862
"01","7113",,402,"G",,11770
"01","7114",,261,"G",,5207
"01","71141",,261,"G",,5207
"01","7115",,5173,"G",,69087
"01","71151",,5173,"G",,69087
"01","712",,58,"H",,1985
"01","7121",,58,"H",,1985
"01","713",,1771,"G",,55015
"01","7131",,64,"G",,1684
"01","7132",,105,"H",,6747
"01","7139",,1602,"G",,46584
"01","72",,4302,"G",,233085
"01","721",,568,"G",,44160
"01","7211",,315,"G",,33710
"01","7212",,112,"G",,6455
"01","72121",,112,"G",,6455
"01","7213",,141,"G",,3995
"01","72131",,141,"G",,3995
"01","722",,3734,"G",,188925
"01","7221",,782,"G",,76778
"01","72211",,782,"G",,76778
"01","7222",,557,"G",,51441
"01","72221",,557,"G",,51441
"01","7223",,2031,"G",,43688
"01","7224",,364,"G",,17018
"01","72241",,364,"G",,17018
"01","81",,56034,"G",,1261543
"01","811",,12661,"G",,459051
"01","8111",,6842,"G",,270335
"01","81111",,3057,"G",,111473
"01","81112",,1981,"G",,98347
"01","81119",,1804,"G",,60515
"01","8112",,767,"G",,22295
"01","81121",,767,"G",,22295
"01","8113",,1023,"G",,55610
"01","81131",,1023,"G",,55610
"01","8114",,4029,"G",,110811
"01","81141",,735,"G",,24091
"01","81142",,450,"G",,11205
"01","81143",,39,"G",,1260
"01","81149",,2805,"G",,74255
"01","812",,37993,"G",,719941
"01","8121",,20735,"G",,377141
"01","81211",,18676,"G",,341947
"01","812111",,3050,"G",,47606
"01","812112",,13556,"G",,230396
"01","812113",,2070,"G",,63945
"01","81219",,2059,"G",,35194
"01","8122",,282,"G",,15490
"01","81221",,216,"G",,12596
"01","81222",,66,"G",,2894
"01","8123",,423,"G",,21237
"01","81231",,212,"G",,9977
"01","81232",,181,"G",,8898
"01","81233",,30,"H",,2362
"01","8129",,16553,"G",,306073
"01","81291",,635,"G",,13031
"01","81292",,227,"G",,3431
"01","81293",,41,"G",,846
"01","81299",,15650,"G",,288765
"01","813",,5380,"G",,82551
"02","00",,53615,"G",,2296736
"02","11",,9264,"G",,448330
"02","113",,156,"G",,5426
"02","114",,8920,"G",,438150
"02","1141",,8564,"G",,426727
"02","11411",,8564,"G",,426727
"02","1142",,356,"G",,11423
"02","11421",,356,"G",,11423
"02","115",,188,"G",,4754
"02","1151",,55,"G",,927
"02","11511",,55,"G",,927
"02","1152",,84,"G",,2432
"02","11521",,84,"G",,2432
"02","1153",,49,"G",,1395
"02","11531",,49,"G",,1395
"02","21",,235,"G",,13197
"02","211",,31,"G",,967
"02","2111",,31,"G",,967
"02","21111",,31,"G",,967
"02","212",,162,"G",,8941
"02","2121","D",0,"D","D",0
"02","21211","D",0,"D","D",0
"02","2122",,115,"G",,6099
"02","2123",,45,"G",,2822
"02","213",,42,"G",,3289
"02","2131",,42,"G",,3289
"02","21311",,42,"G",,3289
"02","22",,64,"G",,2652
"02","221",,64,"G",,2652
"02","23",,5130,"G",,318296
"02","236",,1504,"G",,126665
"02","2361",,1278,"G",,113625
"02","2362",,226,"G",,13040
"02","237",,228,"G",,23040
"02","2371",,22,"H",,3931
"02","2372",,54,"G",,6673
"02","23721",,54,"G",,6673
"02","2373",,43,"G",,3000
"02","23731",,43,"G",,3000
"02","2379",,109,"G",,9436
"02","23799",,109,"G",,9436
"02","238",,3398,"G",,168591
"02","2381",,439,"G",,24617
"02","2382",,413,"G",,22637
"02","23821",,196,"G",,8891
"02","23822",,185,"G",,12446
"02","23829",,32,"G",,1300
"02","2383",,1286,"G",,58042
"02","2389",,1260,"G",,63295
"02","311",,111,"G",,3580
"02","3111",,5,"G",,27
"02","31111",,5,"G",,27
"02","3113",,8,"H",,331
"02","3114","D",0,"D","D",0
"02","3115","D",0,"D","D",0
"02","3116","D",0,"D","D",0
"02","31161","D",0,"D","D",0
"02","3117",,33,"G",,1837
"02","31171",,33,"G",,1837
"02","3118",,25,"G",,384
"02","3119",,32,"G",,786
"02","312",,10,"H",,201
"02","313","D",0,"D","D",0
"02","31-33",,1087,"G",,33182
"02","314",,13,"G",,69
"02","315",,89,"G",,1659
"02","316",,33,"H",,1089
"02","3161",,22,"G",,730
"02","31611",,22,"G",,730
"02","3162","D",0,"D","D",0
"02","31621","D",0,"D","D",0
"02","3169",,9,"H",,351
"02","31699",,9,"H",,351
"02","321",,144,"G",,4582
"02","322",,4,"G",,255
"02","323",,52,"G",,2164
"02","3231",,52,"G",,2164
"02","324","D",0,"D","D",0
"02","3241","D",0,"D","D",0
"02","325",,17,"H",,183
"02","3253","D",0,"D","D",0
"02","3254","D",0,"D","D",0
"02","32541","D",0,"D","D",0
"02","3256","D",0,"D","D",0
"02","3259","D",0,"D","D",0
"02","326",,5,"G",,112
"02","327",,60,"G",,1715
"02","3271",,23,"G",,336
"02","3272",,20,"H",,139
"02","32721",,20,"H",,139
"02","3273","D",0,"D","D",0
"02","3279",,13,"G",,430
"02","331",,11,"G",,241
"02","332",,116,"G",,3970
"02","333",,14,"H",,1044
"02","334",,5,"H",,170
"02","335",,9,"G",,264
"02","336",,28,"H",,2415
"02","337",,47,"G",,1234
"02","339",,311,"G",,7775
"02","3391",,9,"H",,638
"02","33911",,9,"H",,638
"02","3399",,302,"G",,7137
"02","42",,550,"G",,37674
"02","423",,299,"G",,23356
"02","4231","D",0,"D","D",0
"02","4232",,9,"G",,572
"02","4233",,15,"H",,894
"02","4234","D",0,"D","D",0
"02","4235","D",0,"D","D",0
"02","4236",,9,"H",,787
"02","4237",,8,"H",,574
"02","4238",,25,"G",,6106
"02","4239",,206,"G",,10429
"02","42391",,28,"H",,1529
"02","42392",,19,"G",,388
"02","42393","D",0,"D","D",0
"02","42394",,58,"G",,1473
"02","42399",,91,"H",,6782
"02","424",,214,"G",,12126
"02","4241","D",0,"D","D",0
"02","4242","D",0,"D","D",0
"02","42421","D",0,"D","D",0
"02","4243",,25,"H",,751
"02","4244",,32,"G",,2771
"02","4245","D",0,"D","D",0
"02","4246","D",0,"D","D",0
"02","4247","D",0,"D","D",0
"02","4248",,7,"G",,307
"02","4249",,135,"G",,7036
"02","42491","D",0,"D","D",0
"02","42492",,34,"G",,759
"02","42493",,19,"G",,1010
"02","42494","D",0,"D","D",0
"02","42495","D",0,"D","D",0
"02","42499",,76,"G",,4933
"02","425",,37,"G",,2192
"02","4251",,37,"G",,2192
"02","42511",,9,"H",,288
"02","42512",,28,"G",,1904
"02","441",,219,"G",,21222
"02","4411",,96,"G",,12192
"02","44112",,96,"G",,12192
"02","4412",,76,"H",,5075
"02","44121","D",0,"D","D",0
"02","44122",,58,"G",,4115
"02","441221",,9,"H",,457
"02","441222",,12,"G",,695
"02","441229",,37,"G",,2963
"02","4413",,47,"G",,3955
"02","442",,50,"G",,4599
"02","4421",,14,"G",,1610
"02","44211",,14,"G",,1610
"02","4422",,36,"G",,2989
"02","443",,58,"G",,3710
"02","4431",,58,"G",,3710
"02","44311",,36,"H",,2247
"02","443111",,10,"H",,1039
"02","443112",,26,"G",,1208
"02","44312",,17,"H",,1271
"02","44313","D",0,"D","D",0
"02","444",,91,"G",,5699
"02","4441",,70,"G",,4960
"02","44411","D",0,"D","D",0
"02","44412","D",0,"D","D",0
"02","44413",,14,"G",,616
"02","44419",,50,"H",,4158
"02","4442",,21,"H",,739
"02","44-45",,4437,"G",,169302
"02","445",,218,"G",,16480
"02","4451",,95,"G",,9112
"02","4452",,108,"G",,5304
"02","44521",,9,"G",,658
"02","44522",,12,"G",,1358
"02","44523",,11,"H",,133
"02","44529",,76,"G",,3155
"02","4453",,15,"H",,2064
"02","44531",,15,"H",,2064
"02","446",,241,"G",,5139
"02","4461",,241,"G",,5139
"02","44611",,8,"G",,172
"02","44612",,118,"G",,2074
"02","44613","D",0,"D","D",0
"02","44619",,113,"G",,2885
"02","447",,14,"H",,1019
"02","4471",,14,"H",,1019
"02","448",,241,"G",,16225
"02","4481",,152,"G",,8270
"02","44811",,5,"H",,72
"02","44812",,34,"G",,1844
"02","44813","D",0,"D","D",0
"02","44814",,26,"G",,1333
"02","44815",,27,"H",,1061
"02","44819",,56,"G",,3745
"02","4482","D",0,"D","D",0
"02","44821","D",0,"D","D",0
"02","4483",,84,"G",,7452
"02","44831",,81,"G",,7407
"02","44832","D",0,"D","D",0
"02","451",,312,"G",,12016
"02","4511",,256,"G",,10983
"02","45111",,125,"G",,6775
"02","45112",,45,"G",,1495
"02","45113",,71,"H",,1932
"02","45114",,15,"H",,781
"02","4512",,56,"G",,1033
"02","45121",,49,"G",,1012
"02","451211",,26,"G",,789
"02","451212",,23,"H",,223
"02","45122","D",0,"D","D",0
"02","452",,114,"G",,7336
"02","453",,814,"G",,41076
"02","4531",,44,"G",,1825
"02","45311",,44,"G",,1825
"02","4532",,315,"G",,14414
"02","45321",,7,"H",,515
"02","45322",,308,"G",,13899
"02","4533",,61,"G",,3183
"02","45331",,61,"G",,3183
"02","4539",,394,"G",,21654
"02","45391",,28,"G",,1757
"02","45392",,79,"G",,2289
"02","45393","D",0,"D","D",0
"02","45399",,285,"G",,17566
"02","454",,2065,"G",,34781
"02","4541",,162,"G",,3952
"02","45411",,162,"G",,3952
"02","4542",,60,"G",,1507
"02","45421",,60,"G",,1507
"02","4543",,1843,"G",,29322
"02","45431",,22,"H",,3052
"02","45439",,1821,"G",,26270
"02","481",,232,"G",,13643
"02","483",,143,"G",,12178
"02","484",,650,"G",,52037
"02","4841",,567,"G",,45383
"02","48411",,321,"G",,24232
"02","48412",,246,"G",,21151
"02","4842",,83,"G",,6654
"02","48-49",,2446,"G",,128514
"02","485",,640,"G",,24483
"02","4851","D",0,"D","D",0
"02","48511","D",0,"D","D",0
"02","4852","D",0,"D","D",0
"02","48521","D",0,"D","D",0
"02","4853",,563,"G",,21977
"02","4854","D",0,"D","D",0
"02","48541","D",0,"D","D",0
"02","4855",,9,"H",,526
"02","48551",,9,"H",,526
"02","4859",,60,"H",,1678
"02","48599",,60,"H",,1678
"02","486","D",0,"D","D",0
"02","487",,154,"G",,6537
"02","488",,335,"G",,11398
"02","492",,260,"G",,5531
"02","493",,31,"H",,2613
"02","4931",,31,"H",,2613
"02","51",,527,"G",,15071
"02","511",,165,"G",,4025
"02","512",,102,"G",,1747
"02","5121",,81,"G",,1447
"02","5122",,21,"H",,300
"02","515",,41,"G",,417
"02","517",,63,"G",,4748
"02","518",,53,"G",,1126
"02","5182",,53,"G",,1126
"02","51821",,53,"G",,1126
"02","519",,103,"G",,3008
"02","5191",,103,"G",,3008
"02","52",,803,"G",,41684
"02","522",,70,"H",,2483
"02","5221","D",0,"D","D",0
"02","5222",,30,"H",,1211
"02","5223",,31,"G",,728
"02","523",,373,"G",,23244
"02","5231",,25,"G",,2182
"02","52311",,10,"H",,635
"02","52312",,13,"G",,1360
"02","52313","D",0,"D","D",0
"02","52314","D",0,"D","D",0
"02","5232","D",0,"D","D",0
"02","52321","D",0,"D","D",0
"02","5239",,347,"G",,21061
"02","524",,360,"G",,15957
"02","5241","D",0,"D","D",0
"02","5242",,357,"G",,15898
"02","52421",,229,"G",,12070
"02","52429",,128,"G",,3828
"02","53",,3981,"G",,319438
"02","531",,3458,"G",,292673
"02","5311",,1386,"G",,178378
"02","5312",,1160,"G",,61980
"02","53121",,1160,"G",,61980
"02","5313",,912,"G",,52315
"02","53131",,259,"G",,13951
"02","53132",,53,"G",,4208
"02","53139",,600,"G",,34156
"02","532",,522,"G",,26758
"02","5321",,142,"G",,3894
"02","5322",,80,"H",,2939
"02","53221","D",0,"D","D",0
"02","53223",,23,"H",,1515
"02","53229",,56,"G",,1367
"02","5323",,12,"G",,423
"02","53231",,12,"G",,423
"02","5324",,288,"G",,19502
"02","533","D",0,"D","D",0
"02","5331","D",0,"D","D",0
"02","53311","D",0,"D","D",0
"02","54",,6493,"G",,255879
"02","541",,6493,"G",,255879
"02","5411",,509,"G",,33721
"02","5412",,914,"G",,20469
"02","54121",,914,"G",,20469
"02","541211",,89,"G",,4413
"02","541213",,99,"G",,2375
"02","541214",,15,"H",,371
"02","541219",,711,"G",,13310
"02","5413",,619,"G",,32934
"02","54131",,78,"G",,5239
"02","54132",,35,"G",,1035
"02","54133",,316,"G",,19191
"02","54134",,66,"G",,1439
"02","54135",,47,"G",,2319
"02","54136",,9,"G",,580
"02","54137",,60,"G",,2115
"02","54138",,8,"H",,1016
"02","5414",,276,"G",,7488
"02","5415",,521,"G",,17453
"02","54151",,521,"G",,17453
"02","5416",,1504,"G",,59044
"02","5417",,101,"G",,3913
"02","5418",,197,"G",,14808
"02","5419",,1852,"G",,66049
"02","54191",,24,"G",,864
"02","54192",,323,"G",,7527
"02","54193",,67,"G",,2136
"02","54194",,47,"G",,1639
"02","54199",,1391,"G",,53883
"02","56",,3086,"G",,66463
"02","561",,3013,"G",,63077
"02","5611",,420,"G",,6640
"02","56111",,420,"G",,6640
"02","5612",,81,"G",,2379
"02","56121",,81,"G",,2379
"02","5613",,54,"H",,721
"02","5614",,397,"G",,9409
"02","56141",,133,"G",,1735
"02","56142",,22,"G",,140
"02","56143",,30,"G",,618
"02","56144","D",0,"D","D",0
"02","56149",,205,"G",,6784
"02","5615",,125,"G",,4404
"02","5616",,80,"G",,3628
"02","5617",,1653,"G",,31461
"02","56171",,5,"H",,93
"02","56172",,1061,"G",,17252
"02","56173",,264,"G",,6111
"02","56174",,48,"G",,2235
"02","56179",,275,"G",,5770
"02","5619",,203,"G",,4435
"02","562",,73,"H",,3386
"02","61",,1505,"G",,17755
"02","611",,1505,"G",,17755
"02","62",,4011,"G",,125267
"02","621",,1718,"G",,89231
"02","6211",,330,"G",,34228
"02","62111",,330,"G",,34228
"02","621111",,253,"G",,27086
"02","621112",,77,"G",,7142
"02","6212",,56,"G",,3085
"02","62121",,56,"G",,3085
"02","6213",,890,"G",,37661
"02","62131",,55,"G",,4925
"02","62132",,24,"G",,2577
"02","62133",,196,"G",,9179
"02","62134",,148,"G",,6545
"02","62139",,467,"G",,14435
"02","621391",,5,"G",,213
"02","621399",,462,"G",,14222
"02","6214",,24,"G",,878
"02","6215",,24,"H",,1950
"02","62151",,24,"H",,1950
"02","6216",,282,"G",,6771
"02","62161",,282,"G",,6771
"02","6219",,112,"G",,4658
"02","623",,71,"G",,2725
"02","624",,2222,"G",,33311
"02","6241",,243,"G",,5059
"02","6242",,13,"H",,129
"02","6243",,34,"H",,2294
"02","62431",,34,"H",,2294
"02","6244",,1932,"G",,25829
"02","62441",,1932,"G",,25829
"02","71",,3162,"G",,66339
"02","711",,2346,"G",,31688
"02","7111",,96,"G",,915
"02","7112",,405,"G",,3796
"02","71121",,405,"G",,3796
"02","7113",,82,"G",,2763
"02","7114",,42,"G",,889
"02","71141",,42,"G",,889
"02","7115",,1721,"G",,23325
