YEAR,STATE_CODE,COUNTY_CODE,VMT_TOTAL
2000,8,73,122878307.28
2000,8,75,144516494.48
2000,8,77,592736795.06
2000,8,79,26123974.68
2000,8,81,55469144.64
2000,8,83,186318994.14
2000,8,85,154068810.44
2000,8,87,169807420.24
2000,8,89,104645036.39999999
2000,8,91,61515534.18
2000,8,93,102397906.2
2000,8,95,7207008.48
2000,8,97,105312543.54
2000,8,99,101619581.58
2000,8,101,801266857.7
2000,8,105,99177377.04
2000,8,107,117760005.89999999
2000,8,109,61017580.2
2000,8,111,29056520.4
2000,8,115,56775347.400000006
2000,8,117,277477391.65999997
2000,8,119,70765287.48
2000,8,121,71022179.22
2000,8,123,1201027590.8999999
2000,8,125,62251801.74
2000,9,1,4376672286.0
2000,9,3,4715470434.0
2000,9,5,592999422.0
2000,9,7,1082313972.0
2000,9,9,4409507610.0
2000,9,11,1758759198.0
2000,9,13,802665450.0
2000,9,15,445070640.0
2000,10,1,507142527.12
2000,10,3,3139675284.54
2000,10,5,743120236.6
2000,11,1,632668226.9599999
2000,11,2,297159755.79999995
2000,11,3,181357584.88
2000,11,4,150863815.06
2000,11,5,587267646.11
2000,12,1,1493073060.3
2000,12,3,226841463.70000002
2000,12,5,710700152.7
2000,12,7,155193587.7
2000,12,9,2888092601.5
2000,12,11,7905763822.0
2000,12,13,47502400.68
2000,12,15,611750590.2
2000,12,17,430647092.4
2000,12,19,559804180.9000001
2000,12,21,880117229.5
2000,12,23,808433317.96
2000,12,25,8920786852.3
2000,12,27,134856743.57
2000,12,29,83286740.4
2000,12,31,5221986309.23
2000,12,33,1250384087.51
2000,12,35,450581298.5
2000,12,37,81461558.42
2000,12,39,336200650.4
2000,12,41,49699725.6
2000,12,43,86217668.4
2000,12,45,39229689.5
2000,12,47,382197732.6
2000,12,49,146879826.0
2000,12,51,220287421.2
2000,12,53,584267728.1
2000,12,55,450864706.6
2000,12,57,5309454638.6
2000,12,59,87863719.73
2000,12,61,698487771.1
2000,12,63,347720041.8
2000,12,65,229661696.48000002
2000,12,67,40216610.7
2000,12,69,1228076087.1
2000,12,71,1522931798.1999998
2000,12,73,973538314.8
2000,12,75,192268238.1
2000,12,77,32786463.0
2000,12,79,310068795.0
2000,12,81,1379532538.4
2000,12,83,1574736070.6999998
2000,12,85,1126074018.7
2000,12,87,838216256.9000001
2000,12,89,407312213.8
2000,12,91,934521041.9
2000,12,93,304161591.6
2000,12,95,5198848773.0
2000,12,97,1603687637.28
2000,12,99,5593027476.9
2000,12,101,1422552959.5
2000,12,103,2662680906.6
2000,12,105,2443749426.0
2000,12,107,312536629.05
2000,12,109,912419356.632
2000,12,111,1289927658.4
2000,12,113,555148843.9
2000,12,115,1605066169.28
2000,12,117,1624724378.8000002
2000,12,119,654453786.6
2000,12,121,313352954.0
2000,12,123,171120984.7
2000,12,127,2838921421.2
2000,12,129,111647465.2
