"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","-",,320605,"G",,12111372
"01","00","C",,13382,"G",,1609088
"01","00","S",,286124,"G",,7930403
"01","00","P",,21099,"G",,2571881
"01","11","-",,4780,"G",,236525
"01","11","C",,230,"G",,38854
"01","11","S",,4378,"G",,179341
"01","11","P",,172,"G",,18330
"01","113","-",,1508,"G",,99092
"01","113","C",,68,"G",,11961
"01","113","S",,1368,"G",,76631
"01","113","P",,72,"G",,10500
"01","114","-",,1663,"G",,85501
"01","114","C",,105,"G",,20482
"01","114","S",,1505,"G",,61839
"01","114","P",,53,"G",,3180
"01","1141","-",,1411,"G",,79898
"01","1141","C",,73,"G",,19138
"01","1141","S",,1316,"G",,58627
"01","1141","P",,22,"H",,2133
"01","11411","-",,1411,"G",,79898
"01","11411","C",,73,"G",,19138
"01","11411","S",,1316,"G",,58627
"01","11411","P",,22,"H",,2133
"01","1142","-",,252,"G",,5603
"01","1142","C",,32,"G",,1344
"01","1142","S",,189,"G",,3212
"01","1142","P",,31,"G",,1047
"01","11421","-",,252,"G",,5603
"01","11421","C",,32,"G",,1344
"01","11421","S",,189,"G",,3212
"01","11421","P",,31,"G",,1047
"01","115","-",,1609,"G",,51932
"01","115","C",,57,"H",,6411
"01","115","S",,1505,"G",,40871
"01","115","P",,47,"G",,4650
"01","1151","-",,672,"G",,18459
"01","1151","C",,18,"G",,3254
"01","1151","S",,638,"G",,12740
"01","1151","P",,16,"H",,2465
"01","11511","-",,672,"G",,18459
"01","11511","C",,18,"G",,3254
"01","11511","S",,638,"G",,12740
"01","11511","P",,16,"H",,2465
"01","1152","-",,567,"G",,17807
"01","1152","C",,12,"G",,763
"01","1152","S",,540,"G",,15752
"01","1152","P",,15,"H",,1292
"01","11521","-",,567,"G",,17807
"01","11521","C",,12,"G",,763
"01","11521","S",,540,"G",,15752
"01","11521","P",,15,"H",,1292
"01","1153","-",,370,"G",,15666
"01","1153","C",,27,"H",,2394
"01","1153","S",,327,"G",,12379
"01","1153","P",,16,"H",,893
"01","11531","-",,370,"G",,15666
"01","11531","C",,27,"H",,2394
"01","11531","S",,327,"G",,12379
"01","11531","P",,16,"H",,893
"01","21","-",,726,"G",,35886
"01","21","C",,59,"G",,6592
"01","21","S",,606,"G",,22375
"01","21","P",,61,"H",,6919
"01","211","-",,527,"G",,23213
"01","211","C",,28,"G",,4069
"01","211","S",,469,"G",,13875
"01","211","P",,30,"H",,5269
"01","2111","-",,527,"G",,23213
"01","2111","C",,28,"G",,4069
"01","2111","S",,469,"G",,13875
"01","2111","P",,30,"H",,5269
"01","21111","-",,527,"G",,23213
"01","21111","C",,28,"G",,4069
