"indicators","percent_change"
"Population",0.623730842845446
"GDP",0.153076787062786
"Unemployment Rate",-0.416558131355102
"Charging Stations",-0.00735262848534197
"LNMILES",0.228577994001126
"TELEWORK",-0.765117478489014
"UPT",0
"Courier",0.0028660382334171
"Driver",0.00123589227686391
"POP density",0
