"indicators","percent_change"
"Population",0.150430049330802
"GDP",0.886152848287549
"Unemployment Rate",0.966557419229932
"Charging Stations",0.139839287950838
"LNMILES",0
"TELEWORK",-3.12798299102502
"Capital Expenditures",0.00868702494100449
"Courier",-0.00272479019055514
"Driver",-0.00701985456372023
"POP density",0.334225539414087
