"indicators","percent_change"
"Population",0.607655319864473
"GDP",0.198650413556108
"Unemployment Rate",-0.984690991871816
"Charging Stations",-0.00662940346941099
"LNMILES",0.200527911564366
"TELEWORK",-0.464065031636079
"UPT",0.000188540616100184
"Courier",0.00246338489654337
"Driver",0.000369650008040043
"POP density",0
