"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","C",,2313,"G",,307664
"01","00","Z",,10484,"G",,1391692
"01","00","S",,286961,"G",,8828180
"01","00","P",,22267,"G",,2788943
"01","00","-",,322025,"G",,13316479
"01","11","S",,3701,"G",,139284
"01","11","P",,188,"G",,27455
"01","11","Z",,146,"G",,26330
"01","11","C",,38,"G",,5410
"01","11","-",,4073,"G",,198479
"01","113","C",,15,"G",,2585
"01","113","Z",,42,"G",,6460
"01","113","S",,1210,"G",,66430
"01","113","P",,79,"H",,15041
"01","113","-",,1346,"G",,90516
"01","114","-",,1273,"G",,52988
"01","114","S",,1128,"G",,31136
"01","114","P",,62,"G",,5725
"01","114","C",,12,"H",,1804
"01","114","Z",,71,"G",,14323
"01","1141","-",,1001,"G",,45092
"01","1141","C",,7,"G",,1311
"01","1141","Z",,52,"G",,13009
"01","1141","S",,912,"G",,26230
"01","1141","P",,30,"G",,4542
"01","11411","-",,1001,"G",,45092
"01","11411","C",,7,"G",,1311
"01","11411","Z",,52,"G",,13009
"01","11411","S",,912,"G",,26230
"01","11411","P",,30,"G",,4542
"01","1142","S",,216,"G",,4906
"01","1142","-",,272,"G",,7896
"01","1142","P",,32,"G",,1183
"01","1142","C",,5,"J",,493
"01","1142","Z",,19,"G",,1314
"01","11421","-",,272,"G",,7896
"01","11421","C",,5,"J",,493
"01","11421","Z",,19,"G",,1314
"01","11421","S",,216,"G",,4906
"01","11421","P",,32,"G",,1183
"01","115","-",,1454,"G",,54975
"01","115","C",,11,"G",,1021
"01","115","Z",,33,"H",,5547
"01","115","S",,1363,"G",,41718
"01","115","P",,47,"H",,6689
"01","1151","C",,4,"H",,79
"01","1151","P",,14,"H",,1870
"01","1151","Z",,10,"H",,2197
"01","1151","-",,611,"G",,16491
"01","1151","S",,583,"G",,12345
"01","11511","-",,611,"G",,16491
"01","11511","C",,4,"H",,79
"01","11511","Z",,10,"H",,2197
"01","11511","S",,583,"G",,12345
"01","11511","P",,14,"H",,1870
"01","1152","-",,473,"G",,18572
"01","1152","C","D",0,"D","D",0
"01","1152","Z",,5,"J",,473
"01","1152","S",,453,"G",,16941
"01","1152","P",,13,"H",,929
"01","11521","S",,453,"G",,16941
"01","11521","P",,13,"H",,929
"01","11521","Z",,5,"J",,473
"01","11521","-",,473,"G",,18572
"01","11521","C","D",0,"D","D",0
"01","1153","-",,370,"G",,19912
"01","1153","C",,5,"J",,713
"01","1153","Z",,18,"H",,2877
"01","1153","S",,327,"G",,12432
