"indicators","percent_change"
"Population",0.619137408020928
"GDP",0.190969693908246
"Unemployment Rate",-0.969295858624821
"Charging Stations",-0.0157327347928677
"LNMILES",0.186212496446923
"TELEWORK",-0.478961555350355
"UPT",0.000626264739560436
"Courier",0.00232395966937493
"Driver",0.000479854024109001
"POP density",0
