"indicators","percent_change"
"Population",0.623356890337896
"GDP",0.143560687265833
"Unemployment Rate",-0.237917943454014
"Charging Stations",-0.000973519774889062
"LNMILES",0.230926805682757
"TELEWORK",-0.836414041206732
"UPT",0
"Courier",0.00551597097002067
"Driver",0.000233613691961603
"POP density",0
