"indicators","percent_change"
"Population",0.103870294489973
"GDP",0.817441102228534
"Unemployment Rate",2.35727721074198
"Charging Stations",0.250631133369859
"LNMILES",0
"TELEWORK",-4.24525107374892
"Capital Expenditures",0.00728410236511567
"Courier",0
"Driver",-0.0101331250152386
"POP density",0.338741248708975
