"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","-",,311578,"G",,12468264
"01","00","C",,12657,"G",,1579234
"01","00","S",,277102,"G",,8192440
"01","00","P",,21819,"G",,2696590
"01","11","-",,4378,"G",,209798
"01","11","C",,193,"G",,37148
"01","11","S",,4001,"G",,152565
"01","11","P",,184,"G",,20085
"01","113","-",,1487,"G",,97954
"01","113","C",,65,"G",,12390
"01","113","S",,1344,"G",,75772
"01","113","P",,78,"G",,9792
"01","114","-",,1271,"G",,54906
"01","114","C",,85,"G",,17366
"01","114","S",,1127,"G",,32566
"01","114","P",,59,"G",,4974
"01","1141","-",,1020,"G",,48418
"01","1141","C",,59,"G",,15689
"01","1141","S",,934,"G",,28595
"01","1141","P",,27,"G",,4134
"01","11411","-",,1020,"G",,48418
"01","11411","C",,59,"G",,15689
"01","11411","S",,934,"G",,28595
"01","11411","P",,27,"G",,4134
"01","1142","-",,251,"G",,6488
"01","1142","C",,26,"G",,1677
"01","1142","S",,193,"G",,3971
"01","1142","P",,32,"H",,840
"01","11421","-",,251,"G",,6488
"01","11421","C",,26,"G",,1677
"01","11421","S",,193,"G",,3971
"01","11421","P",,32,"H",,840
"01","115","-",,1620,"G",,56938
"01","115","C",,43,"H",,7392
"01","115","S",,1530,"G",,44227
"01","115","P",,47,"H",,5319
"01","1151","-",,679,"G",,17842
"01","1151","C",,11,"H",,3700
"01","1151","S",,654,"G",,12276
"01","1151","P",,14,"H",,1866
"01","11511","-",,679,"G",,17842
"01","11511","C",,11,"H",,3700
"01","11511","S",,654,"G",,12276
"01","11511","P",,14,"H",,1866
"01","1152","-",,560,"G",,20308
"01","1152","C",,10,"G",,485
"01","1152","S",,536,"G",,18475
"01","1152","P",,14,"H",,1348
"01","11521","-",,560,"G",,20308
"01","11521","C",,10,"G",,485
"01","11521","S",,536,"G",,18475
"01","11521","P",,14,"H",,1348
"01","1153","-",,381,"G",,18788
"01","1153","C",,22,"H",,3207
"01","1153","S",,340,"G",,13476
"01","1153","P",,19,"H",,2105
"01","11531","-",,381,"G",,18788
"01","11531","C",,22,"H",,3207
"01","11531","S",,340,"G",,13476
"01","11531","P",,19,"H",,2105
"01","21","-",,698,"G",,38227
"01","21","C",,49,"G",,6964
