"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","-",,315382,"G",,12596360
"01","00","C",,12967,"G",,1582604
"01","00","S",,280928,"G",,8347820
"01","00","P",,21487,"G",,2665936
"01","11","-",,4540,"G",,211867
"01","11","C",,207,"G",,36251
"01","11","S",,4154,"G",,155040
"01","11","P",,179,"G",,20576
"01","113","-",,1472,"G",,96584
"01","113","C",,66,"G",,12883
"01","113","S",,1331,"G",,74408
"01","113","P",,75,"G",,9293
"01","114","-",,1397,"G",,58087
"01","114","C",,91,"G",,16073
"01","114","S",,1246,"G",,36375
"01","114","P",,60,"H",,5639
"01","1141","-",,1134,"G",,52556
"01","1141","C",,68,"G",,14812
"01","1141","S",,1039,"G",,33171
"01","1141","P",,27,"H",,4573
"01","11411","-",,1134,"G",,52556
"01","11411","C",,68,"G",,14812
"01","11411","S",,1039,"G",,33171
"01","11411","P",,27,"H",,4573
"01","1142","-",,263,"G",,5531
"01","1142","C",,23,"G",,1261
"01","1142","S",,207,"G",,3204
"01","1142","P",,33,"H",,1066
"01","11421","-",,263,"G",,5531
"01","11421","C",,23,"G",,1261
"01","11421","S",,207,"G",,3204
"01","11421","P",,33,"H",,1066
"01","115","-",,1671,"G",,57196
"01","115","C",,50,"H",,7295
"01","115","S",,1577,"G",,44257
"01","115","P",,44,"H",,5644
"01","1151","-",,712,"G",,18239
"01","1151","C",,18,"H",,4448
"01","1151","S",,681,"G",,11941
"01","1151","P",,13,"H",,1850
"01","11511","-",,712,"G",,18239
"01","11511","C",,18,"H",,4448
"01","11511","S",,681,"G",,11941
"01","11511","P",,13,"H",,1850
"01","1152","-",,592,"G",,21354
"01","1152","C",,10,"H",,619
"01","1152","S",,569,"G",,19218
"01","1152","P",,13,"H",,1517
"01","11521","-",,592,"G",,21354
"01","11521","C",,10,"H",,619
"01","11521","S",,569,"G",,19218
"01","11521","P",,13,"H",,1517
"01","1153","-",,367,"G",,17603
"01","1153","C","D",0,"D","D",0
"01","1153","S",,327,"G",,13098
"01","1153","P",,18,"G",,2277
"01","11531","-",,367,"G",,17603
"01","11531","C","D",0,"D","D",0
"01","11531","S",,327,"G",,13098
"01","11531","P",,18,"G",,2277
"01","21","-",,693,"G",,37671
"01","21","C",,47,"G",,5232
"01","21","S",,600,"G",,26879
"01","21","P",,46,"H",,5560
"01","211","-",,481,"G",,22195
"01","211","C",,25,"G",,3050
"01","211","S",,430,"G",,15200
"01","211","P",,26,"H",,3945
"01","2111","-",,481,"G",,22195
"01","2111","C",,25,"G",,3050
"01","2111","S",,430,"G",,15200
"01","2111","P",,26,"H",,3945
"01","21111","-",,481,"G",,22195
"01","21111","C",,25,"G",,3050
"01","21111","S",,430,"G",,15200
"01","21111","P",,26,"H",,3945
"01","212","-",,87,"G",,6276
"01","212","C",,17,"H",,1683
"01","212","S",,56,"G",,3695
"01","212","P",,14,"H",,898
"01","2121","-","D",0,"D","D",0
"01","2121","C","D",0,"D","D",0
"01","2121","S",,24,"H",,440
"01","2121","P","D",0,"D","D",0
"01","21211","-","D",0,"D","D",0
"01","21211","C","D",0,"D","D",0
"01","21211","S",,24,"H",,440
"01","21211","P","D",0,"D","D",0
"01","2122","-","D",0,"D","D",0
"01","2122","S","D",0,"D","D",0
"01","2123","-",,52,"G",,5424
"01","2123","C",,14,"H",,1653
"01","2123","S",,27,"G",,3172
"01","2123","P",,11,"G",,599
"01","213","-",,125,"G",,9200
"01","213","C",,5,"H",,499
