b'"ST","NAICS","ESTAB_F","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,282604,,12405371
"01","11",,4536,,244057
"01","113",,1845,,142620
"01","114",,1340,,50534
"01","1141",,1125,,45179
"01","11411",,1125,,45179
"01","1142",,215,,5355
"01","11421",,215,,5355
"01","115",,1351,,50903
"01","1151",,400,,14431
"01","11511",,400,,14431
"01","1152",,522,,14989
"01","11521",,522,,14989
"01","1153",,429,,21483
"01","11531",,429,,21483
"01","21",,644,,66467
"01","211",,500,,41125
"01","2111",,500,,41125
"01","21111",,500,,41125
"01","212",,74,,17840
"01","2121",,26,,8805
"01","21211",,26,,8805
"01","2122",,6,,313
"01","2123",,42,,8722
"01","213",,70,,7502
"01","2131",,70,,7502
"01","21311",,70,,7502
"01","22",,290,,10765
"01","221",,290,,10765
"01","23",,49773,,2804292
"01","236",,11998,,1088232
"01","2361",,10023,,975859
"01","2362",,1975,,112373
"01","237",,1487,,149669
"01","2371",,178,,7443
"01","2372",,595,,100042
"01","23721",,595,,100042
"01","2373",,134,,6728
"01","23731",,134,,6728
"01","2379",,580,,35456
"01","23799",,580,,35456
"01","238",,36288,,1566391
"01","2381",,7464,,365547
"01","2382",,4996,,220875
"01","23821",,2242,,79946
"01","23822",,2420,,127714
"01","23829",,334,,13215
"01","2383",,13160,,520183
"01","2389",,10668,,459786
"01","31-33",,3952,,191079
"01","311",,333,,12344
"01","3111",,19,,426
"01","31111",,19,,426
"01","3112","D",0,"D",0
"01","3113",,13,,93
"01","3114","S",0,"S",0
"01","3115",,15,,129
"01","3116",,66,,2469
"01","31161",,66,,2469
"01","3117",,40,,3414
"01","31171",,40,,3414
"01","3118",,77,,2254
"01","3119",,82,,3347
"01","312",,12,,396
"01","313",,21,,1013
"01","314",,45,,1130
"01","315",,347,,8047
"01","316",,93,,4467
"01","3161",,17,,1106
"01","31611",,17,,1106
"01","3162",,8,,245
"01","31621",,8,,245
"01","3169",,68,,3116
"01","31699",,68,,3116
"01","321",,432,,22082
"01","322",,28,,886
"01","323",,283,,12182
"01","3231",,283,,12182
"01","324",,28,,1290
"01","3241",,28,,1290
"01","325",,112,,4616
"01","3251",,9,,110
"01","3252",,3,,45
"01","3253",,14,,785
"01","3254",,15,,1434
"01","32541",,15,,1434
"01","3255",,26,,982
"01","3256",,26,,315
"01","3259",,19,,945
"01","326",,76,,5991
"01","327",,142,,4685
"01","3271",,25,,800
"01","3272",,29,,1041
"01","32721",,29,,1041
"01","3273",,71,,1565
"01","3274","D",0,"D",0
"01","3279",,16,,1278
"01","331",,53,,3956
