Year,ST,CO,VMT
2016,8,37,599734920
2016,8,39,150143045.4
2016,8,41,3666217022
2016,8,43,174146789.4
2016,8,45,674550773.4
2016,8,47,0
2016,8,49,181197047.4
2016,8,51,85096903.2
2016,8,53,0
2016,8,55,184049834.4
2016,8,57,3326830.2
2016,8,59,3302941490
2016,8,61,30397335.78
2016,8,63,234938803.8
2016,8,65,0
2016,8,67,354547530.6
2016,8,69,1329841822
2016,8,71,170258625
2016,8,73,173255689.2
2016,8,75,178682956.8
2016,8,77,617079879.6
2016,8,79,25792020
2016,8,81,100472987.8
2016,8,83,239607756
2016,8,85,162942760.8
2016,8,87,252669534.7
2016,8,89,90111469.2
2016,8,91,84351544.2
2016,8,93,138271396.2
2016,8,95,9172161.3
2016,8,97,140838996
2016,8,99,111404178
2016,8,101,935277315
2016,8,103,33817119
2016,8,105,98286372
2016,8,107,134472426
2016,8,109,67875175.8
2016,8,111,21055248
2016,8,113,56918197.2
2016,8,115,76033044.96
2016,8,117,349640898
2016,8,119,85091925.6
2016,8,121,102757823.3
2016,8,123,1909234656
2016,8,125,72955530.3
2016,9,1,4557194466
2016,9,3,4858920108
2016,9,5,544537728
2016,9,7,1107327510
2016,9,9,4762075776
2016,9,11,1675977501
2016,9,13,873281490
2016,9,15,440349240
2016,10,1,579728101
2016,10,3,3397748900
2016,10,5,1128843171
2016,11,1,606362785.1
2016,11,2,332032297.6
2016,11,3,182200994.9
2016,11,4,168122580.6
2016,11,5,587964818.6
2016,12,1,1744901733
2016,12,3,247162918.3
2016,12,5,909471905.3
2016,12,7,170986568.3
2016,12,9,3624901065
2016,12,11,10353862855
2016,12,13,50258576.49
2016,12,15,789497570.8
2016,12,17,539198991.8
2016,12,19,657482925.9
2016,12,21,1385768817
2016,12,23,738311295.6
2016,12,27,178083052.4
2016,12,29,85605313.8
2016,12,31,6324214724
2016,12,33,1280417014
2016,12,35,650886400
2016,12,37,84856919.2
2016,12,39,367388911.4
2016,12,41,56875594.8
2016,12,43,94625383.8
2016,12,45,45779558.89
2016,12,47,378622472.2
2016,12,49,192966033.6
2016,12,51,267715216.8
2016,12,53,768251831.9
2016,12,55,483368862.8
2016,12,57,7988609591
2016,12,59,103676527.2
2016,12,61,784512634
2016,12,63,388869136.7
2016,12,65,236577950.9
2016,12,67,44086556.35
2016,12,69,1513641054
2016,12,71,2989494985
2016,12,73,1050296775
2016,12,75,219053303.2
2016,12,77,33730706.4
2016,12,79,313772810.2
2016,12,81,2054663928
2016,12,83,2074026589
2016,12,85,1338290513
2016,12,86,10644718629
2016,12,87,837457535.5
2016,12,89,493696743.8
2016,12,91,1158940234
2016,12,93,273930504
2016,12,95,7376607344
2016,12,97,1849380588
2016,12,99,8225484623
2016,12,101,2182696920
2016,12,103,3696774530
2016,12,105,3372763584
2016,12,107,329084937.7
2016,12,109,1467416458
2016,12,111,1651026749
2016,12,113,629616603.5
2016,12,115,2249652148
2016,12,117,2022376083
2016,12,119,898269943.8
2016,12,121,309931248.5
2016,12,123,147647254.8
2016,12,125,0
2016,12,127,3369306630
2016,12,129,129418386.9
2016,12,131,761797929.2
2016,12,133,250417719
2016,13,1,98473416.3
2016,13,3,66289722.36
2016,13,5,35572498.92
2016,13,7,0
2016,13,9,160308340.4
2016,13,11,184293864.9
2016,13,13,256963293
2016,13,15,1385314886
2016,13,17,10688854.32
2016,13,19,35594144.16
2016,13,21,1060012161
2016,13,23,13553346
2016,13,25,74333534.94
2016,13,27,53359736.58
2016,13,29,477757411.9
2016,13,31,452097918.7
2016,13,33,102107027.7
2016,13,35,156560899.3
2016,13,37,0
2016,13,39,617504706.8
2016,13,43,139882638
2016,13,45,530194147.7
2016,13,47,478991585.9
2016,13,49,46792770.6
2016,13,51,2112887230
2016,13,53,66040944.84
2016,13,55,76456631.4
2016,13,57,933049637.7
2016,13,59,453230306.2
2016,13,61,7203141.69
2016,13,63,1788239720
2016,13,65,59662443.24
2016,13,67,3186354221
