"ST","NAICS","LFO","ESTAB_F","ESTAB","RCPTOT_N_F","RCPTOT_F","RCPTOT"
"01","00","-",,329993,"G",,14091009
"01","00","C",,2170,"G",,296379
"01","00","Z",,10571,"G",,1445496
"01","00","S",,294694,"G",,9447160
"01","00","P",,22558,"G",,2901974
"01","11","-",,4408,"G",,212141
"01","11","C",,30,"G",,4246
"01","11","Z",,146,"G",,27390
"01","11","S",,4052,"G",,151324
"01","11","P",,180,"G",,29181
"01","113","-",,1347,"G",,91523
"01","113","C",,13,"H",,1959
"01","113","Z",,45,"G",,7584
"01","113","S",,1223,"G",,68217
"01","113","P",,66,"G",,13763
"01","114","-",,1296,"G",,63235
"01","114","C",,11,"J",,1517
"01","114","Z",,66,"G",,15519
"01","114","S",,1155,"G",,37971
"01","114","P",,64,"G",,8228
"01","1141","-",,1029,"G",,51502
"01","1141","C",,5,"J",,964
"01","1141","Z",,48,"G",,13922
"01","1141","S",,949,"G",,31297
"01","1141","P",,27,"G",,5319
"01","11411","-",,1029,"G",,51502
"01","11411","C",,5,"J",,964
"01","11411","Z",,48,"G",,13922
"01","11411","S",,949,"G",,31297
"01","11411","P",,27,"G",,5319
"01","1142","-",,267,"G",,11733
"01","1142","C",,6,"G",,553
"01","1142","Z",,18,"G",,1597
"01","1142","S",,206,"H",,6674
"01","1142","P",,37,"G",,2909
"01","11421","-",,267,"G",,11733
"01","11421","C",,6,"G",,553
"01","11421","Z",,18,"G",,1597
"01","11421","S",,206,"H",,6674
"01","11421","P",,37,"G",,2909
"01","115","-",,1765,"G",,57383
"01","115","C",,6,"H",,770
"01","115","Z",,35,"G",,4287
"01","115","S",,1674,"G",,45136
"01","115","P",,50,"G",,7190
"01","1151","-",,666,"G",,15999
"01","1151","C","S",0,"S","S",0
"01","1151","Z",,9,"G",,1896
"01","1151","S",,644,"G",,12315
"01","1151","P",,12,"H",,1731
"01","11511","-",,666,"G",,15999
"01","11511","C","S",0,"S","S",0
"01","11511","Z",,9,"G",,1896
"01","11511","S",,644,"G",,12315
"01","11511","P",,12,"H",,1731
"01","1152","-",,750,"G",,22962
"01","1152","C","S",0,"S","S",0
"01","1152","Z",,4,"G",,223
"01","1152","S",,726,"G",,20940
"01","1152","P",,18,"H",,1650
"01","11521","-",,750,"G",,22962
"01","11521","C","S",0,"S","S",0
"01","11521","Z",,4,"G",,223
"01","11521","S",,726,"G",,20940
"01","11521","P",,18,"H",,1650
"01","1153","-",,349,"G",,18422
"01","1153","C","S",0,"S","S",0
"01","1153","Z",,22,"G",,2168
"01","1153","S",,304,"G",,11881
"01","1153","P",,20,"G",,3809
"01","11531","-",,349,"G",,18422
"01","11531","C","S",0,"S","S",0
"01","11531","Z",,22,"G",,2168
"01","11531","S",,304,"G",,11881
"01","11531","P",,20,"G",,3809
"01","21","-",,439,"G",,23426
"01","21","C",,6,"H",,223
"01","21","Z",,31,"G",,3672
"01","21","S",,359,"G",,15767
