ST,PUMA,YEAR,TMS
42,400,2017,0.00435145708
42,3503,2017,0.00498350448
24,505,2017,0.03309092767
24,1007,2017,0.29469738195
24,601,2017,0.00834710394
36,3201,2005,0.02041740005
36,3705,2005,0.67058934732
36,1100,2005,0.00574860891
36,3804,2005,0.74267428330
36,600,2005,0.00945617278
36,3810,2005,0.51660250520
36,4207,2005,0.08992418157
36,1501,2005,0.00607902736
4,900,2005,0.00075508133
4,117,2005,0.04936408709
5,1800,2005,0.00000000000
5,800,2005,0.00046121916
32,506,2005,0.00799336650
33,500,2005,0.01099343075
34,304,2005,0.09251578947
34,1202,2005,0.01128885632
34,1902,2005,0.09906502984
34,905,2005,0.08988539362
34,2202,2005,0.01880571378
21,1200,2006,0.00118329015
21,400,2006,0.00547974788
22,500,2006,0.00288377829
22,400,2006,0.00831905640
18,300,2007,0.01686969220
47,2202,2007,0.03505071984
20,802,2013,0.00000000000
55,1001,2016,0.00260445164
6,107,2015,0.08031336302
6,8303,2017,0.02179866360
42,2301,2013,0.00508102753
36,2201,2005,0.00000000000
4,114,2006,0.00870591707
4,107,2006,0.02408069878
5,500,2006,0.00000000000
5,1200,2006,0.00683878492
6,5415,2006,0.28859766487
6,5413,2006,0.17237621572
6,2900,2006,0.04568783161
6,2204,2006,0.35511088221
6,6119,2006,0.07697099744
6,6701,2006,0.02205428921
6,4000,2006,0.01189848110
6,6101,2006,0.02731700431
6,1103,2006,0.02393664128
6,7607,2006,0.01822262651
6,2203,2006,0.37321556367
55,2400,2008,0.01086329311
55,2003,2008,0.21256657723
55,1700,2008,0.01147569220
55,100,2009,0.00338474509
55,1500,2009,0.00847941006
55,1100,2009,0.08492013746
48,2800,2008,0.00000000000
48,4611,2008,0.06716778523
48,100,2008,0.00115637451
48,4614,2008,0.00239840766
12,3800,2008,0.00077011398
12,3603,2008,0.05022684310
12,500,2008,0.00328417636
12,2202,2008,0.01040164437
12,3607,2008,0.07777842691
12,2705,2008,0.03356157200
6,6106,2008,0.02187077198
6,3701,2008,0.01901005519
6,2408,2008,0.07292239956
6,3501,2008,0.00771838707
6,3800,2008,0.01097918683
6,6400,2008,0.00887041341
6,7607,2008,0.00875564310
6,7300,2008,0.01537830849
6,5418,2008,0.16989186729
6,3503,2008,0.00134435706
6,7700,2008,0.01874991973
6,2709,2008,0.08332267437
6,6103,2008,0.03093819948
6,2407,2008,0.08375520388
6,2306,2008,0.03540143052
12,200,2011,0.00376744326
12,3607,2011,0.06737256372
12,3509,2011,0.00739381172
12,2206,2011,0.04166666667
12,2604,2011,0.00598960205
41,1302,2011,0.12558004113
41,702,2011,0.02946784363
36,4201,2011,0.24216952752
36,100,2011,0.00102908891
36,4011,2011,0.67568284275
36,3506,2011,0.06871271204
36,4114,2011,0.42371807864
36,3201,2011,0.04136737203
37,2400,2011,0.00116664412
37,4200,2011,0.00285049968
37,1100,2011,0.00861179707
37,1601,2011,0.03564585586
37,201,2011,0.00021139243
37,4000,2011,0.01111412307
37,902,2011,0.01584421612
12,8617,2012,0.03262783068
12,10504,2012,0.00360745685
12,7300,2012,0.00601528429
12,9509,2012,0.00731950572
12,8610,2012,0.05721287735
12,9502,2012,0.01269327051
12,8101,2012,0.00864677907
4,204,2014,0.01251462246
4,205,2014,0.00429729066
5,1800,2014,0.01153029480
53,10200,2014,0.01611440907
53,10501,2014,0.04330271892
45,602,2015,0.00156620864
9,500,2014,0.00969642801
13,3400,2015,0.00273626853
13,1400,2015,0.00782305083
13,2400,2015,0.00292667596
13,100,2015,0.00431597645
13,5002,2015,0.04860383815
9,303,2015,0.01111337806
9,500,2015,0.01322435771
10,104,2015,0.02520128937
48,4901,2014,0.03442951416
48,5905,2014,0.03959973543
48,4608,2014,0.03396882860
48,3000,2014,0.00170977482
48,2800,2014,0.00357319430
48,3303,2014,0.03197703395
48,2309,2014,0.03358038092
48,5800,2014,0.00000000000
48,2501,2014,0.00938689066
48,4634,2014,0.02477190393
48,6702,2014,0.00000000000
48,5912,2014,0.01582748911
48,2507,2014,0.00644893240
49,49002,2014,0.01964362387
49,3001,2014,0.00593899430
51,51165,2014,0.01289215026
51,51084,2014,0.00374386153
51,51020,2014,0.00890634577
51,51044,2014,0.03399667010
51,59309,2014,0.07269447098
36,3206,2015,0.19229766148
36,3312,2015,0.09694797257
36,3204,2015,0.17452939451
36,1101,2015,0.02746234314
36,3803,2015,0.76246167121
17,3208,2016,0.04249356950
17,2200,2016,0.00348639846
17,1900,2016,0.00407558945
17,3307,2016,0.05131549995
34,701,2017,0.37259665019
36,403,2017,0.02333911254
36,2203,2017,0.00768522681
36,3104,2017,0.23261336453
36,3001,2017,0.08231396534
36,2202,2017,0.00153433810
36,2300,2017,0.06255637289
36,2100,2017,0.01991846736
55,2500,2017,0.00452369594
55,70101,2017,0.00000000000
1,1500,2017,0.01039785952
1,1700,2017,0.00000000000
1,900,2017,0.00000000000
4,201,2017,0.00710626703
4,203,2017,0.00803573250
4,101,2017,0.00288980548
4,130,2017,0.00720121867
18,2305,2008,0.03842457432
18,800,2008,0.00743236943
18,2303,2008,0.02489742960
18,2200,2008,0.00922035672
19,1300,2008,0.00461408510
19,1700,2008,0.00136845706
19,400,2008,0.00651251718
26,3100,2008,0.00334425147
26,4104,2008,0.00571984213
26,3708,2008,0.09187996076
48,5800,2008,0.00052472940
12,4010,2011,0.12073494731
41,1307,2011,0.02590348861
36,3105,2015,0.22176589127
17,1001,2016,0.00253951949
44,200,2005,0.03134961440
45,1500,2005,0.00885504377
45,1900,2005,0.00684746779
,9000,2003,0.03860382605
27,1203,2009,0.01284836095
47,400,2010,0.00000000000
47,3202,2010,0.00000000000
47,2201,2010,0.01386987321
47,1200,2010,0.00288251276
47,3103,2010,0.00896895809
27,900,2010,0.01070663812
25,3603,2012,0.19357850114
25,3302,2012,0.33422759809
25,4000,2012,0.06718443933
34,906,2012,0.09490494083
34,800,2012,0.01710857651
35,700,2012,0.01135662898
36,4103,2012,0.36106166334
36,4014,2012,0.42704502770
36,4013,2012,0.51577473343
36,4004,2012,0.68716310641
36,1101,2012,0.03526504039
36,2903,2012,0.07638877619
36,3807,2012,0.47025527192
36,4111,2012,0.52170876333
36,3205,2012,0.18267998050
8,819,2012,0.01440451440
8,900,2012,0.02719815801
