YEAR,True_GDP,True_Fips
2001,322386.0,08063
2001,177150.0,08065
2001,2734470.0,08067
2001,10452837.0,08069
2001,497875.0,08071
2001,176007.0,08073
2001,858370.0,08075
2001,4383942.0,08077
2001,42520.0,08079
2001,1061397.0,08081
2001,1178103.0,08083
2001,1165392.0,08085
2001,1298724.0,08087
2001,577020.0,08089
2001,148516.0,08091
2001,292332.0,08093
2001,220941.0,08095
2001,1776785.0,08097
2001,525131.0,08099
2001,4529852.0,08101
2001,527189.0,08103
2001,347001.0,08105
2001,1954118.0,08107
2001,119320.0,08109
2001,31405.0,08111
2001,581779.0,08113
2001,94839.0,08115
2001,1828874.0,08117
2001,669842.0,08119
2001,153101.0,08121
2001,7583049.0,08123
2001,646181.0,08125
2001,76534461.0,09001
2001,60782562.0,09003
2001,7888930.0,09005
2001,9076512.0,09007
2001,41110134.0,09009
2001,14448566.0,09011
2001,4496480.0,09013
2001,3825215.0,09015
2001,5751642.0,10001
2001,44077958.0,10003
2001,8442121.0,10005
2001,88440708.0,11001
2001,9187851.0,12001
2001,433043.0,12003
2001,5653724.0,12005
2001,569977.0,12007
2001,15344237.0,12009
2001,68642329.0,12011
2001,233089.0,12013
2001,3670506.0,12015
2001,3461238.0,12017
2001,2987606.0,12019
2001,12280974.0,12021
2001,1652079.0,12023
2001,739004.0,12027
2001,198561.0,12029
2001,44141503.0,12031
2001,11899359.0,12033
2001,1272371.0,12035
2001,288367.0,12037
2001,1077639.0,12039
2001,250251.0,12041
2001,201695.0,12043
2001,326446.0,12045
2001,332244.0,12047
2001,714463.0,12049
2001,1273324.0,12051
2001,2601984.0,12053
2001,1868324.0,12055
2001,53201643.0,12057
2001,315523.0,12059
2001,3979474.0,12061
2001,1064828.0,12063
2001,242521.0,12065
2001,149545.0,12067
2001,5706955.0,12069
2001,17209337.0,12071
2001,11976253.0,12073
2001,666008.0,12075
2001,144529.0,12077
2001,387609.0,12079
2001,9291217.0,12081
2001,6554242.0,12083
2001,5633882.0,12085
2001,104686083.0,12086
2001,3620977.0,12087
2001,1699875.0,12089
2001,7416161.0,12091
2001,843979.0,12093
2001,56542234.0,12095
2001,5010399.0,12097
2001,53970692.0,12099
2001,6834477.0,12101
2001,37560043.0,12103
2001,17186506.0,12105
2001,2146478.0,12107
2001,4205395.0,12109
2001,5359675.0,12111
2001,2530837.0,12113
2001,12634385.0,12115
2001,13359958.0,12117
2001,960247.0,12119
2001,890221.0,12121
2001,601158.0,12123
2001,288149.0,12125
2001,12158162.0,12127
2001,536289.0,12129
2001,1282477.0,12131
2001,454373.0,12133
2001,986772.0,13001
2001,148643.0,13003
2001,270530.0,13005
2001,86777.0,13007
2001,1361841.0,13009
2001,284654.0,13011
2001,1110549.0,13013
2001,3702601.0,13015
2001,644053.0,13017
2001,379518.0,13019
2001,8091324.0,13021
2001,301883.0,13023
2001,191570.0,13025
2001,279565.0,13027
2001,436359.0,13029
2001,1539874.0,13031
2001,1253659.0,13033
2001,472955.0,13035
2001,151968.0,13037
2001,1683078.0,13039
2001,206594.0,13043
2001,2873341.0,13045
2001,1228386.0,13047
2001,170114.0,13049
2001,11419024.0,13051
2001,1161864.0,13053
2001,560731.0,13055
2001,3474489.0,13057
2001,5410040.0,13059
2001,77287.0,13061
2001,10804754.0,13063
2001,167083.0,13065
2001,34266929.0,13067
2001,1292567.0,13069
2001,1036369.0,13071
2001,1954759.0,13073
2001,380082.0,13075
2001,2517570.0,13077
2001,145829.0,13079
2001,623365.0,13081
2001,286840.0,13083
2001,464122.0,13085
2001,994966.0,13087
2001,34858845.0,13089
2001,438265.0,13091
2001,336874.0,13093
2001,4536016.0,13095
2001,2714561.0,13097
2001,511617.0,13099
2001,48286.0,13101
2001,753775.0,13103
2001,593033.0,13105
2001,541596.0,13107
2001,398850.0,13109
2001,437048.0,13111
2001,2979507.0,13113
2001,4115087.0,13115
2001,3977012.0,13117
2001,619396.0,13119
2001,102234009.0,13121
2001,716787.0,13123
2001,58745.0,13125
2001,3039167.0,13127
2001,1586757.0,13129
2001,498108.0,13131
2001,418658.0,13133
2001,31164882.0,13135
2001,1257667.0,13137
2001,6201786.0,13139
2001,135861.0,13141
2001,546087.0,13143
2001,430505.0,13145
2001,616730.0,13147
2001,685921.0,13149
2001,3492461.0,13151
2001,4603683.0,13153
2001,211519.0,13155
2001,1427919.0,13157
2001,234769.0,13159
2001,332660.0,13161
2001,489409.0,13163
2001,175958.0,13165
2001,154436.0,13167
2001,302358.0,13169
2001,298436.0,13171
2001,107425.0,13173
2001,1532605.0,13175
2001,390587.0,13177
2001,2314194.0,13179
2001,122870.0,13181
2001,92977.0,13183
2001,3521761.0,13185
2001,560604.0,13187
2001,581916.0,13189
2001,182629.0,13191
2001,408885.0,13193
2001,400907.0,13195
2001,195276.0,13197
2001,473474.0,13199
2001,155871.0,13201
2001,850764.0,13205
2001,1244546.0,13207
2001,146063.0,13209
2001,488695.0,13211
2001,865236.0,13213
2001,8038138.0,13215
2001,1760708.0,13217
2001,613709.0,13219
2001,210649.0,13221
2001,1269069.0,13223
2001,757899.0,13225
2001,669614.0,13227
2001,299934.0,13229
2001,202293.0,13231
2001,920959.0,13233
2001,246298.0,13235
2001,841837.0,13237
2001,36006.0,13239
2001,450933.0,13241
2001,190849.0,13243
2001,9637489.0,13245
2001,3150825.0,13247
2001,106502.0,13249
2001,283406.0,13251
2001,233919.0,13253
2001,1833089.0,13255
2001,814484.0,13257
2001,90791.0,13259
2001,1058717.0,13261
2001,107670.0,13263
2001,23887.0,13265
2001,468899.0,13267
2001,188581.0,13269
2001,271734.0,13271
2001,238846.0,13273
2001,1747935.0,13275
2001,1475768.0,13277
2001,709839.0,13279
2001,246966.0,13281
2001,87172.0,13283
2001,2587009.0,13285
2001,212340.0,13287
2001,349243.0,13289
2001,455723.0,13291
2001,647342.0,13293
2001,1226624.0,13295
2001,1490761.0,13297
2001,1161954.0,13299
2001,135349.0,13301
2001,753052.0,13303
2001,754786.0,13305
2001,44306.0,13307
2001,89971.0,13309
2001,500316.0,13311
2001,4915794.0,13313
2001,148804.0,13315
2001,288752.0,13317
2001,679837.0,13319
2001,329196.0,13321
2001,5081925.0,15001
2001,42312634.0,15003
2001,2393579.0,15007
2001,5878213.0,15901
2001,14346281.0,16001
2001,72373.0,16003
2001,2173173.0,16005
2001,121715.0,16007
2001,247744.0,16009
2001,1061313.0,16011
2001,1152194.0,16013
2001,120990.0,16015
2001,990849.0,16017
2001,2885075.0,16019
2001,235652.0,16021
2001,906325.0,16023
2001,30632.0,16025
2001,3558476.0,16027
2001,851441.0,16029
2001,889871.0,16031
2001,49546.0,16033
2001,277686.0,16035
2001,201029.0,16037
2001,882990.0,16039
2001,228434.0,16041
2001,228339.0,16043
2001,241713.0,16045
2001,678369.0,16047
2001,339305.0,16049
2001,374108.0,16051
2001,766742.0,16053
2001,3456795.0,16055
2001,984061.0,16057
2001,180333.0,16059
2001,90915.0,16061
2001,134112.0,16063
2001,671652.0,16065
2001,616152.0,16067
2001,1578887.0,16069
2001,78094.0,16071
2001,277766.0,16073
2001,443525.0,16075
2001,531297.0,16077
2001,408462.0,16079
2001,145792.0,16081
2001,2222716.0,16083
2001,271284.0,16085
2001,290981.0,16087
2001,2563923.0,17001
2001,187795.0,17003
2001,408444.0,17005
2001,1265194.0,17007
2001,237735.0,17009
2001,1155960.0,17011
2001,86509.0,17013
2001,463637.0,17015
2001,515574.0,17017
2001,8129936.0,17019
2001,1244607.0,17021
2001,317593.0,17023
2001,406864.0,17025
2001,948409.0,17027
2001,2031227.0,17029
2001,319416863.0,17031
2001,1942028.0,17033
2001,222346.0,17035
2001,2879092.0,17037
2001,913304.0,17039
2001,796778.0,17041
2001,66580833.0,17043
2001,639490.0,17045
2001,193156.0,17047
2001,1483698.0,17049
2001,488331.0,17051
2001,473793.0,17053
2001,799059.0,17055
2001,772327.0,17057
2001,228183.0,17059
2001,292825.0,17061
2001,2596630.0,17063
2001,139226.0,17065
2001,460629.0,17067
2001,102413.0,17069
2001,133151.0,17071
2001,1188060.0,17073
2001,810506.0,17075
2001,2258256.0,17077
2001,506539.0,17079
2001,1570130.0,17081
2001,418688.0,17083
2001,695019.0,17085
2001,197206.0,17087
2001,18359834.0,17089
2001,3580152.0,17091
2001,1764190.0,17093
2001,1906852.0,17095
2001,42261693.0,17097
2001,4850964.0,17099
2001,367468.0,17101
2001,1170689.0,17103
2001,1424551.0,17105
2001,766974.0,17107
2001,1045574.0,17109
2001,9035354.0,17111
2001,8680940.0,17113
2001,5571513.0,17115
2001,1179085.0,17117
2001,11426622.0,17119
2001,1213694.0,17121
2001,348043.0,17123
2001,451138.0,17125
2001,878917.0,17127
2001,229269.0,17129
2001,298450.0,17131
2001,627464.0,17133
2001,1102120.0,17135
2001,1370584.0,17137
2001,426265.0,17139
2001,2375666.0,17141
2001,9083816.0,17143
2001,497548.0,17145
2001,369228.0,17147
2001,405879.0,17149
2001,62725.0,17151
2001,157401.0,17153
2001,256960.0,17155
2001,1601995.0,17157
2001,471572.0,17159
2001,8457857.0,17161
2001,8858756.0,17163
2001,1141707.0,17165
2001,9748216.0,17167
2001,196475.0,17169
2001,137591.0,17171
2001,487002.0,17173
2001,153446.0,17175
2001,1675239.0,17177
2001,6138571.0,17179
2001,410931.0,17181
2001,2830502.0,17183
2001,398578.0,17185
2001,519403.0,17187
2001,442517.0,17189
2001,316269.0,17191
2001,485247.0,17193
2001,1698230.0,17195
2001,18674165.0,17197
2001,1947473.0,17199
2001,11865587.0,17201
2001,872065.0,17203
2001,1138734.0,18001
2001,14655134.0,18003
2001,3592314.0,18005
2001,237854.0,18007
2001,327625.0,18009
2001,1400530.0,18011
2001,256307.0,18013
2001,541027.0,18015
2001,1221314.0,18017
2001,3526537.0,18019
2001,532946.0,18021
2001,1260619.0,18023
2001,164555.0,18025
2001,920714.0,18027
2001,1598083.0,18029
2001,1199785.0,18031
2001,1881908.0,18033
2001,4193429.0,18035
2001,2073248.0,18037
2001,7794123.0,18039
2001,750902.0,18041
2001,2153897.0,18043
2001,399072.0,18045
2001,463893.0,18047
2001,551096.0,18049
2001,1696346.0,18051
2001,2035188.0,18053
2001,618322.0,18055
2001,9296340.0,18057
2001,1523075.0,18059
2001,981639.0,18061
2001,2945290.0,18063
2001,1144279.0,18065
2001,3365603.0,18067
2001,1043607.0,18069
