b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,229687,,9179624
"01","11",,4550,,205503
"01","113",,1825,,106337
"01","114",,1536,,55289
"01","1141",,1352,,52276
"01","11411",,1352,,52276
"01","1142",,184,,3013
"01","11421",,184,,3013
"01","115",,1189,,43877
"01","1151",,377,,13412
"01","11511",,377,,13412
"01","1152",,465,,14263
"01","11521",,465,,14263
"01","1153",,347,,16202
"01","11531",,347,,16202
"01","21",,505,,52990
"01","211",,379,,37501
"01","2111",,379,,37501
"01","21111",,379,,37501
"01","212",,74,,5100
"01","2121",,27,,2265
"01","21211",,27,,2265
"01","2122","S",0,"S",0
"01","2123",,37,,2662
"01","213",,52,,10389
"01","2131",,52,,10389
"01","21311",,52,,10389
"01","22",,172,,6032
"01","221",,172,,6032
"01","23",,38957,,1808792
"01","233",,9218,,725275
"01","2331",,1050,,113343
"01","23311",,1050,,113343
"01","2332",,6800,,540849
"01","2333",,1368,,71083
"01","234",,1130,,56475
"01","2341",,143,,7866
"01","2349",,987,,48609
"01","235",,28609,,1027042
"01","2351",,2142,,96754
"01","23511",,2142,,96754
"01","2352",,4071,,104132
"01","23521",,4071,,104132
"01","2353",,1777,,53853
"01","23531",,1777,,53853
"01","2354",,3219,,134756
"01","2355",,6864,,224785
"01","2356",,2010,,94424
"01","23561",,2010,,94424
"01","2357",,855,,34950
"01","23571",,855,,34950
"01","2358",,67,,3202
"01","23581",,67,,3202
"01","2359",,7604,,280186
"01","31-33",,3888,,177169
"01","311",,265,,8101
"01","3111",,17,,327
"01","31111",,17,,327
"01","3112",,6,,73
"01","3113",,12,,176
"01","3114",,12,,196
"01","3115",,10,,66
"01","3116",,62,,1568
"01","31161",,62,,1568
"01","3117",,39,,2711
"01","31171",,39,,2711
"01","3118",,46,,1195
"01","3119",,61,,1789
"01","312","D",0,"D",0
"01","313",,40,,1151
"01","314",,79,,2857
"01","315",,349,,8216
"01","316",,99,,4639
"01","3161","D",0,"D",0
"01","31611","D",0,"D",0
"01","3162","D",0,"D",0
"01","31621","D",0,"D",0
"01","3169",,71,,3715
"01","31699",,71,,3715
"01","321",,508,,27896
"01","322",,28,,701
"01","323",,260,,13746
"01","3231",,260,,13746
"01","324","D",0,"D",0
"01","3241","D",0,"D",0
"01","325",,97,,3628
"01","3251","D",0,"D",0
"01","3252","D",0,"D",0
"01","3253",,13,,916
"01","3254",,12,,208
"01","32541",,12,,208
"01","3255",,18,,1026
"01","3256",,19,,286
"01","3259",,22,,897
"01","326",,59,,5310
"01","327",,162,,7584
"01","3271",,44,,1320
"01","3272",,36,,880
"01","32721",,36,,880
"01","3273",,56,,3405
"01","3274","D",0,"D",0
"01","3279","D",0,"D",0
"01","331",,56,,4611
"01","332",,493,,30631
"01","333",,209,,10172
"01","334",,64,,1977
"01","335",,93,,2972
"01","336",,97,,6545
"01","337",,232,,9640
"01","339",,676,,25033
"01","3391",,48,,2365
"01","33911",,48,,2365
"01","3399",,628,,22668
"01","42",,5173,,371142
"01","421",,3007,,229900
"01","4211",,382,,52755
"01","4212",,284,,15492
"01","4213",,172,,20815
"01","4214",,167,,15039
"01","4215",,57,,5876
"01","4216",,89,,6256
"01","4217",,99,,5828
"01","4218",,335,,35459
"01","4219",,1422,,72380
"01","42191",,150,,8610
"01","42192",,110,,4376
"01","42193",,114,,11453
"01","42194",,160,,4216
"01","42199",,888,,43725
"01","422",,2166,,141242
