,UZA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CountyFIPS,UZA_CODE
14,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36085.0,1.0
15,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36087.0,1.0
16,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36103.0,1.0
17,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36119.0,1.0
18,2.0,49248056.0,388176431.0,307785966.0,378244985.0,265979835.0,252981676.0,304023744.0,202573501.0,319972989.0,356949253.0,458936817.0,418819286.0,467759158.0,752301520.0,517936781.0,709754021.0,737472767.0,877648438.0,893748681.0,1019114415.0,1102551308.0,1070049370.0,1635023113.0,2148770997.0,1903841466.0,1664467006.0,1926610270.0,1923264379.0,2463737243.0,2283890679.0,2045564243.0,6059.0,2.0
19,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17031.0,3.0
20,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17037.0,3.0
21,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17043.0,3.0
22,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17089.0,3.0
23,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17093.0,3.0
24,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17097.0,3.0
25,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,17111.0,3.0
26,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,18089.0,3.0
27,3.0,608384359.0,477896112.0,493391654.0,573527448.0,542277120.0,372236738.0,312931760.0,376669239.0,521137063.0,742677427.0,891982103.0,1059136933.0,962814246.0,772363010.0,920549390.0,887762991.0,1179190240.0,855767578.0,546062845.0,620144688.0,740913843.0,965423231.0,814298975.0,792477925.0,761883791.0,780331365.0,742424045.0,813007979.0,1007165420.0,1054500699.0,1333827002.0,18127.0,3.0
28,4.0,130240879.0,65729405.0,44589262.0,119538240.0,100397746.0,84847714.0,60412690.0,77991161.0,112298367.0,117507484.0,134184899.0,156733485.0,244689005.0,199105183.0,255977305.0,263158878.0,236616784.0,218672081.0,192773332.0,139488937.0,123705073.0,146409952.0,118741111.0,196383870.0,198044230.0,167986437.0,267920266.0,286769891.0,333753600.0,309523931.0,347280943.0,12011.0,4.0
29,4.0,130240879.0,65729405.0,44589262.0,119538240.0,100397746.0,84847714.0,60412690.0,77991161.0,112298367.0,117507484.0,134184899.0,156733485.0,244689005.0,199105183.0,255977305.0,263158878.0,236616784.0,218672081.0,192773332.0,139488937.0,123705073.0,146409952.0,118741111.0,196383870.0,198044230.0,167986437.0,267920266.0,286769891.0,333753600.0,309523931.0,347280943.0,12086.0,4.0
30,5.0,249479942.0,257457600.0,240377743.0,272981452.0,262978176.0,334185901.0,291215113.0,299919419.0,333442448.0,309641489.0,397276213.0,386535597.0,379857763.0,352162696.0,371853221.0,388107431.0,472969195.0,513434082.0,464933121.0,445857748.0,369804991.0,348874339.0,335709707.0,526596628.0,607858506.0,612997075.0,739365080.0,732331357.0,593828690.0,626352934.0,493921663.0,34015.0,5.0
31,5.0,249479942.0,257457600.0,240377743.0,272981452.0,262978176.0,334185901.0,291215113.0,299919419.0,333442448.0,309641489.0,397276213.0,386535597.0,379857763.0,352162696.0,371853221.0,388107431.0,472969195.0,513434082.0,464933121.0,445857748.0,369804991.0,348874339.0,335709707.0,526596628.0,607858506.0,612997075.0,739365080.0,732331357.0,593828690.0,626352934.0,493921663.0,34033.0,5.0
32,5.0,249479942.0,257457600.0,240377743.0,272981452.0,262978176.0,334185901.0,291215113.0,299919419.0,333442448.0,309641489.0,397276213.0,386535597.0,379857763.0,352162696.0,371853221.0,388107431.0,472969195.0,513434082.0,464933121.0,445857748.0,369804991.0,348874339.0,335709707.0,526596628.0,607858506.0,612997075.0,739365080.0,732331357.0,593828690.0,626352934.0,493921663.0,42045.0,5.0
33,5.0,249479942.0,257457600.0,240377743.0,272981452.0,262978176.0,334185901.0,291215113.0,299919419.0,333442448.0,309641489.0,397276213.0,386535597.0,379857763.0,352162696.0,371853221.0,388107431.0,472969195.0,513434082.0,464933121.0,445857748.0,369804991.0,348874339.0,335709707.0,526596628.0,607858506.0,612997075.0,739365080.0,732331357.0,593828690.0,626352934.0,493921663.0,42091.0,5.0
34,5.0,249479942.0,257457600.0,240377743.0,272981452.0,262978176.0,334185901.0,291215113.0,299919419.0,333442448.0,309641489.0,397276213.0,386535597.0,379857763.0,352162696.0,371853221.0,388107431.0,472969195.0,513434082.0,464933121.0,445857748.0,369804991.0,348874339.0,335709707.0,526596628.0,607858506.0,612997075.0,739365080.0,732331357.0,593828690.0,626352934.0,493921663.0,42101.0,5.0
