CountyFIPS,1FTA_UZA_Code,1FTA_UZA_Desc,2FTA_UZA_Code,2FTA_UZA_Desc,3FTA_UZA_Code,3FTA_UZA_Desc,4FTA_UZA_Code,4FTA_UZA_Desc
47105,74,"Knoxville, TN",,,,,,
47109,385,"Jackson, TN",,,,,,
47125,208,"Clarksville, TN-KY",,,,,,
47129,74,"Knoxville, TN",,,,,,
47147,44,"Nashville-Davidson, TN",,,,,,
47149,241,"Murfreesboro, TN",,,,,,
47153,100,"Chattanooga, TN-GA",,,,,,
47155,74,"Knoxville, TN",,,,,,
47163,397,"Bristol-Bristol, TN-VA",,,,,,
47165,44,"Nashville-Davidson, TN",,,,,,
47179,259,"Johnson City, TN",,,,,,
48009,301,"Wichita Falls, TX",,,,,,
48021,479,"San Marcos, TX",323,"Temple, TX",,,,
48039,302,"Longview, TX",293,"Texas City, TX",,,,
48041,197,"College Station-Bryan, TX",,,,,,
48051,365,"Texarkana-Texarkana, TX-AR",,,,,,
48055,37,"Austin, TX",,,,,,
48061,164,"Brownsville, TX",,,,,,
48071,7,"Houston, TX",,,,,,
48079,155,"Lubbock, TX",,,,,,
48085,104,"Denton-Lewisville, TX",198,"McKinney, TX",,,,
48113,6,"Dallas-Fort Worth-Arlington, TX",,,,,,
48135,252,"Odessa, TX",,,,,,
48139,6,"Dallas-Fort Worth-Arlington, TX",,,,,,
48141,53,"El Paso, TX-NM",,,,,,
48157,7,"Houston, TX",,,,,,
48167,602,"Galveston, TX",,,,,,
48187,26,"San Antonio, TX",,,,,,
48189,215,"Port Arthur, TX",,,,,,
48199,222,"Beaumont, TX",,,,,,
48201,7,"Houston, TX",,,,,,
48209,37,"Austin, TX",,,,,,
48215,57,"McAllen, TX",,,,,,
48245,222,"Beaumont, TX",,,,,,
48257,6,"Dallas-Fort Worth-Arlington, TX",,,,,,
48281,163,"Killeen, TX",,,,,,
48303,282,"Abilene, TX",,,,,,
48339,154,"Conroe-The Woodlands, TX",,,,,,
48361,222,"Beaumont, TX",,,,,,
48375,182,"Amarillo, TX",,,,,,
48381,182,"Amarillo, TX",,,,,,
48397,6,"Dallas-Fort Worth-Arlington, TX",,,,,,
48409,116,"Corpus Christi, TX",247,"Tyler, TX",,,,
48439,6,"Dallas-Fort Worth-Arlington, TX",,,,,,
48451,315,"San Angelo, TX",,,,,,
48453,37,"Austin, TX",,,,,,
48479,157,"Laredo, TX",,,,,,
48491,37,"Austin, TX",,,,,,
49005,311,"Logan, UT",,,,,,
49035,42,"Salt Lake City-West Valley City, UT",,,,,,
49049,305,"St. George, UT",,,,,,
50007,285,"Burlington, VT",,,,,,
51003,317,"Charlottesville, VA",,,,,,
51009,271,"Lynchburg, VA",,,,,,
51013,8,"Washington, DC-VA-MD",,,,,,
51041,45,"Richmond, VA",,,,,,
51053,45,"Richmond, VA",,,,,,
51059,8,"Washington, DC-VA-MD",,,,,,
51069,398,"Winchester, VA",,,,,,
51075,45,"Richmond, VA",,,,,,
51085,45,"Richmond, VA",,,,,,
51087,45,"Richmond, VA",,,,,,
51095,34,"Virginia Beach, VA",,,,,,
51121,328,"Blacksburg, VA",,,,,,
51145,45,"Richmond, VA",,,,,,
51149,45,"Richmond, VA",,,,,,
51153,8,"Washington, DC-VA-MD",,,,,,
51155,328,"Blacksburg, VA",,,,,,
51161,172,"Roanoke, VA",,,,,,
51169,291,"Kingsport, TN-VA",,,,,,
51177,231,"Fredericksburg, VA",,,,,,
51179,231,"Fredericksburg, VA",,,,,,
51191,397,"Bristol-Bristol, TN-VA",,,,,,
51199,34,"Virginia Beach, VA",,,,,,
51510,8,"Washington, DC-VA-MD",,,,,,
51520,397,"Bristol-Bristol, TN-VA",,,,,,
51540,317,"Charlottesville, VA",,,,,,
51550,34,"Virginia Beach, VA",,,,,,
51570,45,"Richmond, VA",,,,,,
51600,8,"Washington, DC-VA-MD",,,,,,
51610,8,"Washington, DC-VA-MD",,,,,,
51630,231,"Fredericksburg, VA",,,,,,
51650,34,"Virginia Beach, VA",,,,,,
51660,413,"Harrisonburg, VA",,,,,,
51670,45,"Richmond, VA",,,,,,
51680,271,"Lynchburg, VA",,,,,,
51683,8,"Washington, DC-VA-MD",,,,,,
51685,8,"Washington, DC-VA-MD",,,,,,
51700,34,"Virginia Beach, VA",,,,,,
51710,34,"Virginia Beach, VA",,,,,,
51730,45,"Richmond, VA",,,,,,
51735,34,"Virginia Beach, VA",,,,,,
51740,34,"Virginia Beach, VA",,,,,,
51750,328,"Blacksburg, VA",,,,,,
51760,45,"Richmond, VA",,,,,,
51770,172,"Roanoke, VA",,,,,,
51775,172,"Roanoke, VA",,,,,,
51790,461,"Staunton-Waynesboro, VA",,,,,,
51800,34,"Virginia Beach, VA",,,,,,
51810,34,"Virginia Beach, VA",,,,,,
51820,461,"Staunton-Waynesboro, VA",,,,,,
51830,371,"Williamsburg, VA",,,,,,
51840,398,"Winchester, VA",,,,,,
53003,483,"Lewiston, ID-WA",,,,,,
53017,412,"Wenatchee, WA",,,,,,
53033,14,"Seattle, WA",,,,,,
53035,180,"Bremerton, WA",,,,,,
53057,435,"Mount Vernon, WA",,,,,,
53063,96,"Spokane, WA",,,,,,
53067,195,"Olympia-Lacey, WA",,,,,,
53071,171,"Kennewick-Pasco, WA",,,,,,
53073,275,"Bellingham, WA",,,,,,
54003,189,"Hagerstown, MD-WV-PA",,,,,,
54009,389,"Weirton-Steubenville, WV-OH-PA",,,,,,
54011,178,"Huntington, WV-KY-OH",,,,,,
54019,430,"Beckley, WV",,,,,,
54039,214,"Charleston, WV",,,,,,
54051,353,"Wheeling, WV-OH",,,,,,
54057,484,"Cumberland, MD-WV-PA",,,,,,
54069,353,"Wheeling, WV-OH",,,,,,
54073,393,"Morgantown, WV",,,,,,
54077,411,"Parkersburg, WV-OH",,,,,,
54079,214,"Charleston, WV",,,,,,
54081,430,"Beckley, WV",,,,,,
54099,178,"Huntington, WV-KY-OH",,,,,,
55009,176,"Green Bay, WI",,,,,,
55015,165,"Appleton, WI",,,,,,
55025,92,"Madison, WI",,,,,,
55031,260,"Duluth, MN-WI",,,,,,
55035,297,"Eau Claire, WI",,,,,,
55039,468,"Fond du Lac, WI",,,,,,
55059,256,"Kenosha, WI-IL",,,,,,
55063,298,"La Crosse, WI-MN",,,,,,
55071,388,"Sheboygan, WI",,,,,,
55079,35,"Milwaukee, WI",,,,,,
55083,176,"Green Bay, WI",,,,,,
55087,165,"Appleton, WI",,,,,,
55089,35,"Milwaukee, WI",376,"Oshkosh, WI",,,,
55101,239,"Racine, WI",,,,,,
55105,432,"Beloit, WI-IL",,,,,,
55111,396,"Janesville, WI",,,,,,
55123,298,"La Crosse, WI-MN",,,,,,
55131,35,"Milwaukee, WI",,,,,,
55133,35,"Milwaukee, WI",,,,,,
55139,165,"Appleton, WI",,,,,,
56021,377,"Cheyenne, WY",,,,,,
56025,424,"Casper, WY",,,,,,
72013,232,"Arecibo, PR",,,,,,
72015,358,"Guayama, PR",,,,,,
72017,232,"Arecibo, PR",,,,,,
72023,284,"Mayagüez, PR",,,,,,
72053,339,"Fajardo, PR",,,,,,
72054,387,"Florida-Imbéry-Barceloneta, PR",,,,,,
72057,358,"Guayama, PR",,,,,,
72059,218,"Ponce, PR",,,,,,
72067,284,"Mayagüez, PR",,,,,,
72089,339,"Fajardo, PR",,,,,,
72091,387,"Florida-Imbéry-Barceloneta, PR",,,,,,
72097,284,"Mayagüez, PR",,,,,,
72103,339,"Fajardo, PR",,,,,,
72109,358,"Guayama, PR",,,,,,
72111,218,"Ponce, PR",,,,,,
72125,284,"Mayagüez, PR",,,,,,
