CountyFIPS,1FTA_UZA_Code,1FTA_UZA_Desc,2FTA_UZA_Code,2FTA_UZA_Desc,3FTA_UZA_Code,3FTA_UZA_Desc,4FTA_UZA_Code,4FTA_UZA_Desc
23031,331,"Dover-Rochester, NH-ME",,,,,,
24001,484,"Cumberland, MD-WV-PA",,,,,,
24003,19,"Baltimore, MD",,,,,,
24005,169,"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,
24013,19,"Baltimore, MD",,,,,,
24015,169,"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,
24021,230,"Frederick, MD",,,,,,
24025,169,"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,
24027,19,"Baltimore, MD",,,,,,
24031,19,"Baltimore, MD",,,,,,
24033,19,"Baltimore, MD",,,,,,
24035,19,"Baltimore, MD",,,,,,
24043,189,"Hagerstown, MD-WV-PA",,,,,,
24045,307,"Salisbury, MD-DE",,,,,,
24047,451,"Lexington Park-California-Chesapeake Ranch Estates, MD",,,,,,
24510,19,"Baltimore, MD",,,,,,
25001,152,"Barnstable Town, MA",,,,,,
25003,448,"Pittsfield, MA",,,,,,
25005,10,"Boston, MA-NH-RI",219,"New Bedford, MA",,,,
25009,10,"Boston, MA-NH-RI",,,,,,
25013,65,"Springfield, MA-CT",,,,,,
25017,10,"Boston, MA-NH-RI",160,"Nashua, NH-MA",,,,
25021,10,"Boston, MA-NH-RI",,,,,,
25023,152,"Barnstable Town, MA",,,,,,
25025,10,"Boston, MA-NH-RI",,,,,,
