YEAR,STATE_CODE,COUNTY_CODE,FIPS_CODE,Capital Funding
2005,19.0,169.0,19169.0,706714.074074074
2005,20.0,35.0,20035.0,65991.0
2005,20.0,43.0,20043.0,855941.3500227582
2005,20.0,77.0,20077.0,1238714.0
2005,20.0,209.0,20209.0,31908090.0
2005,21.0,15.0,21015.0,14628946.622714885
2005,21.0,29.0,21029.0,2417111.2708410523
2005,21.0,47.0,21047.0,1420518.9411764706
2005,21.0,59.0,21059.0,0.0
2005,21.0,67.0,21067.0,4137484.627137579
2005,21.0,93.0,21093.0,0.0
2005,21.0,101.0,21101.0,28327.77445783918
2005,21.0,111.0,21111.0,47293210.596517235
2005,21.0,113.0,21113.0,427701.37286242103
2005,21.0,117.0,21117.0,45414503.44534716
2005,21.0,163.0,21163.0,0.0
2005,21.0,185.0,21185.0,1937029.7641101643
2005,21.0,211.0,21211.0,1228932.182289737
2005,21.0,227.0,21227.0,0.0
2005,22.0,5.0,22005.0,938405.1261799862
2005,22.0,17.0,22017.0,2438341.0
2005,22.0,33.0,22033.0,5081709.589151816
2005,22.0,43.0,22043.0,839.6992562186226
2005,22.0,53.0,22053.0,90131.0
2005,22.0,55.0,22055.0,1229303.0
2005,22.0,63.0,22063.0,1196345.2846681983
2005,22.0,71.0,22071.0,2405063.9541100548
2005,22.0,79.0,22079.0,5690.300743781378
2005,22.0,87.0,22087.0,966948.045889945
2005,22.0,109.0,22109.0,0.0
2005,23.0,1.0,23001.0,219332.0
2005,23.0,5.0,23005.0,2977717.0
2005,23.0,19.0,23019.0,422371.0
2005,23.0,27.0,23027.0,0.0
2005,23.0,31.0,23031.0,284875.62762944
2005,24.0,1.0,24001.0,0.0
2005,24.0,3.0,24003.0,67312616.7055765
2005,24.0,5.0,24005.0,133695.9075491143
2005,24.0,13.0,24013.0,17110467.166465588
2005,24.0,15.0,24015.0,5513.201536925986
2005,24.0,25.0,24025.0,17135.890913959738
2005,24.0,27.0,24027.0,29898937.874487706
2005,24.0,31.0,24031.0,258632712.51872322
2005,24.0,33.0,24033.0,258193774.9380613
2005,24.0,35.0,24035.0,19609981.832433943
2005,24.0,43.0,24043.0,226341.139850728
2005,24.0,45.0,24045.0,0.0
2005,24.0,510.0,24510.0,895536972.9642518
2005,25.0,1.0,25001.0,1484902.4736620924
2005,25.0,3.0,25003.0,1502336.0
2005,25.0,5.0,25005.0,372361231.6348013
2005,25.0,9.0,25009.0,73197786.80647624
2005,25.0,13.0,25013.0,3658162.0
2005,25.0,17.0,25017.0,320623010.4145924
2005,25.0,21.0,25021.0,190754507.4755087
2005,25.0,23.0,25023.0,1001597.5263379078
2005,25.0,25.0,25025.0,3031957920.3013954
2005,25.0,27.0,25027.0,10643793.0
2005,26.0,21.0,26021.0,11298985.52282831
2005,26.0,37.0,26037.0,2651305.0
2005,26.0,93.0,26093.0,32723444.757339638
2005,26.0,115.0,26115.0,25987399.35900549
2005,26.0,121.0,26121.0,234819.0
2005,26.0,147.0,26147.0,18046079.05142853
2005,26.0,151.0,26151.0,2342244.0
2005,27.0,19.0,27019.0,6268123.142516818
2005,27.0,27.0,27027.0,1206600.0127979429
2005,27.0,53.0,27053.0,76844222.0569106
2005,27.0,61.0,27061.0,10922112.0
2005,27.0,95.0,27095.0,2845880.0
2005,27.0,123.0,27123.0,99151162.80057257
2005,28.0,33.0,28033.0,4438783.8027199
2005,28.0,47.0,28047.0,1335760.0
2005,28.0,49.0,28049.0,0.0
2005,28.0,121.0,28121.0,0.0
2005,29.0,3.0,29003.0,1766796.6499772416
2005,29.0,19.0,29019.0,195794.0
2005,29.0,51.0,29051.0,2032275.0
2005,29.0,119.0,29119.0,124893.01451208537
2005,29.0,189.0,29189.0,628897701.0
2005,30.0,13.0,30013.0,221179.0
2005,30.0,89.0,30089.0,102464.0
2005,30.0,111.0,30111.0,1545814.0
2005,31.0,43.0,31043.0,3220594.901349269
2005,31.0,55.0,31055.0,735681.8866744684
2005,31.0,109.0,31109.0,194918.0
2005,31.0,153.0,31153.0,49788.11332553157
2005,32.0,5.0,32005.0,0.0
2005,33.0,11.0,33011.0,223817903.86969432
2005,33.0,15.0,33015.0,53289308.44282337
2005,33.0,17.0,33017.0,180166.37237055998
2005,34.0,1.0,34001.0,0.0
2005,34.0,3.0,34003.0,716755733.843237
2005,34.0,13.0,34013.0,2808910981.068889
2005,34.0,15.0,34015.0,284768748.30991125
2005,34.0,17.0,34017.0,2597465176.588387
2005,34.0,19.0,34019.0,2331648.0132012386
2005,34.0,21.0,34021.0,456899353.31477326
2005,34.0,23.0,34023.0,562313729.2882063
2005,34.0,35.0,34035.0,127243006.25422557
2005,34.0,37.0,34037.0,0.0
2005,34.0,39.0,34039.0,590753183.1111745
2005,34.0,41.0,34041.0,3819987.097198445
2005,35.0,1.0,35001.0,39012304.0
2005,35.0,49.0,35049.0,10561554.0
2005,36.0,5.0,36005.0,10082149414.58014
2005,36.0,7.0,36007.0,922779.7662797909
2005,36.0,15.0,36015.0,0.0
2005,36.0,47.0,36047.0,21998139797.986984
2005,36.0,55.0,36055.0,10221685.0
2005,36.0,59.0,36059.0,184038299.57742196
2005,36.0,61.0,36061.0,17664822229.95873
2005,36.0,79.0,36079.0,167814.832680272
2005,36.0,81.0,36081.0,14722933781.868479
2005,36.0,83.0,36083.0,2037486.3444999207
2005,36.0,85.0,36085.0,1190345141.0223343
2005,36.0,93.0,36093.0,3400825.655500079
2005,36.0,103.0,36103.0,371227483.1902357
2005,36.0,107.0,36107.0,110618.47213608577
2005,36.0,109.0,36109.0,1132371.0
2005,36.0,115.0,36115.0,230364.0
2005,36.0,119.0,36119.0,130608747.34678373
2005,37.0,3.0,37003.0,0.0
2005,37.0,23.0,37023.0,0.0
2005,37.0,25.0,37025.0,306912907.82815886
2005,37.0,27.0,37027.0,0.0
2005,37.0,37.0,37037.0,82065597.0
2005,37.0,87.0,37087.0,237671.148885631
2005,37.0,89.0,37089.0,400167.5150778481
2005,37.0,97.0,37097.0,343980250.88408065
2005,37.0,111.0,37111.0,69947.52166570787
2005,37.0,115.0,37115.0,89126.68083211166
2005,37.0,129.0,37129.0,595541.0
2005,37.0,175.0,37175.0,103747.13353870137
2005,38.0,15.0,38015.0,769484.1666666666
2005,38.0,17.0,38017.0,2050797.9872020574
2005,38.0,35.0,38035.0,362147.0
2005,38.0,59.0,38059.0,202495.83333333334
2005,39.0,11.0,39011.0,0.0
2005,39.0,35.0,39035.0,146229072.91364187
2005,39.0,41.0,39041.0,31682087.755722426
2005,39.0,49.0,39049.0,13192482.806002311
2005,39.0,85.0,39085.0,33946214.08635812
2005,39.0,89.0,39089.0,7796566.7663408555
2005,39.0,95.0,39095.0,3632379.8322263435
2005,39.0,97.0,39097.0,1038642.3665096761
2005,39.0,103.0,39103.0,4197359.272481299
2005,39.0,113.0,39113.0,10914602.0
2005,39.0,133.0,39133.0,4565093.757026439
2005,39.0,151.0,39151.0,11758400.69433029
2005,39.0,159.0,39159.0,865535.3054247301
2005,39.0,169.0,39169.0,6104571.276161972
2005,40.0,25.0,40025.0,681534.0
2005,40.0,27.0,40027.0,78218.0
2005,40.0,79.0,40079.0,109852.11512742063
2005,40.0,135.0,40135.0,131435.47533114706
2005,40.0,145.0,40145.0,7074302.0
2005,41.0,9.0,41009.0,0.0
2005,41.0,17.0,41017.0,0.0
2005,41.0,51.0,41051.0,88872610.0
2005,42.0,3.0,42003.0,144698868.0
2005,42.0,17.0,42017.0,22313917.47544854
2005,42.0,25.0,42025.0,1803036.0122371032
2005,42.0,27.0,42027.0,1073470.0
2005,42.0,45.0,42045.0,922098624.338703
2005,42.0,77.0,42077.0,7545565.115924921
2005,42.0,89.0,42089.0,4706854.285989753
2005,42.0,91.0,42091.0,246275578.91484463
2005,42.0,101.0,42101.0,307670528.43654114
2005,42.0,115.0,42115.0,208940.76158412333
2005,42.0,129.0,42129.0,378202.0
2005,44.0,1.0,44001.0,6791350.5
2005,44.0,5.0,44005.0,14242829.95142046
2005,45.0,3.0,45003.0,1961934.2465767951
2005,45.0,31.0,45031.0,2039747.9183673467
2005,45.0,37.0,45037.0,356715.3175594173
2005,45.0,41.0,45041.0,4206980.081632653
2005,45.0,57.0,45057.0,125663129.2877606
2005,45.0,71.0,45071.0,509115.0
2005,45.0,83.0,45083.0,919395.0
2005,45.0,85.0,45085.0,2702058.0
2005,46.0,103.0,46103.0,933881.0
2005,46.0,127.0,46127.0,1599271.098650731
2005,47.0,9.0,47009.0,4806298.5705369245
2005,47.0,11.0,47011.0,0.0
2005,47.0,19.0,47019.0,1182960.0
2005,47.0,63.0,47063.0,0.0
2005,47.0,73.0,47073.0,0.0
2005,47.0,105.0,47105.0,6957511.939594148
2005,47.0,109.0,47109.0,1179706.0
2005,47.0,125.0,47125.0,1910353.0588235292
2005,47.0,129.0,47129.0,1583914.00843368
2005,47.0,147.0,47147.0,50795484.0
2005,47.0,153.0,47153.0,659486.7710742063
2005,47.0,155.0,47155.0,4134055.481435248
2005,48.0,21.0,48021.0,0.0
2005,48.0,39.0,48039.0,88842.0
2005,48.0,55.0,48055.0,8723675.942061814
2005,48.0,61.0,48061.0,1973183.0
2005,48.0,71.0,48071.0,8671797.365344701
2005,48.0,79.0,48079.0,3275858.0
2005,48.0,113.0,48113.0,461174714.58448344
2005,48.0,135.0,48135.0,0.0
2005,48.0,139.0,48139.0,21702339.509858046
2005,48.0,157.0,48157.0,22578628.309037797
2005,48.0,167.0,48167.0,2250963.0
2005,48.0,187.0,48187.0,12636869.0
2005,48.0,189.0,48189.0,79313.0
2005,48.0,199.0,48199.0,0.0
2005,48.0,201.0,48201.0,525829159.32561755
2005,48.0,257.0,48257.0,25233125.533615932
2005,48.0,281.0,48281.0,203130.0
2005,48.0,303.0,48303.0,394003.0
2005,48.0,339.0,48339.0,0.0
2005,48.0,361.0,48361.0,0.0
2005,48.0,375.0,48375.0,260741.95804195802
2005,48.0,381.0,48381.0,177918.04195804195
2005,48.0,397.0,48397.0,5028582.621204653
2005,48.0,409.0,48409.0,740427.0
2005,48.0,439.0,48439.0,206614502.75083795
2005,48.0,451.0,48451.0,0.0
2005,48.0,453.0,48453.0,166585494.90357104
2005,48.0,479.0,48479.0,514726.0
2005,48.0,491.0,48491.0,28235713.154367156
2005,50.0,7.0,50007.0,1365840.0
2005,54.0,3.0,54003.0,153044.860149272
2005,54.0,11.0,54011.0,41722963.375
2005,54.0,39.0,54039.0,705799.8628885747
2005,54.0,51.0,54051.0,85685.33333333333
2005,54.0,57.0,54057.0,0.0
2005,54.0,69.0,54069.0,171370.66666666666
2005,54.0,73.0,54073.0,0.0
2005,54.0,77.0,54077.0,0.0
2005,54.0,79.0,54079.0,115410.13711142527
2005,54.0,99.0,54099.0,15825951.625
2005,55.0,9.0,55009.0,0.0
2005,55.0,31.0,55031.0,1385704.0
2005,55.0,63.0,55063.0,1631774.6360498273
2005,55.0,83.0,55083.0,0.0
2005,55.0,87.0,55087.0,3696111.0
2005,55.0,105.0,55105.0,224690.0
2005,55.0,111.0,55111.0,118328.0
2005,55.0,123.0,55123.0,839251.3639501727
2005,56.0,21.0,56021.0,100505.0
2005,56.0,25.0,56025.0,0.0
2006,1.0,1.0,1001.0,4116340.854133505
2006,1.0,3.0,1003.0,3790480.0
2006,1.0,9.0,1009.0,1450872.5149275223
2006,1.0,33.0,1033.0,301116.0
2006,1.0,51.0,1051.0,5145426.067666882
2006,1.0,57.0,1057.0,0.0
2006,1.0,79.0,1079.0,88654.0
2006,1.0,81.0,1081.0,23895.0
2006,1.0,89.0,1089.0,173170.0
2006,1.0,101.0,1101.0,12756928.078199614
2006,1.0,103.0,1103.0,265962.0
2006,1.0,113.0,1113.0,709376.7587673708
2006,1.0,115.0,1115.0,2095704.743784199
2006,1.0,117.0,1117.0,8405766.741288278
2006,1.0,125.0,1125.0,854952.0
2006,2.0,20.0,2020.0,11971217.0
2006,2.0,90.0,2090.0,2241976.0
2006,4.0,5.0,4005.0,0.0
2006,4.0,13.0,4013.0,374989796.0
2006,4.0,19.0,4019.0,14097059.0
2006,5.0,7.0,5007.0,607835.4574734954
2006,5.0,31.0,5031.0,0.0
2006,5.0,33.0,5033.0,60155.99203927292
2006,5.0,35.0,5035.0,9218899.727289952
2006,5.0,95.0,5095.0,0.0
2006,5.0,119.0,5119.0,8002117.0
