YEAR,STATE_CODE,COUNTY_CODE,Capital Funding
2005,34.0,35.0,119810.60161594782
2005,36.0,81.0,13862950.946263466
2005,34.0,13.0,2644839.3859472326
2005,36.0,59.0,173288.41907973014
2005,36.0,5.0,9493239.92337385
2005,34.0,21.0,430211.3570722289
2005,36.0,119.0,122979.74605110235
2005,34.0,3.0,674889.2391921667
2005,34.0,39.0,556246.6367202444
2005,36.0,61.0,16633000.438402016
2005,36.0,85.0,1120815.7656348208
2005,36.0,103.0,349543.67557564116
2005,34.0,23.0,529468.3628294889
2005,36.0,47.0,20713204.13762246
2005,34.0,17.0,2445744.364619601
2005,17.0,31.0,19832663.82898871
2005,17.0,89.0,415210.6542377111
2005,17.0,43.0,1039035.5167735809
2005,42.0,45.0,365458.38169561623
2005,42.0,101.0,121940.07284035589
2005,42.0,91.0,97607.21049325661
2005,34.0,15.0,112863.33497077128
2005,48.0,113.0,305014.6709056256
2005,48.0,139.0,14353.631572029442
2005,48.0,257.0,16688.84532728707
2005,48.0,397.0,3325.8360114353313
2005,48.0,439.0,136652.0161836225
2005,48.0,71.0,160325.05569591353
2005,48.0,201.0,9721582.009321313
2005,48.0,157.0,417435.93498277315
2005,11.0,1.0,39618160.0
2005,26.0,115.0,299134.9156890212
2005,26.0,147.0,247226.57955407695
2005,26.0,93.0,467426.5047569019
2005,4.0,13.0,3378221.0
2005,27.0,19.0,0.0
2005,27.0,123.0,0.0
2005,27.0,53.0,0.0
2005,8.0,5.0,1060503.654090586
2005,8.0,123.0,605363.5657883461
2005,8.0,31.0,2942208.8992443895
2005,8.0,14.0,48590.125307696086
2005,8.0,1.0,478720.0060210605
2005,8.0,59.0,1007314.7495479219
2005,24.0,33.0,1709577.7480825565
2005,24.0,13.0,113293.49026367506
2005,24.0,27.0,197969.7569927429
2005,24.0,35.0,129843.52000382116
2005,24.0,3.0,445696.8480850076
2005,24.0,31.0,1712484.0843057157
2005,24.0,510.0,5929616.552266481
2005,29.0,189.0,9586089.0
2005,41.0,51.0,2571721.0
2005,39.0,35.0,1102321.5696817166
2005,39.0,85.0,255897.43031828356
2005,6.0,81.0,25159454.0
2005,18.0,63.0,0.0
2005,18.0,109.0,0.0
2005,18.0,59.0,0.0
2005,18.0,97.0,0.0
2005,28.0,33.0,3393821.265354446
2005,5.0,35.0,4700589.734645554
